Entity,Year,Suspended Particulate Matter (SPM) (Fouquet and DPCC (2011))
Delhi,1997,363
Delhi,1998,378
Delhi,1999,375
Delhi,2000,431
Delhi,2001,382
Delhi,2002,456
Delhi,2003,391
Delhi,2004,390
Delhi,2005,373
Delhi,2006,433
Delhi,2007,365
Delhi,2008,416
Delhi,2009,492
Delhi,2010,481
London,1700,259.74026
London,1701,262.33768
London,1702,264.93506
London,1703,267.53247
London,1704,270.12988
London,1705,272.72726
London,1706,275.32468
London,1707,277.9221
London,1708,280.51947
London,1709,283.11688
London,1710,285.7143
London,1711,288.31168
London,1712,290.9091
London,1713,293.5065
London,1714,296.10388
London,1715,298.7013
London,1716,301.2987
London,1717,303.89612
London,1718,306.4935
London,1719,309.0909
London,1720,311.68832
London,1721,314.2857
London,1722,316.88312
London,1723,319.48053
London,1724,322.0779
London,1725,324.67532
London,1726,325.97403
London,1727,327.27274
London,1728,328.57144
London,1729,329.87012
London,1730,331.16882
London,1731,332.46753
London,1732,333.76624
London,1733,335.06494
London,1734,336.36365
London,1735,337.66232
London,1736,338.96103
London,1737,340.25974
London,1738,341.55844
London,1739,342.85715
London,1740,344.15585
London,1741,345.45456
London,1742,346.75323
London,1743,348.05194
London,1744,349.35065
London,1745,350.64935
London,1746,351.94806
London,1747,353.24677
London,1748,354.54544
London,1749,355.84415
London,1750,357.14285
London,1751,357.7922
London,1752,358.44156
London,1753,359.0909
London,1754,359.74026
London,1755,360.38962
London,1756,361.03897
London,1757,361.68832
London,1758,362.33768
London,1759,362.987
London,1760,363.63635
London,1761,364.2857
London,1762,364.93506
London,1763,365.5844
London,1764,366.23376
London,1765,366.88312
London,1766,367.53247
London,1767,368.18182
London,1768,368.83118
London,1769,369.48053
London,1770,370.12988
London,1771,370.77924
London,1772,371.42856
London,1773,372.0779
London,1774,372.72726
London,1775,373.37662
London,1776,374.02597
London,1777,374.67532
London,1778,375.32468
London,1779,375.97403
London,1780,376.62338
London,1781,377.27274
London,1782,377.9221
London,1783,378.57144
London,1784,379.22076
London,1785,379.87012
London,1786,380.51947
London,1787,381.16882
London,1788,381.81818
London,1789,382.46753
London,1790,383.11688
London,1791,383.76624
London,1792,384.4156
London,1793,385.06494
London,1794,385.7143
London,1795,386.36365
London,1796,387.013
London,1797,387.66232
London,1798,388.31168
London,1799,388.96103
London,1800,389.61038
London,1801,392.987
London,1802,396.36365
London,1803,399.74026
London,1804,403.11688
London,1805,406.4935
London,1806,409.87012
London,1807,413.24677
London,1808,416.62338
London,1809,420
London,1810,423.37662
London,1811,426.75323
London,1812,430.12988
London,1813,433.5065
London,1814,436.88312
London,1815,440.25974
London,1816,443.63635
London,1817,447.013
London,1818,450.38962
London,1819,453.76624
London,1820,457.14285
London,1821,460.51947
London,1822,463.89612
London,1823,467.27274
London,1824,470.64935
London,1825,474.02597
London,1826,477.4026
London,1827,480.77924
London,1828,484.15585
London,1829,487.53247
London,1830,490.9091
London,1831,494.2857
London,1832,497.66232
London,1833,501.03897
London,1834,504.4156
London,1835,507.7922
London,1836,511.16882
London,1837,514.5455
London,1838,517.92206
London,1839,521.2987
London,1840,524.67535
London,1841,528.05194
London,1842,531.4286
London,1843,534.8052
London,1844,538.1818
London,1845,541.5585
London,1846,544.93506
London,1847,548.3117
London,1848,551.6883
London,1849,555.06494
London,1850,558.4415
London,1851,559.4805
London,1852,560.5195
London,1853,561.5585
London,1854,562.5974
London,1855,563.63635
London,1856,564.67535
London,1857,565.7143
London,1858,566.75323
London,1859,567.79224
London,1860,568.8312
London,1861,569.8701
London,1862,570.9091
London,1863,571.94806
London,1864,572.987
London,1865,574.026
London,1866,575.06494
London,1867,576.1039
London,1868,577.1429
London,1869,578.1818
London,1870,579.22076
London,1871,580.25977
London,1872,581.2987
London,1873,582.33765
London,1874,583.37665
London,1875,584.4156
London,1876,586.85065
London,1877,589.2857
London,1878,591.72076
London,1879,594.1558
London,1880,596.5909
London,1881,599.026
London,1882,601.46106
London,1883,603.8961
London,1884,606.3312
London,1885,608.76624
London,1886,611.2013
London,1887,613.63635
London,1888,616.0714
London,1889,618.5065
London,1890,620.9415
London,1891,623.37665
London,1892,617.6046
London,1893,611.83264
London,1894,606.0606
London,1895,600.2886
London,1896,594.5166
London,1897,588.74457
London,1898,582.9726
London,1899,577.20056
London,1900,571.4286
London,1901,571.1169
London,1902,570.8052
London,1903,570.4935
London,1904,570.1818
London,1905,569.8701
London,1906,569.5585
London,1907,569.24677
London,1908,568.93506
London,1909,568.62335
London,1910,568.3117
London,1911,568
London,1912,567.6883
London,1913,563.63635
London,1914,555.3719
London,1915,547.1074
London,1916,538.84296
London,1917,530.5785
London,1918,522.314
London,1919,514.04956
London,1920,505.78513
London,1921,497.52066
London,1922,489.2562
London,1923,480.99173
London,1924,472.72726
London,1925,409.0909
London,1926,363.63635
London,1927,360
London,1928,358.18182
London,1929,360
London,1930,361.81818
London,1931,363.63635
London,1932,381.81818
London,1933,400
London,1934,403.63635
London,1935,409.0909
London,1936,405.45456
London,1937,401.81818
London,1938,400
London,1939,384.0909
London,1940,368.18182
London,1941,352.27274
London,1942,336.36365
London,1943,320.45456
London,1944,304.54544
London,1945,288.63635
London,1946,272.72726
London,1947,256.81818
London,1948,240.90909
London,1949,225
London,1950,209.09091
London,1951,204.85623
London,1952,200.62157
London,1953,196.38689
London,1954,192.15222
London,1955,187.91754
London,1956,183.68288
London,1957,179.4482
London,1958,175.21353
London,1959,170.97885
London,1960,166.74419
London,1961,162.5095
London,1962,158.27484
London,1963,154.04018
London,1964,149.8055
London,1965,145.57083
London,1966,141.33615
London,1967,137.10149
London,1968,132.8668
London,1969,128.63214
London,1970,124.39746
London,1971,120.16279
London,1972,115.928116
London,1973,111.69344
