Entity,Code,Year,Birth rate,Month with peak value
Australia,AUS,1921,25.070463,
Australia,AUS,1922,24.919743,
Australia,AUS,1923,23.988203,
Australia,AUS,1924,23.434467,
Australia,AUS,1925,23.090712,
Australia,AUS,1926,22.181227,
Australia,AUS,1927,21.828491,
Australia,AUS,1928,21.460918,
Australia,AUS,1929,20.381004,
Australia,AUS,1930,19.961052,
Australia,AUS,1931,18.235384,
Australia,AUS,1932,16.922365,
Australia,AUS,1933,16.841515,
Australia,AUS,1934,16.44455,
Australia,AUS,1935,16.600792,
Australia,AUS,1936,17.178246,
Australia,AUS,1937,17.487328,
Australia,AUS,1938,17.520687,
Australia,AUS,1939,17.710457,
Australia,AUS,1940,18.026264,
Australia,AUS,1941,18.999765,
Australia,AUS,1942,19.117384,
Australia,AUS,1943,20.696074,
Australia,AUS,1944,21.069567,
Australia,AUS,1945,21.825392,
Australia,AUS,1946,23.727512,
Australia,AUS,1947,24.232134,
Australia,AUS,1948,23.268166,
Australia,AUS,1949,23.19881,
Australia,AUS,1950,23.679127,
Australia,AUS,1951,23.273787,
Australia,AUS,1952,23.6286,
Australia,AUS,1953,23.16217,
Australia,AUS,1954,22.70792,
Australia,AUS,1955,22.822554,
Australia,AUS,1956,22.761618,
Australia,AUS,1957,23.099445,
Australia,AUS,1958,22.824429,
Australia,AUS,1959,22.79457,
Australia,AUS,1960,22.639528,
Australia,AUS,1961,23.07683,
Australia,AUS,1962,22.34027,3
Australia,AUS,1963,21.799719,9
Australia,AUS,1964,20.787561,3
Australia,AUS,1965,19.826256,9
Australia,AUS,1966,19.489773,9
Australia,AUS,1967,19.585781,9
Australia,AUS,1968,20.222467,9
Australia,AUS,1969,20.600578,9
Australia,AUS,1970,20.774914,12
Australia,AUS,1971,21.594065,2
Australia,AUS,1972,20.082956,3
Australia,AUS,1973,18.466791,3
Australia,AUS,1974,18.000843,3
Australia,AUS,1975,16.850145,2
Australia,AUS,1976,16.277567,3
Australia,AUS,1977,16.087337,3
Australia,AUS,1978,15.754555,3
Australia,AUS,1979,15.465474,3
Australia,AUS,1980,15.503508,5
Australia,AUS,1981,16.045004,3
Australia,AUS,1982,15.859823,3
Australia,AUS,1983,15.894623,3
Australia,AUS,1984,15.643819,3
Australia,AUS,1985,15.562446,3
Australia,AUS,1986,15.341569,9
Australia,AUS,1987,15.13522,3
Australia,AUS,1988,15.332021,9
