Entity,Code,Year,Antibiotic use in livestock,World region according to OWID
Afghanistan,AFG,2020,67.548805,Asia
Albania,ALB,2020,98.16476,Europe
Algeria,DZA,2020,32.77327,Africa
Angola,AGO,2020,21.049955,Africa
Argentina,ARG,2020,63.10585,South America
Armenia,ARM,2020,83.974335,Asia
Australia,AUS,2020,165.06085,Oceania
Austria,AUT,2020,17.489857,Europe
Azerbaijan,AZE,2020,94.63444,Asia
Bahamas,BHS,2020,49.14106,North America
Bahrain,BHR,2020,87.99928,Asia
Bangladesh,BGD,2020,93.60142,Asia
Barbados,BRB,2020,65.5506,North America
Belarus,BLR,2020,69.55221,Europe
Belgium,BEL,2020,40.137016,Europe
Belize,BLZ,2020,53.91637,North America
Benin,BEN,2020,20.842548,Africa
Bhutan,BTN,2020,109.80575,Asia
Bolivia,BOL,2020,65.821785,South America
Bosnia and Herzegovina,BIH,2020,68.368324,Europe
Botswana,BWA,2020,20.603456,Africa
Brazil,BRA,2020,56.255173,South America
Brunei,BRN,2020,57.93007,Asia
Bulgaria,BGR,2020,74.94107,Europe
Burkina Faso,BFA,2020,22.77397,Africa
Burundi,BDI,2020,19.864538,Africa
Cambodia,KHM,2020,123.39872,Asia
Cameroon,CMR,2020,31.499397,Africa
Canada,CAN,2020,60.203117,North America
Cape Verde,CPV,2020,48.2116,Africa
Central African Republic,CAF,2020,20.958248,Africa
Chad,TCD,2020,27.874949,Africa
Chile,CHL,2020,119.10854,South America
China,CHN,2020,208.46768,Asia
Colombia,COL,2020,55.51907,South America
Comoros,COM,2020,72.72638,Africa
Congo,COG,2020,19.53925,Africa
Costa Rica,CRI,2020,64.80021,North America
Cote d'Ivoire,CIV,2020,17.894554,Africa
Croatia,HRV,2020,35.798412,Europe
Cuba,CUB,2020,70.6292,North America
Cyprus,CYP,2020,234.67392,Europe
Czechia,CZE,2020,25.411886,Europe
Democratic Republic of Congo,COD,2020,20.781662,Africa
Denmark,DNK,2020,20.45157,Europe
Djibouti,DJI,2020,27.142885,Africa
Dominica,DMA,2020,139.12346,North America
Dominican Republic,DOM,2020,49.512768,North America
East Timor,TLS,2020,12.87329,Asia
Ecuador,ECU,2020,61.98479,South America
Egypt,EGY,2020,14.747423,Africa
El Salvador,SLV,2020,45.828823,North America
Equatorial Guinea,GNQ,2020,253.98073,Africa
Eritrea,ERI,2020,25.116394,Africa
Estonia,EST,2020,23.348366,Europe
Eswatini,SWZ,2020,19.692108,Africa
Ethiopia,ETH,2020,22.088852,Africa
Faroe Islands,FRO,2020,313.00916,Europe
Fiji,FJI,2020,77.76166,Oceania
Finland,FIN,2020,7.416708,Europe
France,FRA,2020,22.00374,Europe
Gabon,GAB,2020,30.534264,Africa
Gambia,GMB,2020,20.507132,Africa
Georgia,GEO,2020,82.61754,Asia
Germany,DEU,2020,36.395947,Europe
Ghana,GHA,2020,23.153818,Africa
Greece,GRC,2020,78.13855,Europe
Grenada,GRD,2020,220.3327,North America
Guatemala,GTM,2020,60.38946,North America
Guinea,GIN,2020,19.622803,Africa
Guinea-Bissau,GNB,2020,21.500631,Africa
Guyana,GUY,2020,46.200123,South America
Haiti,HTI,2020,61.217598,North America
Honduras,HND,2020,46.59542,North America
Hong Kong,HKG,2020,72.16804,Asia
Hungary,HUN,2020,62.037323,Europe
