Entity,Code,Year,Antimicrobial quantities adjusted for animal biomass (adjusted for reporting coverage)
Africa (WOAH),,2014,41.56
Africa (WOAH),,2015,37.32
Africa (WOAH),,2016,40.37
Africa (WOAH),,2017,28.93
Africa (WOAH),,2018,17.73
Africa (WOAH),,2019,30.13
Africa (WOAH),,2020,43.65
Africa (WOAH),,2021,61.92
Americas (WOAH),,2014,98.57
Americas (WOAH),,2015,97.78
Americas (WOAH),,2016,78.99
Americas (WOAH),,2017,57.09
Americas (WOAH),,2018,62.94
Americas (WOAH),,2019,90.3
Americas (WOAH),,2020,82.33
Americas (WOAH),,2021,81.61
Asia (WOAH),,2014,99.76
Asia (WOAH),,2015,172.43
Asia (WOAH),,2016,208.12
Asia (WOAH),,2017,199.31
Asia (WOAH),,2018,158.48
Asia (WOAH),,2019,166.64
Asia (WOAH),,2020,173.68
Asia (WOAH),,2021,165.77
Europe (WOAH),,2014,92.16
Europe (WOAH),,2015,83.22
Europe (WOAH),,2016,70.89
Europe (WOAH),,2017,61.19
Europe (WOAH),,2018,59.21
Europe (WOAH),,2019,53.57
Europe (WOAH),,2020,53.27
Europe (WOAH),,2021,48.04
World,OWID_WRL,2014,87.55
World,OWID_WRL,2015,117.89
World,OWID_WRL,2016,120.05
World,OWID_WRL,2017,107.3
World,OWID_WRL,2018,91.97
World,OWID_WRL,2019,104.75
World,OWID_WRL,2020,109.55
World,OWID_WRL,2021,105.17
