Entity,Code,Year,1st birth,2nd birth,3rd birth,4th birth,5th birth or higher,All
Austria,AUT,1951,,,,,,28.05
Austria,AUT,1952,,,,,,27.98
Austria,AUT,1953,,,,,,27.89
Austria,AUT,1954,,,,,,27.87
Austria,AUT,1955,,,,,,27.85
Austria,AUT,1956,,,,,,27.83
Austria,AUT,1957,,,,,,27.8
Austria,AUT,1958,,,,,,27.69
Austria,AUT,1959,,,,,,27.63
Austria,AUT,1960,,,,,,27.58
Austria,AUT,1961,,,,,,27.52
Austria,AUT,1962,,,,,,27.47
Austria,AUT,1963,,,,,,27.41
Austria,AUT,1964,,,,,,27.38
Austria,AUT,1965,,,,,,27.26
Austria,AUT,1966,,,,,,27.11
Austria,AUT,1967,,,,,,26.97
Austria,AUT,1968,,,,,,26.85
Austria,AUT,1969,,,,,,26.76
Austria,AUT,1970,,,,,,26.67
Austria,AUT,1971,,,,,,26.67
Austria,AUT,1972,,,,,,26.53
Austria,AUT,1973,,,,,,26.41
Austria,AUT,1974,,,,,,26.31
Austria,AUT,1975,,,,,,26.27
Austria,AUT,1976,,,,,,26.24
Austria,AUT,1977,,,,,,26.27
Austria,AUT,1978,,,,,,26.25
Austria,AUT,1979,,,,,,26.27
Austria,AUT,1980,,,,,,26.27
Austria,AUT,1981,,,,,,26.33
Austria,AUT,1982,,,,,,26.35
Austria,AUT,1983,,,,,,26.47
Austria,AUT,1984,24.1,26.9,29.83,32.15,35.02,26.56
Austria,AUT,1985,24.32,27.06,29.99,32.16,34.93,26.68
Austria,AUT,1986,24.42,27.22,30.1,32.37,35.04,26.77
Austria,AUT,1987,24.63,27.37,30.24,32.46,35.16,26.91
Austria,AUT,1988,24.72,27.46,30.35,32.54,35.01,26.95
Austria,AUT,1989,24.82,27.59,30.44,32.62,34.89,27.07
Austria,AUT,1990,24.97,27.76,30.64,32.63,35.05,27.21
Austria,AUT,1991,24.96,27.89,30.6,32.66,35.05,27.22
Austria,AUT,1992,25.04,27.91,30.64,32.79,34.95,27.26
Austria,AUT,1993,25.14,27.92,30.74,32.73,34.98,27.31
Austria,AUT,1994,25.41,28.08,30.76,32.73,34.89,27.5
Austria,AUT,1995,25.65,28.21,30.81,32.9,35.06,27.66
Austria,AUT,1996,25.91,28.34,30.91,32.93,34.82,27.81
Austria,AUT,1997,26,28.55,31.11,33.15,35.23,27.93
Austria,AUT,1998,26.15,28.64,31.03,32.93,35.22,28.02
Austria,AUT,1999,26.31,28.84,31.05,33.01,35.24,28.15
Austria,AUT,2000,26.39,28.92,31.19,32.96,35.09,28.22
Austria,AUT,2001,26.54,29.18,31.38,33.03,35.06,28.39
Austria,AUT,2002,26.75,29.32,31.41,33.02,34.84,28.57
Austria,AUT,2003,26.94,29.48,31.7,33.23,35,28.77
Austria,AUT,2004,27.04,29.58,31.61,33.2,35.09,28.84
Austria,AUT,2005,27.26,29.79,31.69,33.24,34.98,29.03
Austria,AUT,2006,27.48,29.94,31.82,33.3,35.27,29.21
Austria,AUT,2007,27.65,30.02,32.07,33.54,34.88,29.37
Austria,AUT,2008,27.77,30.21,32.19,33.54,35.21,29.49
Austria,AUT,2009,27.97,30.46,32.24,33.52,35.13,29.68
Austria,AUT,2010,28.23,30.54,32.37,33.66,35,29.83
Austria,AUT,2011,28.47,30.75,32.45,33.82,35.29,30.03
Austria,AUT,2012,28.67,30.9,32.62,34.04,35.35,30.19
Austria,AUT,2013,28.82,31.05,32.76,33.98,35.42,30.32
Austria,AUT,2014,28.95,31.15,32.74,33.81,35.33,30.42
Austria,AUT,2015,29.16,31.28,32.78,33.9,35.45,30.57
Austria,AUT,2016,29.24,31.3,32.64,33.82,35.15,30.63
Austria,AUT,2017,29.32,31.39,32.78,33.89,35.25,30.72
Austria,AUT,2018,29.5,31.45,32.89,33.95,35.67,30.86
Austria,AUT,2019,29.66,31.59,33.02,34.25,35.51,31.01
Austria,AUT,2020,29.71,31.66,32.98,34.13,35.68,31.02
Austria,AUT,2021,29.91,31.85,33.13,34.27,35.43,31.2
Austria,AUT,2022,29.89,31.84,33.08,34.04,35.38,31.15
Austria,AUT,2023,29.9,31.87,32.98,33.96,35.4,31.17
Belarus,BLR,1964,24.82,28.41,31.27,33.3,36.78,28.4
Belarus,BLR,1965,24.86,28.43,31.34,33.43,36.61,28.33
Belarus,BLR,1966,24.64,28.34,31.04,33.45,36.47,28.22
Belarus,BLR,1967,24.59,28.19,31.43,33.41,36.45,27.98
Belarus,BLR,1968,24.57,28.36,31.31,33.35,36.38,27.92
Belarus,BLR,1969,24.39,28.32,31.23,33.22,36.27,27.74
Belarus,BLR,1970,24.07,28.22,31.19,33.13,35.99,27.46
Belarus,BLR,1971,23.89,28.17,31.08,33.01,35.96,27.27
Belarus,BLR,1972,23.81,28.11,31.09,32.99,35.75,27.16
Belarus,BLR,1973,23.76,28.03,31.12,33.08,35.87,27.08
Belarus,BLR,1974,23.65,27.95,31.16,33.02,35.66,26.94
Belarus,BLR,1975,23.55,27.79,30.99,33.03,35.72,26.79
Belarus,BLR,1976,23.49,27.7,31,32.91,35.53,26.61
Belarus,BLR,1977,23.41,27.64,30.94,32.99,35.53,26.51
Belarus,BLR,1978,23.35,27.49,30.66,32.72,35.45,26.26
Belarus,BLR,1979,23.27,27.48,30.53,32.63,35.38,26.09
Belarus,BLR,1980,23.19,27.37,30.4,32.39,35.25,25.94
Belarus,BLR,1981,23.28,27.33,30.37,32.45,35.43,26.02
Belarus,BLR,1982,23.25,27.26,30.25,32.4,35.33,25.98
Belarus,BLR,1983,23.22,27.32,30.12,32.14,35.07,26.06
Belarus,BLR,1984,23.2,27.23,30.13,32.2,34.95,25.94
Belarus,BLR,1985,23.16,27.14,30.04,31.79,34.68,25.84
Belarus,BLR,1986,23.32,27.21,30.15,32.08,34.89,26.03
Belarus,BLR,1987,23.13,27.02,30.05,31.95,34.81,25.71
Belarus,BLR,1988,23.16,27.01,30.04,31.81,34.83,25.67
Belarus,BLR,1989,23.1,26.87,29.87,31.87,34.42,25.44
Belarus,BLR,1990,22.9,26.76,29.59,31.61,34.07,25.15
Belarus,BLR,1991,22.9,26.64,29.45,31.43,34.14,24.99
Belarus,BLR,1992,22.84,26.5,29.36,31.28,34.19,24.88
Belarus,BLR,1993,22.84,26.54,29.46,31.36,33.94,24.9
Belarus,BLR,1994,22.81,26.74,29.48,31.35,34.04,24.87
Belarus,BLR,1995,22.88,26.87,29.55,31.59,34.26,24.92
Belarus,BLR,1996,23,26.95,29.64,31.4,34.02,24.96
Belarus,BLR,1997,22.98,27.05,29.71,31.47,34.11,25.07
Belarus,BLR,1998,23.14,27.22,29.85,31.55,34.03,25.27
Belarus,BLR,1999,23.2,27.42,30.05,31.58,33.89,25.35
Belarus,BLR,2000,23.38,27.72,30.32,31.75,34.05,25.57
Belarus,BLR,2001,23.4,27.93,30.36,31.8,34.17,25.7
Belarus,BLR,2002,23.63,28.13,30.68,31.95,34.05,25.87
Belarus,BLR,2003,23.74,28.29,30.67,32.22,34.45,25.97
Belarus,BLR,2004,23.92,28.48,30.94,32.56,34.5,26.16
Belarus,BLR,2005,24.1,28.67,31.03,32.46,34.5,26.39
Belarus,BLR,2006,24.2,28.79,31.23,32.59,34.42,26.55
Belarus,BLR,2007,24.34,28.98,31.44,32.66,34.25,26.82
Belarus,BLR,2008,24.46,29.13,31.56,32.85,34.62,26.97
Belarus,BLR,2009,24.6,29.28,31.83,32.98,34.68,27.14
Belarus,BLR,2010,24.85,29.35,31.76,33.12,34.81,27.37
Belarus,BLR,2011,24.95,29.38,31.78,33.05,34.68,27.48
Belarus,BLR,2012,25.02,29.45,31.82,33.02,34.66,27.54
Belarus,BLR,2013,25.08,29.55,31.93,33.18,34.77,27.77
Belarus,BLR,2014,25.23,29.66,31.97,33.4,34.96,27.95
Belarus,BLR,2015,25.43,29.67,32,33.21,34.59,28.2
Belarus,BLR,2016,25.62,29.66,31.98,33.39,34.78,28.38
Belarus,BLR,2017,25.72,29.78,32.1,33.24,34.88,28.54
Belarus,BLR,2018,25.85,29.76,32.07,33.19,34.86,28.63
Belgium,BEL,1947,,,,,,29.07
Belgium,BEL,1948,,,,,,28.87
Belgium,BEL,1949,,,,,,28.84
Belgium,BEL,1950,,,,,,28.82
Belgium,BEL,1951,,,,,,28.75
Belgium,BEL,1952,,,,,,28.75
Belgium,BEL,1953,,,,,,28.72
Belgium,BEL,1954,,,,,,28.64
Belgium,BEL,1955,,,,,,28.55
Belgium,BEL,1956,,,,,,28.44
Belgium,BEL,1957,,,,,,28.32
Belgium,BEL,1958,,,,,,28.21
Belgium,BEL,1959,,,,,,28.08
Belgium,BEL,1960,,,,,,28.01
Belgium,BEL,1961,,,,,,27.94
Belgium,BEL,1962,,,,,,27.88
Belgium,BEL,1963,,,,,,27.76
Belgium,BEL,1964,,,,,,27.72
Belgium,BEL,1965,,,,,,27.57
Belgium,BEL,1966,,,,,,27.46
Belgium,BEL,1967,,,,,,27.35
Belgium,BEL,1968,,,,,,27.3
Belgium,BEL,1969,,,,,,27.24
Belgium,BEL,1970,,,,,,27.15
Belgium,BEL,1971,,,,,,27.04
Belgium,BEL,1972,,,,,,26.92
Belgium,BEL,1973,,,,,,26.76
Belgium,BEL,1974,,,,,,26.65
Belgium,BEL,1975,,,,,,26.56
