Entity,Code,Year,1st birth,2nd birth,3rd birth,4th birth,5th birth or higher,All
Austria,AUT,1936,,,,,,26.89
Austria,AUT,1937,,,,,,26.69
Austria,AUT,1938,,,,,,26.43
Austria,AUT,1939,,,,,,26.16
Austria,AUT,1940,,,,,,26.01
Austria,AUT,1941,,,,,,25.85
Austria,AUT,1942,,,,,,25.77
Austria,AUT,1943,,,,,,25.52
Austria,AUT,1944,,,,,,25.35
Austria,AUT,1945,,,,,,25.25
Austria,AUT,1946,,,,,,25.11
Austria,AUT,1947,,,,,,25.11
Austria,AUT,1948,,,,,,25.16
Austria,AUT,1949,,,,,,25.26
Austria,AUT,1950,,,,,,25.38
Austria,AUT,1951,,,,,,25.43
Austria,AUT,1952,,,,,,25.62
Austria,AUT,1953,,,,,,25.67
Austria,AUT,1954,,,,,,25.74
Austria,AUT,1955,,,,,,25.88
Austria,AUT,1956,,,,,,25.99
Austria,AUT,1957,,,,,,26.18
Austria,AUT,1958,,,,,,26.36
Austria,AUT,1959,,,,,,26.47
Austria,AUT,1960,,,,,,26.59
Austria,AUT,1961,,,,,,26.74
Austria,AUT,1962,,,,,,26.84
Austria,AUT,1963,,,,,,27.02
Austria,AUT,1964,,,,,,27.21
Austria,AUT,1965,,,,,,27.46
Austria,AUT,1966,,,,,,27.61
Austria,AUT,1967,,,,,,27.85
Austria,AUT,1968,,,,,,28.01
Austria,AUT,1969,26.22,29.01,31.49,33.1,34.99,28.13
Austria,AUT,1970,26.41,29.16,31.57,33.36,35.54,28.31
Austria,AUT,1971,26.62,29.3,31.66,33.38,35.08,28.48
Austria,AUT,1972,26.7,29.42,31.62,33.22,35.21,28.58
Austria,AUT,1973,26.84,29.55,31.79,33.43,35.21,28.72
Belarus,BLR,1949,23.68,27.64,30.13,31.54,34.04,26.24
Belarus,BLR,1950,23.61,27.6,30.14,31.51,33.96,26.16
Belarus,BLR,1951,23.54,27.55,30.12,31.47,33.81,26.08
Belarus,BLR,1952,23.51,27.53,30.09,31.49,33.79,26.02
Belarus,BLR,1953,23.48,27.48,29.93,31.46,33.74,25.95
Belarus,BLR,1954,23.43,27.36,29.72,31.31,33.45,25.84
Belarus,BLR,1955,23.37,27.22,29.53,31.06,33.24,25.72
Belarus,BLR,1956,23.34,27.06,29.34,30.9,33.16,25.61
Belarus,BLR,1957,23.31,26.9,29.18,30.82,33.16,25.49
Belarus,BLR,1958,23.26,26.78,29,30.7,33.06,25.36
Belarus,BLR,1959,23.23,26.65,28.92,30.67,32.97,25.26
Belarus,BLR,1960,23.2,26.53,28.85,30.66,32.96,25.16
Belarus,BLR,1961,23.15,26.4,28.79,30.4,33.01,25.06
Belarus,BLR,1962,23.12,26.31,28.83,30.59,33.12,24.98
Belarus,BLR,1963,23.08,26.3,28.92,31.08,33.03,24.93
Belarus,BLR,1964,23.02,26.3,29.09,31.14,33.11,24.89
Belarus,BLR,1965,22.97,26.32,29.27,31.17,33.33,24.89
Belarus,BLR,1966,22.94,26.36,29.44,31.11,33.46,24.9
Belarus,BLR,1967,22.84,26.56,29.69,31.42,33.71,24.89
Belarus,BLR,1968,22.81,26.76,29.99,31.93,33.74,24.93
Belgium,BEL,1932,,,,,,27.74
Belgium,BEL,1933,,,,,,27.59
Belgium,BEL,1934,,,,,,27.43
Belgium,BEL,1935,,,,,,27.23
Belgium,BEL,1936,,,,,,27.02
Belgium,BEL,1937,,,,,,26.86
Belgium,BEL,1938,,,,,,26.69
Belgium,BEL,1939,,,,,,26.52
Belgium,BEL,1940,,,,,,26.46
Belgium,BEL,1941,,,,,,26.17
Belgium,BEL,1942,,,,,,26.09
Belgium,BEL,1943,,,,,,25.94
Belgium,BEL,1944,,,,,,25.89
Belgium,BEL,1945,,,,,,25.85
Belgium,BEL,1946,,,,,,25.91
Belgium,BEL,1947,,,,,,25.89
Belgium,BEL,1948,,,,,,26.01
Belgium,BEL,1949,,,,,,26.04
Belgium,BEL,1950,,,,,,26.21
Belgium,BEL,1951,,,,,,26.21
Belgium,BEL,1952,,,,,,26.33
Belgium,BEL,1953,,,,,,26.44
Belgium,BEL,1954,,,,,,26.54
Belgium,BEL,1955,,,,,,26.68
Belgium,BEL,1956,,,,,,26.83
Belgium,BEL,1957,,,,,,26.94
Belgium,BEL,1958,,,,,,27.13
Belgium,BEL,1959,,,,,,27.26
Belgium,BEL,1960,,,,,,27.45
Belgium,BEL,1961,,,,,,27.64
Belgium,BEL,1962,,,,,,27.87
Belgium,BEL,1963,,,,,,28.05
Belgium,BEL,1964,,,,,,28.19
Belgium,BEL,1965,,,,,,28.41
Belgium,BEL,1966,,,,,,28.6
