Entity,Code,Year,Death rate,Birth rate
Australia,AUS,1921,8.303415,
Australia,AUS,1922,7.983813,
Australia,AUS,1923,8.522087,
Australia,AUS,1924,8.210769,
Australia,AUS,1925,8.045415,
Australia,AUS,1926,8.2879305,
Australia,AUS,1927,8.325798,
Australia,AUS,1928,8.366667,
Australia,AUS,1929,8.536765,
Australia,AUS,1930,7.658399,
Australia,AUS,1931,7.9340563,
Australia,AUS,1932,7.958812,
Australia,AUS,1933,8.281961,
Australia,AUS,1934,8.630452,
Australia,AUS,1935,8.823277,
Australia,AUS,1936,8.7541895,
Australia,AUS,1937,8.801688,
Australia,AUS,1938,8.998251,
Australia,AUS,1939,9.287893,
Australia,AUS,1940,9.063794,
Australia,AUS,1941,9.29766,
Australia,AUS,1942,9.759445,
Australia,AUS,1943,9.575187,
Australia,AUS,1944,8.9021225,
Australia,AUS,1945,8.905464,
Australia,AUS,1946,9.355477,
Australia,AUS,1947,9.069892,
Australia,AUS,1948,9.399422,
Australia,AUS,1949,9.044965,
Australia,AUS,1950,9.134203,
Australia,AUS,1951,9.260054,
Australia,AUS,1952,8.999013,
Australia,AUS,1953,8.644069,
Australia,AUS,1954,8.67395,
Australia,AUS,1955,8.512733,
Australia,AUS,1956,8.742588,
Australia,AUS,1957,8.410676,
Australia,AUS,1958,8.120377,
Australia,AUS,1959,8.46822,
Australia,AUS,1960,8.238908,
Australia,AUS,1961,8.103405,
Australia,AUS,1962,8.32257,
Australia,AUS,1963,8.35094,
Australia,AUS,1964,8.746194,
Australia,AUS,1965,8.560491,
Australia,AUS,1966,8.742042,
Australia,AUS,1967,8.442257,
Australia,AUS,1968,8.810331,
Australia,AUS,1969,8.410071,
Australia,AUS,1970,8.778372,
Australia,AUS,1971,8.233556,
Australia,AUS,1972,8.055676,
Australia,AUS,1973,7.9629116,
Australia,AUS,1974,8.207341,
Australia,AUS,1975,7.6457667,
Australia,AUS,1976,7.851333,
Australia,AUS,1977,7.4755063,
Australia,AUS,1978,7.4227176,
Australia,AUS,1979,7.224638,
Australia,AUS,1980,7.247376,
Australia,AUS,1981,7.231114,
Australia,AUS,1982,7.417151,
Australia,AUS,1983,7.0516043,
Australia,AUS,1984,7.1711955,
Australia,AUS,1985,7.3609324,
Australia,AUS,1986,7.058842,
Australia,AUS,1987,7.186537,
Australia,AUS,1988,7.136257,
Australia,AUS,1989,7.3881774,
Australia,AUS,1990,6.9051504,
Australia,AUS,1991,6.8012156,
Australia,AUS,1992,6.974112,
Australia,AUS,1993,6.795288,
Australia,AUS,1994,7.083938,
Australia,AUS,1995,6.915035,
Australia,AUS,1996,7.0062766,
Australia,AUS,1997,6.9571576,
Australia,AUS,1998,6.8206363,
Australia,AUS,1999,6.778984,
Australia,AUS,2000,6.75258,
Australia,AUS,2001,6.6665015,
Australia,AUS,2002,6.814176,
Australia,AUS,2003,6.675646,
Australia,AUS,2004,6.623835,
Australia,AUS,2005,6.4958873,
Australia,AUS,2006,6.5586767,
Australia,AUS,2007,6.712185,
Australia,AUS,2008,6.716336,
Australia,AUS,2009,6.5254188,
Australia,AUS,2010,6.4753437,
Australia,AUS,2011,6.561434,
Australia,AUS,2012,6.568515,
Australia,AUS,2013,6.4201436,
Australia,AUS,2014,6.5650907,
Australia,AUS,2015,6.6139097,
Australia,AUS,2016,6.570492,
Australia,AUS,2017,6.6970406,
Australia,AUS,2018,6.397629,
Australia,AUS,2019,6.5145755,
Australia,AUS,2020,6.3417044,
Australia,AUS,2021,6.663394,
Austria,AUT,1947,11.530557,
Austria,AUT,1948,10.748587,
Austria,AUT,1949,11.6183405,
Austria,AUT,1950,11.327063,
Austria,AUT,1951,11.817183,14.83
Austria,AUT,1952,11.265879,14.87
Austria,AUT,1953,11.296392,14.84
Austria,AUT,1954,11.478763,14.98
Austria,AUT,1955,11.527801,15.63
Austria,AUT,1956,11.7740965,16.66
Austria,AUT,1957,12.084778,17.04
Austria,AUT,1958,11.626902,17.14
Austria,AUT,1959,11.863741,17.73
Austria,AUT,1960,12.074567,17.87
Austria,AUT,1961,11.519608,18.57
Austria,AUT,1962,12.168153,18.69
Austria,AUT,1963,12.217185,18.78
Austria,AUT,1964,11.830731,18.53
Austria,AUT,1965,12.50206,17.87
Austria,AUT,1966,12.043294,17.56
Austria,AUT,1967,12.528715,17.27
Austria,AUT,1968,12.535966,17.01
Austria,AUT,1969,12.878497,16.31
Austria,AUT,1970,12.868176,15.04
Austria,AUT,1971,12.638666,14.47
Austria,AUT,1972,12.327553,13.79
Austria,AUT,1973,11.955813,12.93
Austria,AUT,1974,12.104483,12.82
Austria,AUT,1975,12.399386,12.37
Austria,AUT,1976,12.368219,11.56
Austria,AUT,1977,12.026613,11.31
Austria,AUT,1978,12.331284,11.3
Austria,AUT,1979,12.016292,11.45
Austria,AUT,1980,12.081546,12.04
Austria,AUT,1981,12.117472,12.42
Austria,AUT,1982,11.888141,12.53
Austria,AUT,1983,12.16319,11.92
Austria,AUT,1984,11.572117,11.81
Austria,AUT,1985,11.71937,11.56
Austria,AUT,1986,11.39335,11.49
Austria,AUT,1987,11.10324,11.42
Austria,AUT,1988,10.898527,11.61
Austria,AUT,1989,10.887178,11.65
Austria,AUT,1990,10.757213,11.78
Austria,AUT,1991,10.726276,12.2
Austria,AUT,1992,10.570821,12.15
Austria,AUT,1993,10.390289,12.05
Austria,AUT,1994,10.103912,11.65
Austria,AUT,1995,10.15936,11.16
Austria,AUT,1996,10.103016,11.16
Austria,AUT,1997,9.924006,10.55
Austria,AUT,1998,9.7789545,10.19
Austria,AUT,1999,9.754973,9.78
Austria,AUT,2000,9.548676,9.77
Austria,AUT,2001,9.277544,9.39
Austria,AUT,2002,9.406372,9.7
Austria,AUT,2003,9.491587,9.48
Austria,AUT,2004,9.081702,9.67
Austria,AUT,2005,9.128913,9.5
Austria,AUT,2006,8.967642,9.42
Austria,AUT,2007,8.976492,9.19
Austria,AUT,2008,9.003246,9.34
Austria,AUT,2009,9.249426,9.15
Austria,AUT,2010,9.206876,9.42
Austria,AUT,2011,9.098028,9.31
Austria,AUT,2012,9.417048,9.37
Austria,AUT,2013,9.380555,9.36
Austria,AUT,2014,9.169357,9.56
Austria,AUT,2015,9.647422,9.77
Austria,AUT,2016,9.241648,10.04
Austria,AUT,2017,9.463145,9.96
Austria,AUT,2018,9.492438,9.68
Austria,AUT,2019,9.384943,9.57
Austria,AUT,2020,10.261666,9.38
Austria,AUT,2021,10.268924,9.61
Austria,AUT,2022,10.3721695,9.14
Austria,AUT,2023,9.834125,8.5
Belarus,BLR,1959,6.604261,
Belarus,BLR,1960,5.757222,
Belarus,BLR,1961,5.768652,
Belarus,BLR,1962,6.531894,
Belarus,BLR,1963,6.195647,
Belarus,BLR,1964,5.7910995,18.76
Belarus,BLR,1965,6.2960877,17.68
Belarus,BLR,1966,6.2777476,17.47
Belarus,BLR,1967,6.5977664,16.66
Belarus,BLR,1968,6.6874948,16.38
Belarus,BLR,1969,7.0623198,15.88
Belarus,BLR,1970,7.3521795,16.22
Belarus,BLR,1971,7.2822566,16.37
Belarus,BLR,1972,7.594955,16.11
Belarus,BLR,1973,7.768492,15.67
Belarus,BLR,1974,7.635515,15.8
Belarus,BLR,1975,8.253183,15.66
Belarus,BLR,1976,8.50074,15.72
Belarus,BLR,1977,8.691314,15.74
Belarus,BLR,1978,8.850887,15.88
Belarus,BLR,1979,9.266213,15.87
Belarus,BLR,1980,9.692052,16.03
Belarus,BLR,1981,9.361321,16.27
Belarus,BLR,1982,9.373328,16.31
Belarus,BLR,1983,9.719708,17.63
Belarus,BLR,1984,10.301531,17.04
Belarus,BLR,1985,10.4001,16.57
Belarus,BLR,1986,9.510505,17.14
Belarus,BLR,1987,9.727491,16.19
Belarus,BLR,1988,9.960343,16.13
Belarus,BLR,1989,10.021613,15.09
Belarus,BLR,1990,10.582893,13.95
Belarus,BLR,1991,11.088761,12.95
Belarus,BLR,1992,11.279902,12.53
Belarus,BLR,1993,12.415328,11.47
Belarus,BLR,1994,12.546924,10.82
Belarus,BLR,1995,12.975891,9.93
Belarus,BLR,1996,12.999017,9.44
Belarus,BLR,1997,13.371686,8.86
Belarus,BLR,1998,13.505425,9.2
Belarus,BLR,1999,14.025314,9.27
Belarus,BLR,2000,13.392728,9.39
Belarus,BLR,2001,14.006918,9.23
Belarus,BLR,2002,14.736226,8.99
Belarus,BLR,2003,14.493699,9.03
Belarus,BLR,2004,14.280877,9.14
Belarus,BLR,2005,14.55864,9.36
Belarus,BLR,2006,14.310237,10.07
Belarus,BLR,2007,13.825002,10.83
Belarus,BLR,2008,13.973807,11.32
Belarus,BLR,2009,14.145993,11.49
Belarus,BLR,2010,14.3852005,11.38
Belarus,BLR,2011,14.205035,11.52
Belarus,BLR,2012,13.322634,12.24
Belarus,BLR,2013,13.200321,12.46
Belarus,BLR,2014,12.791074,12.51
Belarus,BLR,2015,12.62074,12.54
Belarus,BLR,2016,12.527849,12.39
Belarus,BLR,2017,12.517219,10.8
Belarus,BLR,2018,12.622604,9.92
Belgium,BEL,1841,18.28221,
Belgium,BEL,1842,19.386124,
Belgium,BEL,1843,18.260164,
Belgium,BEL,1844,17.899979,
Belgium,BEL,1845,18.109226,
Belgium,BEL,1846,20.04046,
Belgium,BEL,1847,23.454304,
Belgium,BEL,1848,21.066584,
Belgium,BEL,1849,23.449884,
Belgium,BEL,1850,17.07039,
Belgium,BEL,1851,17.059998,
Belgium,BEL,1852,17.174438,
Belgium,BEL,1853,18.32772,
Belgium,BEL,1854,18.611729,
Belgium,BEL,1855,20.322672,
Belgium,BEL,1856,17.22941,
Belgium,BEL,1857,17.530392,
Belgium,BEL,1858,18.450918,
Belgium,BEL,1859,18.717072,
Belgium,BEL,1860,15.753328,
Belgium,BEL,1861,17.631653,
Belgium,BEL,1862,16.637684,
Belgium,BEL,1863,17.614471,
Belgium,BEL,1864,18.864864,
Belgium,BEL,1865,19.271763,
Belgium,BEL,1866,25.859756,
Belgium,BEL,1867,17.17558,
Belgium,BEL,1868,17.5079,
Belgium,BEL,1869,18.032766,
Belgium,BEL,1870,18.961397,
Belgium,BEL,1871,23.525251,
Belgium,BEL,1872,19.018044,
Belgium,BEL,1873,17.416273,
Belgium,BEL,1874,16.669281,
Belgium,BEL,1875,18.170742,
Belgium,BEL,1876,18.406708,
Belgium,BEL,1877,17.16254,
Belgium,BEL,1878,16.707495,
Belgium,BEL,1879,17.15497,
Belgium,BEL,1880,16.642035,
Belgium,BEL,1881,16.277075,
Belgium,BEL,1882,15.705056,
Belgium,BEL,1883,16.353882,
Belgium,BEL,1884,16.033724,
Belgium,BEL,1885,15.922239,
Belgium,BEL,1886,16.129797,
Belgium,BEL,1887,15.339276,
Belgium,BEL,1888,15.569942,
Belgium,BEL,1889,15.315531,
Belgium,BEL,1890,16.12967,
Belgium,BEL,1891,16.348799,
Belgium,BEL,1892,16.937574,
Belgium,BEL,1893,15.470831,
Belgium,BEL,1894,14.576909,
Belgium,BEL,1895,14.911712,
Belgium,BEL,1896,13.716989,
Belgium,BEL,1897,13.285497,
Belgium,BEL,1898,13.395459,
Belgium,BEL,1899,14.407996,
Belgium,BEL,1900,14.443246,
Belgium,BEL,1901,13.088649,
Belgium,BEL,1902,13.438116,
Belgium,BEL,1903,12.953537,
Belgium,BEL,1904,13.029683,
Belgium,BEL,1905,12.961982,
Belgium,BEL,1906,12.749938,
Belgium,BEL,1907,12.688671,
Belgium,BEL,1908,13.125441,
Belgium,BEL,1909,12.788363,
Belgium,BEL,1910,12.1206,
Belgium,BEL,1911,12.697212,
Belgium,BEL,1912,12.296098,
Belgium,BEL,1913,11.820149,
Belgium,BEL,1914,0,
Belgium,BEL,1919,13.792059,
Belgium,BEL,1920,11.654625,
Belgium,BEL,1921,11.358399,
Belgium,BEL,1922,12.059733,
Belgium,BEL,1923,11.352862,
Belgium,BEL,1924,11.3038025,
Belgium,BEL,1925,11.331912,
Belgium,BEL,1926,11.539533,
Belgium,BEL,1927,11.860209,
Belgium,BEL,1928,11.737426,
Belgium,BEL,1929,13.22202,
Belgium,BEL,1930,11.630093,
Belgium,BEL,1931,11.83239,
Belgium,BEL,1932,11.73799,
Belgium,BEL,1933,11.822064,
Belgium,BEL,1934,11.026933,
Belgium,BEL,1935,11.666387,
Belgium,BEL,1936,11.606219,
