Entity,Day,0 or 1 dose,2 doses,3 doses,4 doses
03-05,2021-10-10,0,,,
03-05,2021-10-17,0.14145792,,,
03-05,2021-10-24,0,,,
03-05,2021-10-31,0,,,
03-05,2021-11-07,0,,,
03-05,2021-11-14,0,,,
03-05,2021-11-21,0,0,,
03-05,2021-11-28,0,0,,
03-05,2021-12-05,0,0,,
03-05,2021-12-12,0,0,,
03-05,2021-12-19,0,0,,
03-05,2021-12-26,0,0,,
03-05,2022-01-02,0,0,,
03-05,2022-01-09,0,0,,
03-05,2022-01-16,0,0,,
03-05,2022-01-23,0,0,,
03-05,2022-01-30,0,0,,
03-05,2022-02-06,0,0,,
03-05,2022-02-13,0.19144472,0,,
03-05,2022-02-20,0,0,,
03-05,2022-02-27,0.21934971,0,,
03-05,2022-03-06,0,0,,
03-05,2022-03-13,0,0,,
03-05,2022-03-20,0,0,,
03-05,2022-03-27,0,0,,
03-05,2022-04-03,0,0,,
03-05,2022-04-10,0,0,0,
03-05,2022-04-17,0,0,0,
03-05,2022-04-24,0,0,0,
03-05,2022-05-01,0,0,0,
03-05,2022-05-08,0,0.2504966,0,
03-05,2022-05-15,0,0,0,
03-05,2022-05-22,0,0,0,
03-05,2022-05-29,0,0,0,
03-05,2022-06-05,0,0,0,
03-05,2022-06-12,0,0,0,
03-05,2022-06-19,0,0,0,
03-05,2022-06-26,0,0,0,
03-05,2022-07-03,0,0,0,
03-05,2022-07-10,0,0,0,
03-05,2022-07-17,0,0,0,
03-05,2022-07-24,0,0,0,
03-05,2022-07-31,0,0,0,
03-05,2022-08-07,0,0,0,
03-05,2022-08-14,0,0,0,
03-05,2022-08-21,0,0,0,
03-05,2022-08-28,0,0,0,
03-05,2022-09-04,0,0,0,
03-05,2022-09-11,0,0,0,
03-05,2022-09-18,0,0,0,
03-05,2022-09-25,0,0,0,
03-05,2022-10-02,0,0,0,
03-05,2022-10-09,0,0,0,
03-05,2022-10-16,0,0,0,0
03-05,2022-10-23,0,0,0,0
03-05,2022-10-30,0.43338448,0,0,0
03-05,2022-11-06,0,0,0,0
03-05,2022-11-13,0,0,0,0
03-05,2022-11-20,0,0,0,0
03-05,2022-11-27,0,0,0,0
03-05,2022-12-04,0,0,0,0
03-05,2022-12-11,0,0,0,0
03-05,2022-12-18,0,0,0,0
03-05,2022-12-25,0,0,0,0
03-05,2023-01-01,0,0,0,0
03-05,2023-01-08,0,0,0,0
03-05,2023-01-15,0,0,0,0
03-05,2023-01-22,0,0,0,0
03-05,2023-01-29,0,0,0,0
03-05,2023-02-05,0,0,0,0
03-05,2023-02-12,0,0,0,0
03-05,2023-02-19,0,0,0,0
03-05,2023-02-26,0,0,0,0
03-05,2023-03-05,0,0,0,0
03-05,2023-03-12,0,0,0,0
03-05,2023-03-19,0,0,0,0
06-11,2021-10-10,0,0,,
06-11,2021-10-17,0,0,,
06-11,2021-10-24,0,0,,
06-11,2021-10-31,0,0,,
06-11,2021-11-07,0,0,,
06-11,2021-11-14,0,0,,
06-11,2021-11-21,0.101633765,0,,
06-11,2021-11-28,0,0,,
06-11,2021-12-05,0,0,,
06-11,2021-12-12,0,0,,
06-11,2021-12-19,0,0,,
06-11,2021-12-26,0,0,,
06-11,2022-01-02,0,0,,
06-11,2022-01-09,0,0,,
06-11,2022-01-16,0,0,0,
06-11,2022-01-23,0,0,0,
06-11,2022-01-30,0,0,0,
06-11,2022-02-06,0,0,0,
