Entity,Code,Year,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010
Austria,AUT,12,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,AUT,13,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,AUT,14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Austria,AUT,15,,,,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,
Austria,AUT,16,,,,0.002,0.005,0.004,0.004,0.004,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,
Austria,AUT,17,,,,0.012,0.023,0.02,0.022,0.016,0.012,0.008,0.009,0.006,0.007,0.005,0.005,0.003,0.002,
Austria,AUT,18,,,,0.044,0.071,0.072,0.073,0.047,0.035,0.022,0.027,0.017,0.017,0.014,0.011,0.007,0.004,
Austria,AUT,19,,,,0.108,0.164,0.17,0.157,0.101,0.075,0.051,0.056,0.036,0.036,0.03,0.021,0.015,,
Austria,AUT,20,,,,0.209,0.292,0.304,0.265,0.18,0.136,0.098,0.098,0.069,0.066,0.053,0.038,0.027,,
Austria,AUT,21,,,,0.34,0.441,0.452,0.378,0.284,0.213,0.162,0.153,0.113,0.106,0.084,0.061,0.043,,
Austria,AUT,22,,,,0.497,0.604,0.602,0.496,0.4,0.299,0.238,0.216,0.165,0.151,0.121,0.093,0.066,,
Austria,AUT,23,,,,0.668,0.771,0.741,0.617,0.52,0.394,0.327,0.286,0.225,0.2,0.164,0.132,0.097,,
Austria,AUT,24,,,,0.843,0.934,0.874,0.74,0.636,0.498,0.422,0.364,0.291,0.257,0.215,0.177,,,
Austria,AUT,25,,,,1.016,1.076,1.002,0.863,0.753,0.608,0.521,0.45,0.367,0.321,0.275,0.233,,,
Austria,AUT,26,,,,1.178,1.207,1.119,0.985,0.864,0.724,0.625,0.539,0.449,0.396,0.343,0.296,,,
Austria,AUT,27,,,,1.329,1.321,1.226,1.098,0.968,0.837,0.731,0.633,0.534,0.475,0.425,0.371,,,
Austria,AUT,28,,,,1.469,1.422,1.321,1.201,1.073,0.947,0.834,0.733,0.625,0.56,0.514,0.451,,,
Austria,AUT,29,,,,1.593,1.507,1.409,1.293,1.166,1.051,0.929,0.833,0.72,0.656,0.606,,,,
Austria,AUT,30,,,,1.694,1.584,1.487,1.374,1.251,1.145,1.023,0.933,0.821,0.76,0.71,,,,
Austria,AUT,31,,,,1.783,1.649,1.559,1.444,1.328,1.231,1.111,1.029,0.922,0.865,0.816,,,,
Austria,AUT,32,,,,1.854,1.703,1.622,1.503,1.397,1.309,1.192,1.122,1.021,0.975,0.925,,,,
Austria,AUT,33,,,,1.916,1.749,1.673,1.555,1.458,1.374,1.268,1.207,1.118,1.077,1.023,,,,
Austria,AUT,34,,,,1.965,1.788,1.715,1.6,1.507,1.428,1.332,1.286,1.207,1.173,,,,,
Austria,AUT,35,,,,2.006,1.821,1.749,1.638,1.55,1.476,1.391,1.357,1.29,1.259,,,,,
Austria,AUT,36,,,,2.039,1.849,1.777,1.67,1.585,1.516,1.444,1.422,1.368,1.338,,,,,
Austria,AUT,37,,,,2.065,1.874,1.799,1.697,1.615,1.548,1.487,1.478,1.435,1.405,,,,,
Austria,AUT,38,,,,2.084,1.893,1.818,1.718,1.638,1.578,1.525,1.523,1.488,1.457,,,,,
Austria,AUT,39,,,,2.1,1.907,1.832,1.735,1.656,1.601,1.555,1.56,1.531,,,,,,
Austria,AUT,40,,,,2.111,1.917,1.843,1.746,1.67,1.62,1.577,1.59,1.565,,,,,,
Austria,AUT,41,,,,2.119,1.925,1.851,1.754,1.68,1.633,1.595,1.614,1.591,,,,,,
Austria,AUT,42,,,,2.125,1.93,1.856,1.76,1.687,1.643,1.606,1.629,1.607,,,,,,
Austria,AUT,43,,,,2.129,1.933,1.859,1.764,1.692,1.649,1.614,1.639,1.617,,,,,,
Austria,AUT,44,,,,2.131,1.936,1.861,1.766,1.695,1.653,1.618,1.645,,,,,,,
Austria,AUT,45,,,,2.132,1.937,1.862,1.767,1.696,1.654,1.621,1.649,,,,,,,
Austria,AUT,46,,,,2.132,1.937,1.863,1.767,1.697,1.655,1.622,1.65,,,,,,,
Austria,AUT,47,,,,2.132,1.937,1.863,1.768,1.697,1.656,1.623,1.651,,,,,,,
Austria,AUT,48,,,,2.132,1.937,1.863,1.768,1.698,1.656,1.624,1.652,,,,,,,
Austria,AUT,49,,,,2.132,1.938,1.863,1.768,1.698,1.657,1.624,,,,,,,,
Austria,AUT,50,,,,2.132,1.938,1.863,1.768,1.698,1.657,1.624,,,,,,,,
Austria,AUT,51,,,,2.132,1.938,1.863,1.768,1.698,1.657,1.624,,,,,,,,
Austria,AUT,52,,,,2.132,1.938,1.863,1.768,1.698,1.657,1.624,,,,,,,,
Austria,AUT,53,,,,2.132,1.938,1.863,1.768,1.698,1.657,1.624,,,,,,,,
Austria,AUT,54,,,,2.132,1.938,1.863,1.768,1.698,1.657,,,,,,,,,
Austria,AUT,55,,,,2.132,1.938,1.863,1.768,1.698,1.657,,,,,,,,,
Belarus,BLR,12,,,,,,,0,0,0,0,0,0,0,0,0,0,0,
Belarus,BLR,13,,,,,,,0,0,0,0,0,0,0,0,0,0,0,
Belarus,BLR,14,,,,,,0,0,0,0,0,0,0,0,0,0,0,,
Belarus,BLR,15,,,,,,0,0,0,0,0,0,0,0,0,0,0,,
Belarus,BLR,16,,,,,,0,0,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.002,0.001,,
Belarus,BLR,17,,,,,,0.002,0.002,0.003,0.004,0.005,0.009,0.011,0.007,0.006,0.007,0.004,,
Belarus,BLR,18,,,,,,0.008,0.011,0.014,0.017,0.023,0.038,0.034,0.023,0.02,0.022,0.011,,
Belarus,BLR,19,,,,,,0.032,0.045,0.053,0.059,0.077,0.106,0.08,0.056,0.051,0.051,,,
Belarus,BLR,20,,,,,,0.1,0.137,0.153,0.164,0.204,0.209,0.157,0.112,0.101,0.096,,,
Belarus,BLR,21,,,,,,0.236,0.284,0.309,0.314,0.373,0.326,0.256,0.188,0.166,0.157,,,
Belarus,BLR,22,,,,,,0.413,0.461,0.489,0.502,0.554,0.446,0.361,0.278,0.246,0.224,,,
Belarus,BLR,23,,,,,,0.597,0.646,0.68,0.7,0.724,0.56,0.465,0.377,0.338,0.297,,,
Belarus,BLR,24,,,,,,0.773,0.822,0.866,0.882,0.867,0.672,0.567,0.486,0.442,,,,
Belarus,BLR,25,,,,,,0.938,0.98,1.034,1.035,0.988,0.774,0.665,0.597,0.556,,,,
Belarus,BLR,26,,,,,,1.087,1.123,1.194,1.161,1.089,0.868,0.764,0.712,0.676,,,,
Belarus,BLR,27,,,,,,1.219,1.254,1.33,1.262,1.168,0.948,0.863,0.826,0.789,,,,
Belarus,BLR,28,,,,,,1.339,1.375,1.447,1.341,1.238,1.02,0.959,0.939,0.89,,,,
Belarus,BLR,29,,,,,,1.444,1.487,1.546,1.404,1.302,1.086,1.051,1.048,,,,,
Belarus,BLR,30,,,,,,1.534,1.579,1.625,1.458,1.359,1.147,1.137,1.154,,,,,
Belarus,BLR,31,,,,,,1.612,1.659,1.684,1.501,1.41,1.206,1.217,1.256,,,,,
Belarus,BLR,32,,,,,,1.676,1.726,1.728,1.535,1.454,1.264,1.294,1.346,,,,,
Belarus,BLR,33,,,,,,1.732,1.779,1.762,1.565,1.491,1.318,1.366,1.42,,,,,
Belarus,BLR,34,,,,,,1.78,1.821,1.789,1.591,1.523,1.367,1.432,,,,,,
Belarus,BLR,35,,,,,,1.819,1.853,1.811,1.613,1.551,1.411,1.493,,,,,,
Belarus,BLR,36,,,,,,1.852,1.876,1.827,1.632,1.575,1.448,1.547,,,,,,
Belarus,BLR,37,,,,,,1.879,1.893,1.839,1.647,1.597,1.48,1.593,,,,,,
Belarus,BLR,38,,,,,,1.899,1.905,1.848,1.658,1.616,1.508,1.627,,,,,,
Belarus,BLR,39,,,,,,1.914,1.913,1.856,1.667,1.631,1.53,,,,,,,
Belarus,BLR,40,,,,,,1.923,1.92,1.862,1.674,1.643,1.548,,,,,,,
Belarus,BLR,41,,,,,,1.929,1.924,1.866,1.679,1.651,1.561,,,,,,,
Belarus,BLR,42,,,,,,1.933,1.927,1.869,1.683,1.657,1.571,,,,,,,
Belarus,BLR,43,,,,,,1.936,1.929,1.871,1.686,1.661,1.576,,,,,,,
Belarus,BLR,44,,,,,,1.937,1.93,1.872,1.687,1.663,,,,,,,,
Belarus,BLR,45,,,,,,1.938,1.93,1.872,1.688,1.664,,,,,,,,
Belarus,BLR,46,,,,,,1.938,1.931,1.873,1.689,1.665,,,,,,,,
Belarus,BLR,47,,,,,,1.938,1.931,1.873,1.689,1.665,,,,,,,,
Belarus,BLR,48,,,,,,1.938,1.931,1.873,1.689,1.665,,,,,,,,
Belarus,BLR,49,,,,,,1.938,1.931,1.873,1.689,,,,,,,,,
Belarus,BLR,50,,,,,,1.938,1.931,1.873,1.689,,,,,,,,,
Belarus,BLR,51,,,,,,1.938,1.931,1.873,1.689,,,,,,,,,
Belarus,BLR,52,,,,,,1.938,1.931,1.873,1.689,,,,,,,,,
Belarus,BLR,53,,,,,,1.938,1.931,1.873,1.689,,,,,,,,,
Belarus,BLR,54,,,,,,1.938,1.931,1.873,,,,,,,,,,
