TypeofBreach,BreachLocation,Covered Entity Type,Location of Breached Information,Type of Breach,TypeofBreach (group),Individuals Affected,Status,State,Name of Covered Entity,Covered Entity Type (copy),Business Associate Present,Breach Submission Date
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,417000,Under Investigation,GA,"AU Medical Center, INC",Healthcare Provider,No,8/16/2018
Hacking/IT Incident,Email,Business Associate,Email,Hacking/IT Incident,Hacking/IT Incident,2032,Under Investigation,OH,"Chapman & Chapman, Inc.",Business Associate,Yes,8/17/2018
Improper Disposal,Paper/Films,Healthcare Provider,Paper/Films,Improper Disposal,Other,5000,Under Investigation,IA,Crossroads Behavioral Health,Healthcare Provider,No,8/28/2018
Unauthorized Access,Email,Healthcare Provider,"Electronic Medical Record, Email, Laptop, Network Server",Unauthorized Access/Disclosure,Other,2180,Under Investigation,TX,South Alamo Medical Group P.A,Healthcare Provider,No,8/30/2018
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,15129,Under Investigation,FL,"David G. Simon, DMD, PA, d/b/a Simon Orthodontics",Healthcare Provider,No,8/31/2018
Unauthorized Access,Paper/Films,Health Plan,Paper/Films,Unauthorized Access/Disclosure,Other,516,Under Investigation,NE,Nebraska Department of Health and Human Services,Health Plan,No,9/4/2018
Hacking/IT Incident,EMR,Healthcare Provider,"Desktop Computer, Electronic Medical Record, Network Server",Hacking/IT Incident,Hacking/IT Incident,3200,Under Investigation,NV,J.A. Stokes Ltd.,Healthcare Provider,No,9/5/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,565,Under Investigation,NY,"Catholic Charities Neighborhood Services, Inc.",Healthcare Provider,No,9/7/2018
Unauthorized Access,Network Server,Healthcare Provider,Network Server,Unauthorized Access/Disclosure,Other,855,Under Investigation,TX,"Total Diagnostix II, LLC",Healthcare Provider,No,9/12/2018
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,500,Under Investigation,TX,The University of Texas Health Science Center at Houston,Healthcare Provider,No,9/18/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,1839,Under Investigation,CO,"Personal Assistance Services of Colorado, LLC",Healthcare Provider,No,9/20/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,14329,Under Investigation,KS,Ransom Memorial Hospital,Healthcare Provider,No,9/25/2018
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,15974,Under Investigation,CA,National Ambulatory Hernia Institute,Healthcare Provider,No,10/5/2018
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,10862,Under Investigation,TX,Dr. Amy Woodruff,Healthcare Provider,No,10/7/2018
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,3000,Under Investigation,TX,Dr. Robert Carpenter,Healthcare Provider,No,10/7/2018
Unauthorized Access,Email,Health Plan,Email,Unauthorized Access/Disclosure,Other,8056,Under Investigation,TX,FirstCare Health Plans,Health Plan,No,10/12/2018
Unauthorized Access,,Business Associate,Other,Unauthorized Access/Disclosure,Other,1332,Under Investigation,IL,HealthFitness,Business Associate,Yes,10/15/2018
Unauthorized Access,,Business Associate,Other,Unauthorized Access/Disclosure,Other,550,Under Investigation,IL,HealthFitness,Business Associate,Yes,10/15/2018
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,39605,Under Investigation,IA,"Jones Eye Center, P.C.",Healthcare Provider,No,10/22/2018
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,22416,Under Investigation,IA,"CJ Elmwood Partners, L.P.",Healthcare Provider,No,10/22/2018
Hacking/IT Incident,,Health Plan,Other,Hacking/IT Incident,Hacking/IT Incident,566217,Under Investigation,IN,CNO ACE,Health Plan,No,10/25/2018
Unauthorized Access,,Business Associate,Other,Unauthorized Access/Disclosure,Other,614,Under Investigation,IL,HealthFitness,Business Associate,Yes,10/28/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,1804,Under Investigation,TX,Dallas County Mental Health Mental Retardation Center dba Metrocare Services,Healthcare Provider,No,11/1/2018
Hacking/IT Incident,Network Server,Healthcare Provider,"Desktop Computer, Network Server",Hacking/IT Incident,Hacking/IT Incident,40000,Under Investigation,TX,"Oprex Surgery (Baytown), L.P. d/b/a Altus Baytown Hospital",Healthcare Provider,No,11/2/2018
Unauthorized Access,EMR,Healthcare Provider,Electronic Medical Record,Unauthorized Access/Disclosure,Other,1216,Under Investigation,NY,SUNY Upstate Medical University,Healthcare Provider,No,11/9/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,7012,Under Investigation,GA,"Georgia Spine & Orthopaedics of Atlanta, LLC",Healthcare Provider,No,11/16/2018
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,20371,Under Investigation,IL,Center for Vitreo-Retinal Diseases,Healthcare Provider,No,11/16/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,128400,Under Investigation,NY,"New York Oncology Hematology, P.C.",Healthcare Provider,No,11/16/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,218055,Under Investigation,NY,Episcopal Health Services,Healthcare Provider,No,11/19/2018
Unauthorized Access,Network Server,Business Associate,"Network Server, Other Portable Electronic Device",Unauthorized Access/Disclosure,Other,435339,Under Investigation,GA,Georgia Department of Human Services,Business Associate,Yes,11/30/2018
Unauthorized Access,Email,Health Plan,Email,Unauthorized Access/Disclosure,Other,1912,Under Investigation,OH,Butler County Board of County Commissioners,Health Plan,No,12/4/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,599,Under Investigation,MN,Ramsey County,Healthcare Provider,No,12/11/2018
Hacking/IT Incident,,Healthcare Provider,Other,Hacking/IT Incident,Hacking/IT Incident,900,Under Investigation,MN,Smile Designs by Sandwick,Healthcare Provider,No,12/13/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,32470,Under Investigation,NY,University of Vermont Health Network - Elizabethtown Community Hospital,Healthcare Provider,No,12/17/2018
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,1643,Under Investigation,MO,Barnes-Jewish Hospital,Healthcare Provider,No,12/18/2018
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,177890,Under Investigation,NY,JAND Inc. d/b/a Warby Parker,Healthcare Provider,No,12/20/2018
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,2284,Under Investigation,MI,Kent County Community Mental Health Authority,Healthcare Provider,No,12/21/2018
Hacking/IT Incident,Email,Health Plan,Email,Hacking/IT Incident,Hacking/IT Incident,850,Under Investigation,WI,WEA Insurance Corporation,Health Plan,No,12/27/2018
Hacking/IT Incident,Network Server,Business Associate,"Desktop Computer, Network Server",Hacking/IT Incident,Hacking/IT Incident,48471,Under Investigation,MI,Wolverine Solutions Group,Business Associate,Yes,12/28/2018
Hacking/IT Incident,Email,Business Associate,"Email, Laptop",Hacking/IT Incident,Hacking/IT Incident,4309,Under Investigation,MO,Choice Rehabilitation,Business Associate,Yes,12/29/2018
Unauthorized Access,Paper/Films,Health Plan,Paper/Films,Unauthorized Access/Disclosure,Other,576,Under Investigation,IN,Managed Health Services,Health Plan,No,1/3/2019
Hacking/IT Incident,Email,Health Plan,Email,Hacking/IT Incident,Hacking/IT Incident,31300,Under Investigation,IN,Managed Health Services,Health Plan,Yes,1/3/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,8429,Under Investigation,KY,"Family Physicians of Winter Park, Inc.",Healthcare Provider,No,1/8/2019
Theft,Desktop Computer,Healthcare Provider,"Desktop Computer, Laptop",Theft,Other,7206,Under Investigation,NJ,"Integrity, Inc. d/b/a Integrity House",Healthcare Provider,No,1/18/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,70799,Under Investigation,KS,Valley Hope Association,Healthcare Provider,No,1/18/2019
Theft,Paper/Films,Healthcare Provider,"Desktop Computer, Other, Paper/Films",Theft,Other,700,Under Investigation,MI,Youssef M Aoun DPM PLLC,Healthcare Provider,No,1/24/2019
Unauthorized Access,,Business Associate,Other,Unauthorized Access/Disclosure,Other,1808,Under Investigation,IL,HealthFitness,Business Associate,Yes,1/25/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,12029,Under Investigation,IN,Valley Professionals Community Health Center,Healthcare Provider,No,1/25/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,7038,Under Investigation,NE,Pawnee County Memorial Hospital,Healthcare Provider,No,1/28/2019
Hacking/IT Incident,Network Server,Business Associate,Network Server,Hacking/IT Incident,Hacking/IT Incident,85874,Under Investigation,OH,"Schroder's I.T., Inc.",Business Associate,Yes,1/29/2019
Hacking/IT Incident,Network Server,Healthcare Provider,"Desktop Computer, Network Server",Hacking/IT Incident,Hacking/IT Incident,40000,Under Investigation,MN,"Reproductive Medicine and Infertility Associates, P.A.",Healthcare Provider,No,2/1/2019
Hacking/IT Incident,Desktop Computer,Healthcare Provider,Desktop Computer,Hacking/IT Incident,Hacking/IT Incident,10000,Under Investigation,TX,Rainbow Dental Care PLLC,Healthcare Provider,No,2/4/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,42161,Under Investigation,FL,AdventHealth Medical Group,Healthcare Provider,No,2/5/2019
Hacking/IT Incident,Network Server,Business Associate,Network Server,Hacking/IT Incident,Hacking/IT Incident,2903,Under Investigation,FL,"USR Holdings, LLC",Business Associate,Yes,2/8/2019
Hacking/IT Incident,EMR,Healthcare Provider,"Electronic Medical Record, Network Server",Hacking/IT Incident,Hacking/IT Incident,14000,Under Investigation,MD,"Green Ridge Behavioral Health, LLC",Healthcare Provider,No,2/11/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,971,Under Investigation,CO,Rocky Mountain Health Care Services,Healthcare Provider,No,2/11/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,12000,Under Investigation,VA,Portsmouth Community Health Center,Healthcare Provider,No,2/14/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,973024,Under Investigation,WA,UW Medicine,Healthcare Provider,No,2/20/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,72224,Under Investigation,VT,"Rutland Hospital, Inc. d/b/a/ Rutland Regional Medical Center",Healthcare Provider,No,2/20/2019
Theft,,Healthcare Provider,Other,Theft,Other,6000,Under Investigation,MT,Rocky Boy Health Center,Healthcare Provider,No,2/21/2019
Hacking/IT Incident,Email,Healthcare Provider,Email,Hacking/IT Incident,Hacking/IT Incident,326629,Under Investigation,CT,UConn Health,Healthcare Provider,No,2/21/2019
Hacking/IT Incident,Network Server,Health Plan,Network Server,Hacking/IT Incident,Hacking/IT Incident,1447,Under Investigation,KY,Humana Inc,Health Plan,Yes,2/27/2019
Hacking/IT Incident,EMR,Healthcare Provider,Electronic Medical Record,Hacking/IT Incident,Hacking/IT Incident,500,Under Investigation,MD,"Arthritis & Rheumatism Associates, P.C.",Healthcare Provider,No,3/1/2019
Hacking/IT Incident,Network Server,Healthcare Provider,Network Server,Hacking/IT Incident,Hacking/IT Incident,32178,Under Investigation,SC,St. Francis Physician Services,Healthcare Provider,No,3/4/2019
