Name,Row Labels,Region,Region,Region,Picture,17/01/2013,14/02/2013,14/03/2013,11/04/2013,09/05/2013,06/06/2013,04/07/2013,08/08/2013,12/09/2013,17/10/2013,28/11/2013,19/12/2013,16/01/2014,13/02/2014,13/03/2014,10/04/2014,08/05/2014,05/06/2014,17/07/2014,14/08/2014,18/09/2014,23/10/2014,27/11/2014,18/12/2014,08/01/2015,12/02/2015,12/03/2015,09/04/2015,07/05/2015,04/06/2015,09/07/2015,06/08/2015,03/09/2015,01/10/2015,05/11/2015,03/12/2015,07/01/2016,04/02/2016,03/03/2016,07/04/2016,05/05/2016,02/06/2016,14/07/2016,11/08/2016,15/09/2016,20/10/2016,24/11/2016,22/12/2016,12/01/2017,09/02/2017,09/03/2017,06/04/2017,04/05/2017,01/06/2017,06/07/2017,10/08/2017,14/09/2017,16/10/2017,23/11/2017,21/12/2017,18/01/2018,15/02/2018,15/03/2018,12/04/2018,17/05/2018,07/06/2018,01/07/2018,16/08/2018,20/09/2018,25/10/2018,29/11/2018,20/12/2018,07/02/2019,04/04/2019,14/06/2019,25/07/2019,19/09/2019,24/10/2019,28/11/2019,19/12/2019,20/02/2020,09/04/2020,11/06/2020,16/07/2020,17/09/2020,22/10/2020,26/11/2020,10/12/2020,18/02/2021,07/04/2021,27/05/2021,12/08/2021,16/09/2021,21/10/2021,19/11/2021,23/12/2021,10/02/2022,31/03/2022,23/06/2022,25/08/2022,06/10/2022,22/12/2022,06/04/2023,29/06/2023,20/07/2023
Argentina,Argentina,Americas,CONMEBOL,South America,https://public.flourish.studio/country-flags/svg/ar.svg,1290,1281,1309,1292,1296,1287,1204,1210,1263,1266,1251,1251,1251,1255,1234,1174,1178,1175,1606,1604,1631,1565,1538,1538,1538,1534,1577,1490,1494,1496,1473,1425,1442,1419,1383,1455,1455,1455,1457,1532,1532,1503,1585,1585,1646,1621,1634,1634,1634,1635,1644,1603,1603,1626,1413,1399,1325,1445,1348,1348,1348,1348,1359,1254,1254,1241,2080,1574,1575,1573,1582,1582,1582,1580,1582,1610,1614,1617,1623,1623,1623,1623,1623,1623,1623,1636,1642,1642,1642,1641.95,1641.95,1714.43,1725.31,1738.79,1750.51,1750.51,1766.99,1765.13,1770.65,1770.65,1773.88,1838.38,1840.93,1843.73,1843.73
Brazil,Brazil,Americas,CONMEBOL,South America,https://public.flourish.studio/country-flags/svg/br.svg,946,924,908,909,902,,1095,1089,1067,1078,1102,1102,1102,1125,1104,1174,1210,1242,1241,1241,1291,1307,1316,1316,1316,1333,1348,1354,1372,1392,1186,1186,1209,1204,1208,1251,1251,1251,1254,1251,1261,1257,1156,1156,1323,1410,1544,1544,1544,1529,1534,1661,1672,1715,1603,1604,1590,1619,1483,1483,1483,1484,1489,1384,1384,1431,2160,1657,1663,1669,1676,1676,1676,1676,1681,1726,1719,1715,1712,1712,1712,1712,1712,1712,1712,1725,1743,1743,1743,1742.65,1742.65,1797.67,1811.73,1820.36,1826.35,1826.35,1823.42,1832.69,1837.56,1837.56,1841.3,1840.77,1834.21,1828.27,1828.27
Chile,Chile,Americas,CONMEBOL,South America,https://public.flourish.studio/country-flags/svg/cl.svg,,,,,,,,,967,1051,1014,1014,1005,1038,998,1011,1037,1026,1098,1100,1100,1060,1022,1022,1016,1037,1057,991,1002,989,1129,1124,1149,1177,1288,1273,1269,1293,1307,1348,1353,1293,1316,1316,1284,1273,1404,1404,1404,1386,1389,1403,1411,1422,1250,1250,1195,1173,1162,1162,1147,1153,1161,1146,1146,1135,2041,1570,1568,1568,1565,1565,1565,1559,1561,1583,1576,1579,1579,1579,1579,1579,1579,1579,1579,1570,1567,1567,1567,1569.52,1569.52,1557.81,,,,,,,,,,,,,
Colombia,Colombia,Americas,CONMEBOL,South America,https://public.flourish.studio/country-flags/svg/co.svg,1164,1129,1159,1154,1154,1123,1206,1219,1180,1178,1200,1200,1200,1211,1183,1186,1186,1137,1492,1495,1488,1420,1450,1450,1450,1456,1499,1412,1412,1435,1217,1218,1224,1228,1233,1211,1211,1211,1215,1337,1337,1328,1331,1331,1323,1361,1345,1345,1345,1304,1312,1348,1348,1366,1208,1208,1191,1095,1078,1078,1078,1095,1106,989,989,986,1998,1563,1567,1575,1575,1575,1575,1573,1580,1622,1622,1615,1622,1622,1622,1622,1622,1622,1622,1631,1601,1601,1601,1600.66,1600.66,1617.67,1618.4,1618.76,1607.15,1607.15,1585.89,1600.52,1604.07,1604.07,1611.04,1612.78,1617.08,1624.91,1624.91
Costa Rica,Costa Rica,Americas,CONCACAF,North and Central America,https://public.flourish.studio/country-flags/svg/cr.svg,,,,,,,,,,,,,,,,,,,986,1023,988,974,995,997,995,1074,1095,1014,1016,1056,,,,,,,,,,,,,,,943,971,1041,1041,1041,948,953,902,902,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,Ecuador,Americas,CONMEBOL,South America,https://public.flourish.studio/country-flags/svg/ec.svg,1007,999,1037,1056,1058,1066,932,972,851,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,1040,1040,1039,1019,1019,978,1002,1002,917,932,890,890,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Mexico,Americas,CONCACAF,North and Central America,https://public.flourish.studio/country-flags/svg/mx.svg,994,968,995,971,945,928,880,879,,,892,,,,888,876,877,882,930,942,963,954,913,913,913,,,937,,,,,,,,,,,,934,938,942,1044,1042,1057,1001,1012,1012,1012,1016,1026,1072,1076,1050,1003,1046,1085,1060,1032,1032,1032,1034,1038,1008,1008,989,2041,1560,1550,1549,1540,1540,1540,1549,1557,1604,1603,1613,1621,1621,1621,1621,1621,1621,1621,1625,1632,1632,1632,1629.56,1629.56,1658.29,1666.19,1672.92,1638.76,1638.3,1647.9,1658.82,1649.57,1649.57,1644.89,1635.78,1631.87,1639.19,1665.59
Peru,Peru,Americas,CONMEBOL,South America,https://public.flourish.studio/country-flags/svg/pe.svg,,,,,,,898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965,965,965,965,965,1042,1044,1108,1014,1023,1103,1160,1128,1128,1128,1128,1128,1106,1106,1125,1975,1535,,1530,1518,1518,1518,,,1552,1551,1548,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Uruguay,Americas,CONMEBOL,South America,https://public.flourish.studio/country-flags/svg/uy.svg,975,950,950,932,932,913,1016,998,1126,1164,1132,1132,1132,1157,1126,1181,1181,1147,1330,1316,1243,1184,1135,1135,1135,1146,1164,1176,1176,1183,1036,988,1002,919,1051,1074,1074,1074,1082,1158,1158,1150,1130,1130,1173,1175,1187,1187,1187,1195,1200,1097,1097,1099,995,995,1043,1034,,,,,,976,976,1018,2017,1627,1632,1617,1609,1609,1609,1613,1615,1637,1639,1642,1645,1645,1645,1645,1645,1645,1645,1637,1639,1639,1639,1639.08,1639.08,1634.63,1645.42,1625.67,1596.66,1596.66,1614.05,1635.73,1643.71,1640.95,1638.71,1627.45,1631.29,1633.13,1633.13
USA,USA,Americas,CONCACAF,North and Central America,https://public.flourish.studio/country-flags/svg/us.svg,,,,,,,,960,996,1040,1019,1019,1019,1044,1017,1015,1015,1035,989,937,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1555.42,1555.42,1647.75,1643.1,1639.42,1647.14,1648.51,1643.34,1633.72,1635.01,1635.01,1627.48,1652.74,1653.77,1673.34,1674.48
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,UEFA,Europe,#N/A,,,,,,1008,995,995,934,925,,899,899,919,,,,,917,925,,,,,,,,,,,,,,,923,,,,,913,913,886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Austria,Europe,UEFA,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946,1016,1016,1038,1100,1130,1091,1091,1091,1095,1067,1067,1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Japan,APAC,AFC,Asia,https://public.flourish.studio/country-flags/svg/jp.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1593.08,1588.59,1595.96,1595.96
Belgium,Belgium,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/be.svg,868,864,892,953,953,1035,1079,1079,1159,1175,1098,1098,1098,1117,1084,1039,1039,1074,1401,1407,1444,1388,1417,1417,1417,1430,1471,1457,1457,1509,1244,1244,1269,1387,1440,1494,1494,1494,1506,1352,1364,1384,1401,1401,1369,1382,1368,1368,1368,1371,1379,1281,1281,1292,1194,1194,1265,1333,1325,1325,1325,1325,1337,1346,1346,1298,2124,1723,1729,1733,1727,1727,1727,1737,1746,1746,1752,1755,1765,1765,1765,1765,1765,1765,1773,1765,1780,1780,1780,1783.38,1783.38,1822.34,1832.33,1832.33,1828.45,1828.45,1828.45,1827,1821.92,1821.92,1816.71,1781.3,1792.53,1788.55,1788.55
Croatia,Croatia,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/hr.svg,1064,1059,1080,1191,1191,1222,1098,1098,1051,901,971,971,971,966,955,871,871,903,955,964,928,1002,946,946,946,945,963,977,977,992,1023,1023,1037,965,924,958,958,958,965,,,,1022,1022,1059,1027,1103,1103,1103,1039,1042,1016,1016,1033,1007,1007,977,1013,1018,1018,1048,1048,1053,975,975,945,2036,1643,1634,1635,1634,1634,1634,1621,1625,1625,1625,1631,1642,1642,1642,1642,1642,1642,1628,1634,1617,1617,1617,1605.75,1605.75,1594.36,1608.25,1608.84,1620.74,1620.74,1620.74,1621.11,1632.15,1632.15,1645.64,1727.62,1730.02,1742.55,1742.55
Czech Republic,Czech Republic,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/cz.svg,,,,,,,,,,,,,,,,,,,,,,,987,987,987,990,1045,923,923,1036,933,933,940,983,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Denmark,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/dk.svg,,,,900,900,890,,,,,,,,907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,1099,1099,1099,1099,1108,1054,1054,1051,2014,1580,1581,1584,1589,1589,1589,1586,1589,1589,1584,1599,1598,1598,1598,1598,1598,1598,1593,1610,1614,1614,1614,1631.55,1631.55,1642.28,1658.49,1668.98,1654.54,1654.54,1654.54,1653.6,1665.47,1665.47,1666.57,1608.11,1594.53,1597.37,1597.37
England,England,Europe,UEFA,Europe,https://public.flourish.studio/uploads/1358325/9fd3db22-1df2-4d89-98a5-8a4a52a3a6ba.svg,1151,1160,1174,1135,1135,1095,994,994,947,1080,1041,1041,1041,1032,1045,1043,1043,1090,911,915,935,919,1032,1032,1032,1028,1031,1030,1030,1051,1157,1157,1143,1161,1179,1106,1106,1106,1112,1069,1069,1069,1107,1107,1130,1090,1114,1114,1114,1113,1114,1103,1103,1119,1051,1051,1056,1116,1047,1047,1047,1047,1047,1040,1040,1051,2099,1615,1612,1619,1631,1631,1631,1647,1652,1652,1662,1651,1661,1661,1661,1661,1661,1661,1664,1669,1670,1670,1670,1686.78,1686.78,1752.83,1755.44,1750.16,1755.52,1755.52,1755.52,1761.71,1737.46,1737.46,1728.47,1774.19,1792.43,1797.39,1797.39
France,France,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/fr.svg,949,929,921,914,914,922,,,,,893,893,893,917,929,935,935,913,1202,1212,1202,1191,1160,1160,1160,1168,1180,1127,1127,1164,,,,,,,,,,,,925,1189,1189,1188,1271,1305,1305,1305,1313,1318,1294,1294,1332,1199,1157,1208,1226,1183,1183,1183,1183,1185,1166,1166,1198,2164,1726,1729,1732,1726,1726,1726,1734,1718,1718,1725,1726,1733,1733,1733,1733,1733,1733,1744,1752,1755,1755,1755,1757.3,1757.3,1761.77,1754.31,1779.24,1786.15,1786.15,1786.15,1789.85,1764.85,1764.85,1759.78,1823.39,1838.45,1843.54,1843.54
Germany,Germany,Europe,UEFA,Europe,https://public.flourish.studio/country-flags/svg/de.svg,1437,1437,1473,1428,1428,1416,1273,1257,1261,1311,1318,1318,1318,1314,1336,1340,1340,1300,1724,1736,1765,1669,1725,1725,1725,1729,1770,1687,1687,1775,1411,1226,1248,1401,1388,1347,1347,1347,1355,1309,1309,1310,1319,1319,1347,1465,1433,1433,1433,1433,1443,1464,1464,1511,1609,1549,1606,1631,1602,1602,1602,1602,1609,1533,1544,1558,2172,1561,1568,1555,1558,1558,1558,1570,1582,1582,1580,1586,1602,1602,1602,1602,1602,1602,1602,1607,1610,1610,1610,1609.12,1609.12,1613.29,1627.8,1642.47,1648.33,1648.33,1648.33,1650.53,1658.96,1658.96,1650.21,1646.91,1647.42,1636.32,1636.32
