Region,Subregion,Country,Indicator,Year,Value
Americas,South America,South America,Homicide count,2018,89079.0
Americas,South America,South America,Homicide rate,2018,21.0
Americas,South America,South America,Homicide count,2017,99295.0
Americas,South America,South America,Homicide rate,2017,23.6
Americas,South America,South America,Homicide count,2016,100257.0
Americas,South America,South America,Homicide rate,2016,24.1
Americas,South America,South America,Homicide count,2015,95443.0
Americas,South America,South America,Homicide rate,2015,23.1
Americas,South America,South America,Homicide count,2014,99928.0
Americas,South America,South America,Homicide rate,2014,24.5
Americas,South America,South America,Homicide count,2013,95095.0
Americas,South America,South America,Homicide rate,2013,23.5
Americas,South America,South America,Homicide count,2012,95027.0
Americas,South America,South America,Homicide rate,2012,23.7
Americas,South America,South America,Homicide count,2011,87819.0
Americas,South America,South America,Homicide rate,2011,22.1
Americas,South America,South America,Homicide count,2010,81629.0
Americas,South America,South America,Homicide rate,2010,20.8
Americas,South America,South America,Homicide count,2009,83727.0
Americas,South America,South America,Homicide rate,2009,21.6
Americas,South America,South America,Homicide count,2008,86008.0
Americas,South America,South America,Homicide rate,2008,22.4
Americas,South America,South America,Homicide count,2007,83651.0
Americas,South America,South America,Homicide rate,2007,22.0
Americas,South America,South America,Homicide count,2006,83364.0
Americas,South America,South America,Homicide rate,2006,22.2
Americas,South America,South America,Homicide count,2005,80075.0
Americas,South America,South America,Homicide rate,2005,21.5
Americas,South America,South America,Homicide count,2004,83256.0
Americas,South America,South America,Homicide rate,2004,22.7
Americas,South America,South America,Homicide count,2003,90251.0
Americas,South America,South America,Homicide rate,2003,24.9
Americas,South America,South America,Homicide count,2002,92130.0
Americas,South America,South America,Homicide rate,2002,25.7
Americas,South America,South America,Homicide count,2001,87898.0
Americas,South America,South America,Homicide rate,2001,24.9
Americas,South America,South America,Homicide count,2000,84056.0
Americas,South America,South America,Homicide rate,2000,24.1
Americas,South America,South America,Homicide count,1999,77494.0
Americas,South America,South America,Homicide rate,1999,22.6
Americas,South America,South America,Homicide count,1998,73806.0
Americas,South America,South America,Homicide rate,1998,21.8
Americas,South America,South America,Homicide count,1997,71858.0
Americas,South America,South America,Homicide rate,1997,21.6
Americas,South America,South America,Homicide count,1996,71281.0
Americas,South America,South America,Homicide rate,1996,21.8
Americas,South America,South America,Homicide count,1995,67923.0
Americas,South America,South America,Homicide rate,1995,21.1
Americas,South America,South America,Homicide count,1994,68466.0
Americas,South America,South America,Homicide rate,1994,21.6
Americas,South America,South America,Homicide count,1993,67247.0
Americas,South America,South America,Homicide rate,1993,21.6
Americas,South America,South America,Homicide count,1992,63809.0
Americas,South America,South America,Homicide rate,1992,20.8
Americas,South America,South America,Homicide count,1991,65689.0
Americas,South America,South America,Homicide rate,1991,21.8
Americas,South America,South America,Homicide count,1990,62274.0
Americas,South America,South America,Homicide rate,1990,21.1
Asia,Southern Asia,Afghanistan,Homicide count,2018,2474.0
Asia,Southern Asia,Afghanistan,Homicide rate,2018,6.7
Asia,Southern Asia,Afghanistan,Homicide count,2017,2424.0
Asia,Southern Asia,Afghanistan,Homicide rate,2017,6.7
Asia,Southern Asia,Afghanistan,Homicide count,2016,2318.0
Asia,Southern Asia,Afghanistan,Homicide rate,2016,6.6
Asia,Southern Asia,Afghanistan,Homicide count,2015,3367.0
Asia,Southern Asia,Afghanistan,Homicide rate,2015,9.8
Asia,Southern Asia,Afghanistan,Homicide count,2012,1948.0
Asia,Southern Asia,Afghanistan,Homicide rate,2012,6.3
Asia,Southern Asia,Afghanistan,Homicide count,2011,1231.0
Asia,Southern Asia,Afghanistan,Homicide rate,2011,4.1
Asia,Southern Asia,Afghanistan,Homicide count,2010,983.0
Asia,Southern Asia,Afghanistan,Homicide rate,2010,3.4
Asia,Southern Asia,Afghanistan,Homicide count,2009,1115.0
Asia,Southern Asia,Afghanistan,Homicide rate,2009,3.9
