Country,Crop,%HHcrops,CropCount,TotalNumberHH
Ethiopia,Wheat,86%,401,469
Ethiopia,Barley,64%,300,469
Ethiopia,Horse/faba bean,45%,210,469
Ethiopia,Maize,26%,124,469
Ethiopia,Enset,25%,119,469
Ghana,Maize,92%,1165,1267
Ghana,Groundnut,59%,751,1267
Ghana,Rice,48%,602,1267
Ghana,Bean,30%,383,1267
Ghana,Yam,27%,337,1267
Mali,Maize,90%,620,687
Mali,Groundnut,73%,504,687
Mali,Sorghum,73%,502,687
Mali,Cotton,70%,483,687
Mali,Rice,49%,340,687
Malawi,Maize,100%,1141,1142
Malawi,Groundnut,73%,831,1142
Malawi,Soybean,52%,593,1142
Malawi,Bean,46%,520,1142
Malawi,Cowpea,35%,400,1142
Tanzania,Maize,98%,783,797
Tanzania,Bean,62%,493,797
Tanzania,Pigeonpea,45%,362,797
Tanzania,Sunflower,23%,183,797
Tanzania,Sorghum,11%,86,797
