State,Percentage
Alaska,13.4
Washington,0.5
Oregon,19.0
Idaho,34.0
Montana,28.6
Wyoming,22.4
North Dakota,38.2
South Dakota,27.1
Minnesota,40.5
Iowa,19.0
Wisconsin,-6.8
California,19.2
Nevada,-1.1
Utah,-7.2
Arizona,19.6
Colorado,-3.6
New Mexico,-7.8
Nebraska,0.0
Kansas,-12.1
Oklahoma,12.0
Texas,-7.2
Missouri,-7.9
Arkansas,15.0
Louisiana,25.2
Illinois,-3.9
Michigan,-1.4
Indiana,31.0
Kentucky,33.1
Tennessee,38.5
Mississippi,-10.6
Alabama,33.0
Georgia,68.1
Florida,1.2
New York,28.1
Pennsylvania,9.4
Virginia,-3.3
North Carolina,14.6
South Carolina,23.4
New Hampshire,26.9
Vermont,12.3
Massachusetts,32.1
Maine,3.4
Rhode Island,8.1
Connecticut,29.8
New Jersey,-6.76
Delaware,5.5
Maryland,18.4
West Virginia,11.5
Hawaii,23.8
Ohio,13.7
