fips,name,category,metro
01001,"Autauga County, Alabama",none,Metro
01003,"Baldwin County, Alabama",none,Metro
01005,"Barbour County, Alabama",both,Nonmetro
01007,"Bibb County, Alabama",none,Metro
01009,"Blount County, Alabama",none,Metro
01011,"Bullock County, Alabama",both,Nonmetro
01013,"Butler County, Alabama",both,Nonmetro
01015,"Calhoun County, Alabama",none,Metro
01017,"Chambers County, Alabama",none,Nonmetro
01019,"Cherokee County, Alabama",none,Nonmetro
01021,"Chilton County, Alabama",none,Metro
01023,"Choctaw County, Alabama",both,Nonmetro
01025,"Clarke County, Alabama",both,Nonmetro
01027,"Clay County, Alabama",none,Nonmetro
01029,"Cleburne County, Alabama",none,Nonmetro
01031,"Coffee County, Alabama",none,Nonmetro
01033,"Colbert County, Alabama",none,Metro
01035,"Conecuh County, Alabama",persistent,Nonmetro
01037,"Coosa County, Alabama",none,Nonmetro
01039,"Covington County, Alabama",none,Nonmetro
01041,"Crenshaw County, Alabama",none,Nonmetro
01043,"Cullman County, Alabama",none,Nonmetro
01045,"Dale County, Alabama",none,Nonmetro
01047,"Dallas County, Alabama",both,Nonmetro
01049,"DeKalb County, Alabama",high,Nonmetro
01051,"Elmore County, Alabama",none,Metro
01053,"Escambia County, Alabama",both,Nonmetro
01055,"Etowah County, Alabama",none,Metro
01057,"Fayette County, Alabama",none,Nonmetro
01059,"Franklin County, Alabama",none,Nonmetro
01061,"Geneva County, Alabama",high,Metro
01063,"Greene County, Alabama",both,Nonmetro
01065,"Hale County, Alabama",both,Metro
01067,"Henry County, Alabama",none,Metro
01069,"Houston County, Alabama",none,Metro
01071,"Jackson County, Alabama",none,Nonmetro
01073,"Jefferson County, Alabama",none,Metro
01075,"Lamar County, Alabama",high,Nonmetro
01077,"Lauderdale County, Alabama",none,Metro
01079,"Lawrence County, Alabama",none,Metro
01081,"Lee County, Alabama",none,Metro
01083,"Limestone County, Alabama",none,Metro
01085,"Lowndes County, Alabama",both,Metro
01087,"Macon County, Alabama",both,Nonmetro
01089,"Madison County, Alabama",none,Metro
01091,"Marengo County, Alabama",both,Nonmetro
01093,"Marion County, Alabama",none,Nonmetro
01095,"Marshall County, Alabama",high,Nonmetro
01097,"Mobile County, Alabama",none,Metro
01099,"Monroe County, Alabama",both,Nonmetro
01101,"Montgomery County, Alabama",none,Metro
01103,"Morgan County, Alabama",none,Metro
01105,"Perry County, Alabama",both,Nonmetro
01107,"Pickens County, Alabama",both,Metro
01109,"Pike County, Alabama",both,Nonmetro
01111,"Randolph County, Alabama",none,Nonmetro
01113,"Russell County, Alabama",high,Metro
01115,"St. Clair County, Alabama",none,Metro
01117,"Shelby County, Alabama",none,Metro
01119,"Sumter County, Alabama",both,Nonmetro
01121,"Talladega County, Alabama",none,Nonmetro
01123,"Tallapoosa County, Alabama",none,Nonmetro
