Industry,Number of employees,Number of Reporting Units
Education,11-50 employees,5231
Education,2-4 employees,9527
Education,250+ employees,669
Education,4-11 employees,8816
Education,50-250 employees,1532
Human health and social work activities,11-50 employees,15338
Human health and social work activities,2-4 employees,14036
Human health and social work activities,250+ employees,858
Human health and social work activities,4-11 employees,16462
Human health and social work activities,50-250 employees,4594
Transport and storage,11-50 employees,7016
Transport and storage,2-4 employees,27109
Transport and storage,250+ employees,406
Transport and storage,4-11 employees,17191
Transport and storage,50-250 employees,1612
Real estate activities,2-4 employees,36046
Real estate activities,250+ employees,238
Real estate activities,11-50 employees,4694
Real estate activities,4-11 employees,17705
Real estate activities,50-250 employees,596
Information and communication,11-50 employees,9048
Information and communication,2-4 employees,58279
Information and communication,250+ employees,424
Information and communication,4-11 employees,17419
Information and communication,50-250 employees,2118
Administrative and support service activities,11-50 employees,15554
Administrative and support service activities,2-4 employees,78883
Administrative and support service activities,250+ employees,1224
Administrative and support service activities,4-11 employees,41793
Administrative and support service activities,50-250 employees,4281
Accommodation and food service activities,11-50 employees,30165
Accommodation and food service activities,2-4 employees,45725
Accommodation and food service activities,250+ employees,689
Accommodation and food service activities,4-11 employees,62103
Accommodation and food service activities,50-250 employees,3354
Construction,11-50 employees,14712
Construction,2-4 employees,116582
Construction,250+ employees,333
Construction,4-11 employees,50659
Construction,50-250 employees,2132
Professional scientific and technical activities,11-50 employees,20515
Professional scientific and technical activities,2-4 employees,128981
Professional scientific and technical activities,250+ employees,824
Professional scientific and technical activities,4-11 employees,49660
Professional scientific and technical activities,50-250 employees,3981
Wholesale and retail trade; repair of motor vehicles and motor cycles,11-50 employees,33053
Wholesale and retail trade; repair of motor vehicles and motor cycles,2-4 employees,112447
Wholesale and retail trade; repair of motor vehicles and motor cycles,250+ employees,1232
Wholesale and retail trade; repair of motor vehicles and motor cycles,4-11 employees,98255
Wholesale and retail trade; repair of motor vehicles and motor cycles,50-250 employees,5294
