Year of Time,Country,Popolazione con livello base di digital skills (% di popolazione 16-74)
2021,Austria,63.33
2021,Belgium,54.23
2021,Bosnia and Herzegovina,34.65
2021,Bulgaria,31.18
2021,Croatia,63.37
2021,Cyprus,50.21
2021,Czechia,59.69
2021,Denmark,68.65
2021,Estonia,56.37
2021,European Union,53.92
2021,Finland,79.18
2021,France,61.96
2021,Germany,48.92
2021,Greece,52.48
2021,Hungary,49.09
2021,Ireland,70.49
2021,Italy,45.60
2021,Latvia,50.80
2021,Lithuania,48.84
2021,Luxembourg,63.79
2021,Malta,61.23
2021,Netherlands,78.94
2021,Norway,78.71
2021,Poland,42.93
2021,Portugal,55.31
2021,Romania,27.82
2021,Serbia,41.30
2021,Slovakia,55.18
2021,Slovenia,49.67
2021,Spain,64.16
2021,Sweden,66.60
2021,Türkiye,30.12
2023,Austria,64.68
2023,Belgium,59.39
2023,Bosnia and Herzegovina,30.08
2023,Bulgaria,35.52
2023,Croatia,58.95
2023,Cyprus,49.46
2023,Czechia,69.11
2023,Denmark,69.62
2023,Estonia,62.61
2023,European Union,55.56
2023,Finland,81.99
2023,France,59.67
2023,Germany,52.22
2023,Greece,52.40
2023,Hungary,58.89
2023,Ireland,72.91
2023,Italy,45.75
2023,Latvia,45.34
2023,Lithuania,52.91
2023,Luxembourg,60.14
2023,Malta,62.78
2023,Netherlands,82.70
2023,Norway,81.09
2023,Poland,44.30
2023,Portugal,55.97
2023,Romania,27.73
2023,Serbia,33.61
2023,Slovakia,51.31
2023,Slovenia,46.70
2023,Spain,66.18
2023,Sweden,66.44
2023,Türkiye,33.11
2025,Austria,69.77
2025,Belgium,61.22
2025,Bosnia and Herzegovina,36.25
2025,Bulgaria,38.26
2025,Croatia,63.38
2025,Cyprus,55.75
2025,Czechia,70.45
2025,Denmark,81.45
2025,Estonia,62.52
2025,European Union,60.40
2025,Finland,80.98
2025,France,65.74
2025,Germany,59.55
2025,Greece,50.96
2025,Hungary,57.32
2025,Ireland,82.82
2025,Italy,54.27
2025,Latvia,48.43
2025,Lithuania,53.80
2025,Luxembourg,62.40
2025,Malta,66.80
2025,Netherlands,83.61
2025,Norway,79.80
2025,Poland,50.42
2025,Portugal,59.15
2025,Romania,31.84
2025,Serbia,42.02
2025,Slovakia,53.56
2025,Slovenia,46.50
2025,Spain,66.50
2025,Sweden,69.99
2025,Türkiye,31.49
