Entity,Code,Year,Proportion of individuals who own a mobile telephone
Afghanistan,AFG,2016,46.8
Africa (UN),,2019,60.5
Africa (UN),,2020,63.6
Africa (UN),,2021,66.1
Africa (UN),,2022,67.9
Africa (UN),,2023,69
Algeria,DZA,2018,87.9
Algeria,DZA,2019,89.1
Algeria,DZA,2020,90.3
Algeria,DZA,2021,91.5
Algeria,DZA,2022,92.3
Algeria,DZA,2023,93
Andorra,AND,2019,96.2
Andorra,AND,2020,96.9
Andorra,AND,2021,93
Andorra,AND,2022,93.3
Andorra,AND,2023,93.8
Angola,AGO,2014,78.6
Angola,AGO,2020,49.9
Angola,AGO,2021,51.9
Angola,AGO,2022,53.9
Angola,AGO,2023,55.5
Antigua and Barbuda,ATG,2019,88.2
Antigua and Barbuda,ATG,2020,88.2
Antigua and Barbuda,ATG,2021,88.3
Antigua and Barbuda,ATG,2022,89.5
Antigua and Barbuda,ATG,2023,89
Argentina,ARG,2019,84.3
Argentina,ARG,2020,87.9
Argentina,ARG,2021,88.1
Argentina,ARG,2022,89.3
Argentina,ARG,2023,89.5
Armenia,ARM,2017,72.6
Armenia,ARM,2018,76.4
Armenia,ARM,2019,77.1
Armenia,ARM,2020,77.7
Armenia,ARM,2021,78.3
Armenia,ARM,2022,77.4
Armenia,ARM,2023,77.5
Asia (UN),,2019,66.4
Asia (UN),,2020,70.6
Asia (UN),,2021,73.5
Asia (UN),,2022,75.1
Asia (UN),,2023,76.1
Australia,AUS,2019,97.8
Australia,AUS,2020,97.4
Australia,AUS,2021,94.5
Australia,AUS,2022,94.5
Australia,AUS,2023,94.6
Australia and New Zealand (UN SDG),,2019,97.5
Australia and New Zealand (UN SDG),,2020,97
Australia and New Zealand (UN SDG),,2021,94.5
Australia and New Zealand (UN SDG),,2022,94.6
Australia and New Zealand (UN SDG),,2023,94.7
Australia and New Zealand (UN SDG),,2024,94.7
Austria,AUT,2019,97
Austria,AUT,2020,96.9
Austria,AUT,2021,94.6
Austria,AUT,2022,95.7
Austria,AUT,2023,96.2
Azerbaijan,AZE,2013,72.4
Azerbaijan,AZE,2014,73.9
Azerbaijan,AZE,2015,74.1
Azerbaijan,AZE,2016,73.4
Azerbaijan,AZE,2017,84
Azerbaijan,AZE,2018,83.5
Azerbaijan,AZE,2019,83.5
Azerbaijan,AZE,2020,84
Azerbaijan,AZE,2021,84
Azerbaijan,AZE,2022,83.8
Azerbaijan,AZE,2023,84.3
Bahamas,BHS,2019,91
Bahamas,BHS,2020,91.3
Bahamas,BHS,2021,91.8
Bahamas,BHS,2022,92
Bahamas,BHS,2023,92.8
Bahrain,BHR,2015,100
Bahrain,BHR,2016,100
Bahrain,BHR,2017,100
Bahrain,BHR,2018,100
Bahrain,BHR,2019,100
Bahrain,BHR,2020,100
Bahrain,BHR,2021,100
Bahrain,BHR,2022,100
Bahrain,BHR,2023,100
Bangladesh,BGD,2020,61.2
Bangladesh,BGD,2021,61.8
Bangladesh,BGD,2022,62.8
Bangladesh,BGD,2023,63.8
Barbados,BRB,2020,80.7
Barbados,BRB,2021,85.3
Barbados,BRB,2022,86
Barbados,BRB,2023,86.3
Belarus,BLR,2017,93.5
Belarus,BLR,2018,94.8
Belarus,BLR,2019,95.3
Belarus,BLR,2020,95.9
Belarus,BLR,2021,97.1
Belarus,BLR,2022,97
Belarus,BLR,2023,97.6
Belgium,BEL,2018,97.2
Belgium,BEL,2019,87.3
Belgium,BEL,2020,87.3
Belgium,BEL,2021,83.2
Belgium,BEL,2022,86.7
Belgium,BEL,2023,87.2
Belize,BLZ,2020,70.4
Belize,BLZ,2021,73
Belize,BLZ,2022,73.6
Belize,BLZ,2023,78.1
Benin,BEN,2020,45.8
Benin,BEN,2021,53.9
Benin,BEN,2022,60.7
Benin,BEN,2023,61.3
Bhutan,BTN,2020,79.3
Bhutan,BTN,2021,87.2
Bhutan,BTN,2022,87.3
Bhutan,BTN,2023,89.2
Bolivia,BOL,2019,66.3
Bolivia,BOL,2020,73.2
Bolivia,BOL,2021,76.1
Bolivia,BOL,2022,77.4
Bolivia,BOL,2023,79.7
Bosnia and Herzegovina,BIH,2019,77.2
Bosnia and Herzegovina,BIH,2020,82.4
Bosnia and Herzegovina,BIH,2021,84.2
Bosnia and Herzegovina,BIH,2022,85.7
Bosnia and Herzegovina,BIH,2023,87.9
Botswana,BWA,2020,84.8
Botswana,BWA,2021,87.9
Botswana,BWA,2022,89.5
Botswana,BWA,2023,90.6
Brazil,BRA,2014,84.4
Brazil,BRA,2015,83.9
Brazil,BRA,2016,82.9
Brazil,BRA,2017,83.1
Brazil,BRA,2018,83
Brazil,BRA,2019,84.5
Brazil,BRA,2020,89
Brazil,BRA,2021,88.8
Brazil,BRA,2022,88.1
Brazil,BRA,2023,88.1
British Virgin Islands,VGB,2016,76.9
British Virgin Islands,VGB,2017,76.9
Brunei,BRN,2016,99
Brunei,BRN,2018,94
Brunei,BRN,2019,94
Brunei,BRN,2020,93.3
Brunei,BRN,2021,92.6
Brunei,BRN,2022,91.8
Brunei,BRN,2023,91.8
Bulgaria,BGR,2020,87.6
Bulgaria,BGR,2021,90.2
Bulgaria,BGR,2022,92.5
Bulgaria,BGR,2023,93.6
Burkina Faso,BFA,2019,52.4
Burkina Faso,BFA,2020,54.3
Burkina Faso,BFA,2021,53.7
Burkina Faso,BFA,2022,54.7
Burkina Faso,BFA,2023,55.9
Burundi,BDI,2013,13.9
Burundi,BDI,2014,11.4
Burundi,BDI,2017,18.4
Burundi,BDI,2019,19.8
Burundi,BDI,2020,20.5
Burundi,BDI,2021,21.3
Burundi,BDI,2022,22
Burundi,BDI,2023,21
Cambodia,KHM,2017,26.3
Cambodia,KHM,2018,32.7
Cambodia,KHM,2019,71.6
Cambodia,KHM,2020,72.3
Cambodia,KHM,2021,73.1
Cambodia,KHM,2022,76
Cambodia,KHM,2023,79.4
Cameroon,CMR,2014,75.4
Cameroon,CMR,2019,60.3
Cameroon,CMR,2020,63.7
Cameroon,CMR,2021,64.7
Cameroon,CMR,2022,64.4
Cameroon,CMR,2023,64.3
Canada,CAN,2019,91
Canada,CAN,2020,90.5
Canada,CAN,2021,91
Canada,CAN,2022,91.8
Canada,CAN,2023,92.4
Cape Verde,CPV,2015,71
Cape Verde,CPV,2016,72.4
Cape Verde,CPV,2017,74.2
Cape Verde,CPV,2019,71.7
Cape Verde,CPV,2020,77.7
Cape Verde,CPV,2021,81.1
