country,year,value,variable
Brazil,2000,4312.75,Production
Brazil,2001,3519.59,Production
Brazil,2002,3890.68,Production
Brazil,2003,6016.02,Production
Brazil,2004,5961.03,Production
Brazil,2005,4760.82,Production
Brazil,2006,7001.2,Production
Brazil,2007,7361.25,Production
Brazil,2008,5580.95,Production
Brazil,2009,5480.94,Production
Brazil,2010,9001.55,Production
Brazil,2011,8621.46,Production
Brazil,2012,6021.03,Production
Brazil,2013,7961.38,Production
Brazil,2014,7181.23,Production
Brazil,2015,5921.02,Production
Brazil,2016,7021.23,Production
Brazil,2017,9201.56,Production
Brazil,2018,9501.62,Production
China,2000,20303.5,Production
China,2001,24404.21,Production
China,2002,25204.3,Production
China,2003,23804.08,Production
China,2004,30305.2,Production
China,2005,28404.86,Production
China,2006,35506.1,Production
China,2007,37006.33,Production
China,2008,36706.31,Production
China,2009,32005.48,Production
China,2010,30505.21,Production
China,2011,34005.83,Production
China,2012,35005.98,Production
China,2013,32755.6,Production
China,2014,30005.13,Production
China,2015,22003.79,Production
China,2016,22753.9,Production
China,2017,27504.71,Production
China,2018,26504.56,Production
India,2000,10932.9,Production
India,2001,12302.11,Production
India,2002,10601.82,Production
India,2003,14002.39,Production
India,2004,19003.24,Production
India,2005,19053.27,Production
India,2006,22503.86,Production
India,2007,24704.22,Production
India,2008,23304.0,Production
India,2009,24504.21,Production
India,2010,27204.65,Production
India,2011,29004.98,Production
India,2012,28504.91,Production
India,2013,31005.33,Production
India,2014,29505.06,Production
India,2015,25904.43,Production
India,2016,27004.64,Production
India,2017,29004.98,Production
India,2018,28704.92,Production
Pakistan,2000,8380.42,Production
Pakistan,2001,8287.4,Production
Pakistan,2002,7973.37,Production
Pakistan,2003,7846.35,Production
Pakistan,2004,11139.89,Production
Pakistan,2005,9851.71,Production
Pakistan,2006,9581.64,Production
Pakistan,2007,8551.45,Production
Pakistan,2008,8541.48,Production
Pakistan,2009,9241.57,Production
Pakistan,2010,8641.49,Production
Pakistan,2011,10601.82,Production
Pakistan,2012,9301.61,Production
Pakistan,2013,9501.62,Production
Pakistan,2014,10601.82,Production
Pakistan,2015,7001.2,Production
Pakistan,2016,7701.33,Production
Pakistan,2017,8201.41,Production
Pakistan,2018,8501.47,Production
United States,2000,17190.96,Production
United States,2001,20306.49,Production
United States,2002,17211.95,Production
United States,2003,18258.14,Production
United States,2004,23254.99,Production
United States,2005,23894.12,Production
United States,2006,21591.68,Production
United States,2007,19210.28,Production
United States,2008,12827.22,Production
United States,2009,12185.11,Production
United States,2010,18105.12,Production
United States,2011,15575.66,Production
United States,2012,17316.97,Production
United States,2013,12911.19,Production
United States,2014,16321.78,Production
United States,2015,12890.2,Production
United States,2016,17172.95,Production
United States,2017,20926.6,Production
United States,2018,19238.3,Production
Bangladesh,2000,1001.16,Domestic Consumption
Bangladesh,2001,1201.22,Domestic Consumption
Bangladesh,2002,1552.27,Domestic Consumption
Bangladesh,2003,1802.31,Domestic Consumption
Bangladesh,2004,2205.37,Domestic Consumption
Bangladesh,2005,2505.43,Domestic Consumption
Bangladesh,2006,3210.57,Domestic Consumption
Bangladesh,2007,3510.59,Domestic Consumption
Bangladesh,2008,3710.65,Domestic Consumption
Bangladesh,2009,4010.67,Domestic Consumption
Bangladesh,2010,4210.72,Domestic Consumption
Bangladesh,2011,3710.65,Domestic Consumption
Bangladesh,2012,4710.8,Domestic Consumption
Bangladesh,2013,5310.93,Domestic Consumption
Bangladesh,2014,5811.0,Domestic Consumption
Bangladesh,2015,6311.08,Domestic Consumption
Bangladesh,2016,6811.15,Domestic Consumption
Bangladesh,2017,7511.29,Domestic Consumption
Bangladesh,2018,8011.36,Domestic Consumption
China,2000,22728.91,Domestic Consumption
China,2001,25404.36,Domestic Consumption
China,2002,28954.96,Domestic Consumption
China,2003,30955.31,Domestic Consumption
China,2004,37256.37,Domestic Consumption
China,2005,43507.45,Domestic Consumption
China,2006,48008.22,Domestic Consumption
China,2007,48508.3,Domestic Consumption
China,2008,42757.34,Domestic Consumption
China,2009,50008.57,Domestic Consumption
China,2010,46007.88,Domestic Consumption
China,2011,38006.53,Domestic Consumption
China,2012,36006.18,Domestic Consumption
China,2013,34505.91,Domestic Consumption
China,2014,34505.91,Domestic Consumption
China,2015,36006.18,Domestic Consumption
China,2016,38506.6,Domestic Consumption
China,2017,41007.03,Domestic Consumption
China,2018,42507.3,Domestic Consumption
India,2000,13546.33,Domestic Consumption
India,2001,13277.27,Domestic Consumption
India,2002,13302.26,Domestic Consumption
India,2003,13502.32,Domestic Consumption
India,2004,14802.53,Domestic Consumption
India,2005,16702.88,Domestic Consumption
India,2006,18103.1,Domestic Consumption
India,2007,18603.17,Domestic Consumption
India,2008,17753.05,Domestic Consumption
India,2009,19753.4,Domestic Consumption
India,2010,20553.54,Domestic Consumption
India,2011,19453.34,Domestic Consumption
India,2012,20753.55,Domestic Consumption
India,2013,22753.9,Domestic Consumption
India,2014,24504.21,Domestic Consumption
India,2015,24754.25,Domestic Consumption
India,2016,24004.14,Domestic Consumption
India,2017,24204.15,Domestic Consumption
India,2018,25204.3,Domestic Consumption
Pakistan,2000,8126.39,Domestic Consumption
Pakistan,2001,8526.46,Domestic Consumption
Pakistan,2002,9426.6,Domestic Consumption
Pakistan,2003,9626.66,Domestic Consumption
Pakistan,2004,10526.81,Domestic Consumption
Pakistan,2005,11526.96,Domestic Consumption
Pakistan,2006,12027.08,Domestic Consumption
Pakistan,2007,12027.08,Domestic Consumption
Pakistan,2008,11126.89,Domestic Consumption
Pakistan,2009,10426.8,Domestic Consumption
Pakistan,2010,9926.68,Domestic Consumption
Pakistan,2011,10026.73,Domestic Consumption
Pakistan,2012,10776.85,Domestic Consumption
Pakistan,2013,10426.8,Domestic Consumption
Pakistan,2014,10626.81,Domestic Consumption
Pakistan,2015,10326.75,Domestic Consumption
Pakistan,2016,10326.75,Domestic Consumption
Pakistan,2017,10826.87,Domestic Consumption
Pakistan,2018,11026.88,Domestic Consumption
Turkey,2000,5167.88,Domestic Consumption
Turkey,2001,6151.08,Domestic Consumption
Turkey,2002,6301.06,Domestic Consumption
Turkey,2003,6001.05,Domestic Consumption
Turkey,2004,7101.2,Domestic Consumption
Turkey,2005,7001.2,Domestic Consumption
Turkey,2006,7301.26,Domestic Consumption
Turkey,2007,6101.05,Domestic Consumption
Turkey,2008,4950.87,Domestic Consumption
Turkey,2009,5900.99,Domestic Consumption
Turkey,2010,5600.98,Domestic Consumption
Turkey,2011,5600.98,Domestic Consumption
Turkey,2012,6051.03,Domestic Consumption
