Country,colore paese,Imprese con più di 250 dipendenti che usano almeno una tecnologia AI (% DI IMPRESE)
Austria,Altri paesi,31.73
Austria,Altri paesi,35.25
Austria,Altri paesi,68.26
Belgium,Altri paesi,41.44
Belgium,Altri paesi,47.86
Belgium,Altri paesi,76.41
Bosnia and Herzegovina,Altri paesi,5.89
Bosnia and Herzegovina,Altri paesi,9.40
Bosnia and Herzegovina,Altri paesi,18.60
Bulgaria,Altri paesi,14.72
Bulgaria,Altri paesi,13.75
Bulgaria,Altri paesi,26.18
Croatia,Altri paesi,21.54
Croatia,Altri paesi,19.29
Croatia,Altri paesi,39.57
Cyprus,Altri paesi,12.91
Cyprus,Altri paesi,15.53
Cyprus,Altri paesi,35.07
Czechia,Altri paesi,24.38
Czechia,Altri paesi,28.34
Czechia,Altri paesi,54.10
Denmark,Altri paesi,66.22
Denmark,Altri paesi,51.43
Denmark,Altri paesi,74.52
Estonia,Altri paesi,21.23
Estonia,Altri paesi,23.03
Estonia,Altri paesi,52.90
European Union,European Union,28.41
European Union,European Union,30.48
European Union,European Union,55.03
Finland,Altri paesi,51.17
Finland,Altri paesi,53.33
Finland,Altri paesi,79.40
France,Altri paesi,30.95
France,Altri paesi,20.94
France,Altri paesi,58.01
Germany,Altri paesi,30.92
Germany,Altri paesi,35.39
Germany,Altri paesi,56.99
Greece,Altri paesi,9.85
Greece,Altri paesi,13.96
Greece,Altri paesi,37.58
Hungary,Altri paesi,13.23
Hungary,Altri paesi,17.43
Hungary,Altri paesi,39.99
Ireland,Altri paesi,31.15
Ireland,Altri paesi,36.29
Ireland,Altri paesi,57.27
Italy,Italy,24.33
Italy,Italy,24.08
Italy,Italy,53.09
Latvia,Altri paesi,17.33
Latvia,Altri paesi,21.26
Latvia,Altri paesi,47.09
Lithuania,Altri paesi,18.81
Lithuania,Altri paesi,21.33
Lithuania,Altri paesi,51.75
Luxembourg,Altri paesi,38.95
Luxembourg,Altri paesi,41.83
Luxembourg,Altri paesi,57.97
Malta,Altri paesi,18.75
Malta,Altri paesi,32.53
Malta,Altri paesi,51.75
Netherlands,Altri paesi,40.56
Netherlands,Altri paesi,41.65
Netherlands,Altri paesi,67.64
Norway,Altri paesi,43.15
Norway,Altri paesi,34.39
Norway,Altri paesi,66.04
Poland,Altri paesi,17.46
Poland,Altri paesi,24.38
Poland,Altri paesi,45.81
Portugal,Altri paesi,28.27
Portugal,Altri paesi,35.44
Portugal,Altri paesi,49.15
Romania,Altri paesi,7.13
Romania,Altri paesi,8.08
Romania,Altri paesi,20.75
Serbia,Altri paesi,4.05
Serbia,Altri paesi,4.17
Serbia,Altri paesi,18.33
Slovakia,Altri paesi,19.44
Slovakia,Altri paesi,21.89
Slovakia,Altri paesi,43.74
Slovenia,Altri paesi,36.43
Slovenia,Altri paesi,53.19
Slovenia,Altri paesi,71.74
Spain,Altri paesi,32.34
Spain,Altri paesi,39.66
Spain,Altri paesi,57.46
Sweden,Altri paesi,40.29
Sweden,Altri paesi,37.82
Sweden,Altri paesi,71.87
Türkiye,Altri paesi,9.62
Türkiye,Altri paesi,18.45
Türkiye,Altri paesi,23.47
