date,value
2012-01-01,4306143.0
2012-02-01,4361139.0
2012-03-01,4354919.0
2012-04-01,4336838.0
2012-05-01,4320275.0
2012-06-01,4360630.0
2012-07-01,4351865.0
2012-08-01,4421366.0
2012-09-01,4511918.0
2012-10-01,4572230.0
2012-11-01,4776179.0
2012-12-01,4734951.0
2013-01-01,4738264.0
2013-02-01,4812075.0
2013-03-01,4839749.0
2013-04-01,4776121.0
2013-05-01,4847860.0
2013-06-01,4928310.0
2013-07-01,5008011.0
2013-08-01,4999167.0
2013-09-01,4880140.0
2013-10-01,4804250.0
2013-11-01,4725672.0
2013-12-01,4735876.0
2014-01-01,4547681.0
2014-02-01,4672814.0
2014-03-01,4591408.0
2014-04-01,4629554.0
2014-05-01,4744642.0
2014-06-01,4796544.0
2014-07-01,4839505.0
2014-08-01,4931065.0
2014-09-01,4888008.0
2014-10-01,4999746.0
2014-11-01,4897651.0
2014-12-01,4946392.0
2015-01-01,4857388.0
2015-02-01,5042034.0
2015-03-01,5158559.0
2015-04-01,5121345.0
2015-05-01,5275163.0
2015-06-01,5356862.0
2015-07-01,5489074.0
2015-08-01,5454289.0
2015-09-01,5479364.0
2015-10-01,5343860.0
2015-11-01,4843052.0
2015-12-01,5474497.0
2016-01-01,5598406.0
2016-02-01,5265047.0
2016-03-01,5280600.0
2016-04-01,5517363.0
2016-05-01,5557823.0
2016-06-01,5578353.0
2016-07-01,5546640.0
2016-08-01,5499865.0
2016-09-01,5556457.0
2016-10-01,5630027.0
2016-11-01,5606485.0
2016-12-01,5578215.0
2017-01-01,5732494.0
2017-02-01,5498283.0
2017-03-01,5619364.0
2017-04-01,5676744.0
2017-05-01,5663492.0
2017-06-01,5713270.0
2017-07-01,5663653.0
2017-08-01,5649876.0
2017-09-01,5589915.0
2017-10-01,5611813.0
2017-11-01,5719691.0
2017-12-01,5716195.0
2018-01-01,5530196.0
2018-02-01,5476482.0
2018-03-01,5570606.0
2018-04-01,5613896.0
2018-05-01,5632745.0
2018-06-01,5686658.0
2018-07-01,5682232.0
2018-08-01,5524154.0
2018-09-01,5415090.0
2018-10-01,5356787.0
2018-11-01,5365593.0
2018-12-01,5162828.0
2019-01-01,5144727.0
2019-02-01,5356247.0
2019-03-01,5440313.0
2019-04-01,5482079.0
2019-05-01,5703725.0
2019-06-01,5714059.0
2019-07-01,5687553.0
2019-08-01,5703406.0
2019-09-01,5552106.0
2019-10-01,5503420.0
2019-11-01,5541758.0
2019-12-01,5715746.0
2020-01-01,5596956.0
2020-02-01,5667571.0
2020-03-01,5422380.0
2020-04-01,4314497.0
2020-05-01,3968867.0
2020-06-01,4935044.0
2020-07-01,6214924.0
2020-08-01,6438443.0
2020-09-01,6720870.0
2020-10-01,6936506.0
2020-11-01,6880696.0
2020-12-01,6924090.0
2021-01-01,6967398.0
2021-02-01,6156180.0
2021-03-01,6138091.0
2021-04-01,6156105.0
2021-05-01,6230087.0
2021-06-01,6406615.0
2021-07-01,6452218.0
2021-08-01,6410138.0
2021-09-01,6556094.0
2021-10-01,6645623.0
2021-11-01,6838400.0
2021-12-01,6494199.0
2022-01-01,6859494.0
2022-02-01,5896303.0
2022-03-01,5778775.0
2022-04-01,5702917.0
2022-05-01,5576786.0
2022-06-01,5332383.0
2022-07-01,5113998.0
2022-08-01,4987286.0
2022-09-01,4897934.0
2022-10-01,4662935.0
2022-11-01,4301348.0
2022-12-01,4146274.0
2023-01-01,4227256.0
2023-02-01,4364529.0
2023-03-01,4318878.0
2023-04-01,4223992.0
2023-05-01,4245167.0
2023-06-01,4245737.0
2023-07-01,4219039.0
2023-08-01,4204879.0
2023-09-01,4150030.0
2023-10-01,4007315.0
2023-11-01,3936591.0
2023-12-01,3942477.0
2024-01-01,4134501.0
2024-02-01,4193473.0
2024-03-01,4210640.0
2024-04-01,4242309.0
2024-05-01,4203299.0
2024-06-01,4139490.0
2024-07-01,4171479.0
2024-08-01,4111646.0
2024-09-01,4043886.0
2024-10-01,4174051.0
2024-11-01,4267306.0
2024-12-01,4320715.0
2025-01-01,4284080.0
2025-02-01,4263973.0
2025-03-01,4216581.0
2025-04-01,4200932.0
2025-05-01,4215620.0
2025-06-01,4203401.0
2025-07-01,4217727.0
2025-08-01,4247531.0
2025-09-01,4274056.0
2025-10-01,4274041.0
2025-11-01,4300327.0
2025-12-01,4337193.0
2026-01-01,4200023.0
2026-02-01,4177172.0
