Date,Positive,Negative,Neither,Not applicable,Don't know,Age,
2020-12-17,18%,34%,33%,9%,7%,All adults,
2021-06-17,17%,31%,33%,12%,7%,All adults,
2021-12-16,18%,30%,35%,10%,7%,All adults,
2022-06-16,20%,31%,33%,9%,7%,All adults,
2022-12-15,23%,26%,33%,9%,9%,All adults,
2023-06-15,24%,31%,34%,5%,6%,All adults,
2023-12-14,28%,26%,33%,7%,6%,All adults,
2024-06-13,28%,28%,34%,5%,4%,All adults,
2020-12-17,23%,33%,30%,6%,8%,18-29,
2021-06-17,21%,31%,25%,10%,13%,18-29,
2021-12-16,23%,27%,31%,8%,10%,18-29,
2022-06-16,28%,33%,27%,5%,7%,18-29,
2022-12-15,36%,21%,20%,8%,15%,18-29,
2023-06-15,40%,27%,23%,3%,6%,18-29,
2023-12-14,43%,22%,24%,6%,6%,18-29,
2024-06-13,39%,24%,28%,3%,5%,18-29,
2020-12-17,19%,36%,30%,7%,7%,30-44,
2021-06-17,25%,33%,29%,7%,6%,30-44,
2021-12-16,24%,33%,30%,6%,7%,30-44,
2022-06-16,31%,29%,24%,7%,9%,30-44,
2022-12-15,33%,27%,28%,5%,7%,30-44,
2023-06-15,29%,33%,31%,4%,4%,30-44,
2023-12-14,38%,28%,28%,3%,5%,30-44,
2024-06-13,41%,25%,28%,3%,3%,30-44,
2020-12-17,16%,32%,37%,7%,8%,45-64,
2021-06-17,14%,31%,38%,11%,7%,45-64,
2021-12-16,16%,33%,38%,7%,6%,45-64,
2022-06-16,14%,28%,38%,12%,8%,45-64,
2022-12-15,14%,28%,42%,8%,9%,45-64,
2023-06-15,14%,34%,38%,6%,9%,45-64,
2023-12-14,18%,29%,39%,9%,5%,45-64,
2024-06-13,18%,34%,39%,4%,5%,45-64,
2020-12-17,13%,34%,32%,19%,2%,65+,
2021-06-17,9%,28%,41%,22%,1%,65+,
2021-12-16,10%,23%,38%,21%,8%,65+,
2022-06-16,9%,34%,45%,9%,3%,65+,
2022-12-15,12%,28%,40%,17%,3%,65+,
2023-06-15,16%,28%,43%,9%,4%,65+,
2023-12-14,18%,23%,40%,12%,7%,65+,
2024-06-13,15%,27%,41%,12%,5%,65+,
