Sheet,Measure Names,Type of Snack,c_Sleep Duration | hour-minutes,Measure Values,Rank of Percentage (%),Rank of Sleep Minutes
4,Rank of Percentage (%) along Type of Snack,Candy,6 hours  25 min,3,3,7
4,Rank of Sleep Minutes along Type of Snack,Candy,6 hours  25 min,7,3,7
4,Rank of Percentage (%) along Type of Snack,Chips/crackers/pretzels,6 hours  29 min,1,1,6
4,Rank of Sleep Minutes along Type of Snack,Chips/crackers/pretzels,6 hours  29 min,6,1,6
4,Rank of Percentage (%) along Type of Snack,Fruit,7 hours  04 min,4,4,1
4,Rank of Sleep Minutes along Type of Snack,Fruit,7 hours  04 min,1,4,1
4,Rank of Percentage (%) along Type of Snack,Ice Cream,6 hours  32 min,2,2,4
4,Rank of Sleep Minutes along Type of Snack,Ice Cream,6 hours  32 min,4,2,4
4,Rank of Percentage (%) along Type of Snack,Nuts and Seeds,7 hours  01 min,6,6,2
4,Rank of Sleep Minutes along Type of Snack,Nuts and Seeds,7 hours  01 min,2,6,2
4,Rank of Percentage (%) along Type of Snack,Pizza,6 hours  32 min,7,7,3
4,Rank of Sleep Minutes along Type of Snack,Pizza,6 hours  32 min,3,7,3
4,Rank of Percentage (%) along Type of Snack,Popcorn,6 hours  30 min,5,5,5
4,Rank of Sleep Minutes along Type of Snack,Popcorn,6 hours  30 min,5,5,5
4,Rank of Sleep Minutes along Type of Snack,Candy,6 hours  25 min,7,3,7
4,Rank of Percentage (%) along Type of Snack,Candy,6 hours  25 min,3,3,7
4,Rank of Sleep Minutes along Type of Snack,Chips/crackers/pretzels,6 hours  29 min,6,1,6
4,Rank of Percentage (%) along Type of Snack,Chips/crackers/pretzels,6 hours  29 min,1,1,6
4,Rank of Sleep Minutes along Type of Snack,Fruit,7 hours  04 min,1,4,1
4,Rank of Percentage (%) along Type of Snack,Fruit,7 hours  04 min,4,4,1
4,Rank of Sleep Minutes along Type of Snack,Ice Cream,6 hours  32 min,4,2,4
4,Rank of Percentage (%) along Type of Snack,Ice Cream,6 hours  32 min,2,2,4
4,Rank of Sleep Minutes along Type of Snack,Nuts and Seeds,7 hours  01 min,2,6,2
4,Rank of Percentage (%) along Type of Snack,Nuts and Seeds,7 hours  01 min,6,6,2
4,Rank of Sleep Minutes along Type of Snack,Pizza,6 hours  32 min,3,7,3
4,Rank of Percentage (%) along Type of Snack,Pizza,6 hours  32 min,7,7,3
4,Rank of Sleep Minutes along Type of Snack,Popcorn,6 hours  30 min,5,5,5
4,Rank of Percentage (%) along Type of Snack,Popcorn,6 hours  30 min,5,5,5
