Entity,Code,Year,Share reporting lifetime anxiety or depression
Africa,OWID_AFR,2020,19.692047
Albania,ALB,2020,12.326021
Algeria,DZA,2020,7.6590347
Argentina,ARG,2020,35.31663
Asia,OWID_ASI,2020,16.018984
Australia,AUS,2020,27.257576
Austria,AUT,2020,15.339012
Bahrain,BHR,2020,26.37454
Bangladesh,BGD,2020,19.778978
Belgium,BEL,2020,16.389189
Benin,BEN,2020,15.002898
Bolivia,BOL,2020,38.38072
Bosnia and Herzegovina,BIH,2020,15.794312
Brazil,BRA,2020,33.012047
Bulgaria,BGR,2020,28.832611
Burkina Faso,BFA,2020,26.110977
Cambodia,KHM,2020,6.9223046
Cameroon,CMR,2020,36.331642
Canada,CAN,2020,24.215265
Chile,CHL,2020,37.285408
China,CHN,2020,8.565871
Colombia,COL,2020,30.24672
Congo,COG,2020,25.648352
Costa Rica,CRI,2020,33.137573
Cote d'Ivoire,CIV,2020,33.266792
Croatia,HRV,2020,11.787031
Cyprus,CYP,2020,25.765331
Czechia,CZE,2020,15.030883
Denmark,DNK,2020,18.341894
Dominican Republic,DOM,2020,38.433903
Ecuador,ECU,2020,42.695652
Egypt,EGY,2020,21.870832
El Salvador,SLV,2020,38.135357
Estonia,EST,2020,18.549173
Ethiopia,ETH,2020,12.970514
Europe,OWID_EUR,2020,22.802452
Finland,FIN,2020,17.503536
France,FRA,2020,26.823338
Gabon,GAB,2020,24.393343
Georgia,GEO,2020,32.572884
Germany,DEU,2020,19.286057
Ghana,GHA,2020,18.093695
Greece,GRC,2020,33.814312
Guinea,GIN,2020,18.56735
High-income countries,OWID_HIC,2020,19.689169
Hong Kong,HKG,2020,10.020944
Hungary,HUN,2020,13.478217
India,IND,2020,22.556479
Indonesia,IDN,2020,15.2455435
Iran,IRN,2020,25.959785
Iraq,IRQ,2020,31.20851
Ireland,IRL,2020,17.621706
Israel,ISR,2020,6.2288547
Italy,ITA,2020,16.981567
Japan,JPN,2020,9.992401
Jordan,JOR,2020,24.735321
Kazakhstan,KAZ,2020,15.052163
Kenya,KEN,2020,32.246994
Kosovo,OWID_KOS,2020,10.965393
Kyrgyzstan,KGZ,2020,17.298023
Laos,LAO,2020,11.332258
Latvia,LVA,2020,19.31905
Lebanon,LBN,2020,18.330364
Lithuania,LTU,2020,7.7945123
Low-income countries,OWID_LIC,2020,14.729833
Lower-middle-income countries,OWID_LMC,2020,21.649143
Malaysia,MYS,2020,19.344215
Mali,MLI,2020,18.900522
Malta,MLT,2020,20.91646
Mauritius,MUS,2020,32.38782
Mexico,MEX,2020,23.650629
Moldova,MDA,2020,18.653065
Mongolia,MNG,2020,18.170506
Montenegro,MNE,2020,7.4613743
Morocco,MAR,2020,16.526669
Myanmar,MMR,2020,13.909626
Namibia,NAM,2020,8.979811
Nepal,NPL,2020,15.063962
Netherlands,NLD,2020,23.508812
New Zealand,NZL,2020,17.365871
Nicaragua,NIC,2020,35.319603
Nigeria,NGA,2020,15.387671
North America,OWID_NAM,2020,22.815329
North Macedonia,MKD,2020,15.210451
Norway,NOR,2020,22.682478
Oceania,OWID_OCE,2020,25.65966
Paraguay,PRY,2020,23.108564
Peru,PER,2020,49.349648
Philippines,PHL,2020,19.656734
Poland,POL,2020,20.60181
Portugal,PRT,2020,26.330278
Romania,ROU,2020,15.480114
Russia,RUS,2020,28.80622
Saudi Arabia,SAU,2020,29.956553
Senegal,SEN,2020,21.827154
Serbia,SRB,2020,10.0786
Slovakia,SVK,2020,15.389589
Slovenia,SVN,2020,9.423891
South Africa,ZAF,2020,18.588274
South America,OWID_SAM,2020,34.91783
South Korea,KOR,2020,11.832521
Spain,ESP,2020,21.567232
Sri Lanka,LKA,2020,20.327734
Sweden,SWE,2020,24.694782
Switzerland,CHE,2020,16.194988
Taiwan,TWN,2020,2.9336748
Tanzania,TZA,2020,26.266626
Thailand,THA,2020,10.193312
Tunisia,TUN,2020,32.737736
Turkey,TUR,2020,21.156303
Uganda,UGA,2020,11.269754
Ukraine,UKR,2020,26.940044
United Arab Emirates,ARE,2020,17.419088
United Kingdom,GBR,2020,26.439072
United States,USA,2020,21.262444
Upper-middle-income countries,OWID_UMC,2020,15.889126
Uruguay,URY,2020,22.862406
Uzbekistan,UZB,2020,27.36306
Venezuela,VEN,2020,38.22879
Vietnam,VNM,2020,31.155294
World,OWID_WRL,2020,19.017418
Zambia,ZMB,2020,40.395428
Zimbabwe,ZWE,2020,26.952728
