Entity,Code,Year,Employment discrimination prohibited,Pay equity mandated,Substantial paid leave for mothers,Domestic violence sanctioned,Equal property rights,Equal right to start a business
Africa,OWID_AFR,1970,1,0,12,0,22,37
Africa,OWID_AFR,1971,1,0,12,0,22,37
Africa,OWID_AFR,1972,1,0,12,0,22,37
Africa,OWID_AFR,1973,2,1,13,0,23,38
Africa,OWID_AFR,1974,2,1,13,0,23,38
Africa,OWID_AFR,1975,2,1,13,0,23,38
Africa,OWID_AFR,1976,2,1,13,0,23,38
Africa,OWID_AFR,1977,2,1,13,0,23,38
Africa,OWID_AFR,1978,2,1,13,0,24,39
Africa,OWID_AFR,1979,2,1,13,0,24,39
Africa,OWID_AFR,1980,2,1,13,0,25,40
Africa,OWID_AFR,1981,3,1,14,0,26,40
Africa,OWID_AFR,1982,3,1,14,0,27,41
Africa,OWID_AFR,1983,3,1,14,0,27,42
Africa,OWID_AFR,1984,4,1,16,0,27,42
Africa,OWID_AFR,1985,4,1,16,0,27,42
Africa,OWID_AFR,1986,5,1,16,0,27,42
Africa,OWID_AFR,1987,5,1,16,0,27,42
Africa,OWID_AFR,1988,5,2,17,0,28,43
Africa,OWID_AFR,1989,5,2,17,0,28,43
Africa,OWID_AFR,1990,6,3,17,0,29,43
Africa,OWID_AFR,1991,6,3,17,0,29,43
Africa,OWID_AFR,1992,6,3,17,0,31,43
Africa,OWID_AFR,1993,12,4,19,0,31,43
Africa,OWID_AFR,1994,13,4,19,0,32,44
Africa,OWID_AFR,1995,16,5,20,0,32,44
Africa,OWID_AFR,1996,16,5,20,0,33,45
Africa,OWID_AFR,1997,18,7,20,1,33,45
Africa,OWID_AFR,1998,19,8,21,1,34,45
Africa,OWID_AFR,1999,20,8,21,3,34,45
Africa,OWID_AFR,2000,22,10,21,4,35,45
Africa,OWID_AFR,2001,22,10,21,4,36,45
Africa,OWID_AFR,2002,23,10,21,4,36,45
Africa,OWID_AFR,2003,25,10,22,4,36,45
Africa,OWID_AFR,2004,27,11,23,6,36,45
Africa,OWID_AFR,2005,29,12,23,7,39,47
Africa,OWID_AFR,2006,31,14,24,7,40,48
Africa,OWID_AFR,2007,32,15,24,12,40,48
Africa,OWID_AFR,2008,36,16,24,14,41,48
Africa,OWID_AFR,2009,38,16,24,17,42,49
Africa,OWID_AFR,2010,39,17,25,19,42,49
Africa,OWID_AFR,2011,40,17,26,19,42,49
Africa,OWID_AFR,2012,40,17,26,22,42,49
Africa,OWID_AFR,2013,40,19,26,22,43,49
Africa,OWID_AFR,2014,41,21,26,24,43,49
Africa,OWID_AFR,2015,41,21,26,25,43,49
Africa,OWID_AFR,2016,43,23,28,27,43,49
Africa,OWID_AFR,2017,44,23,28,28,43,50
Africa,OWID_AFR,2018,46,25,28,33,43,50
Africa,OWID_AFR,2019,46,26,30,34,44,50
Africa,OWID_AFR,2020,47,26,31,35,44,50
Africa,OWID_AFR,2021,47,27,31,37,45,50
Africa,OWID_AFR,2022,47,28,31,39,45,50
Africa,OWID_AFR,2023,48,29,33,41,45,50
Asia,OWID_ASI,1970,1,0,8,0,40,43
Asia,OWID_ASI,1971,1,0,8,0,40,43
Asia,OWID_ASI,1972,3,0,8,0,40,43
Asia,OWID_ASI,1973,5,0,8,0,40,43
Asia,OWID_ASI,1974,5,0,8,0,41,44
Asia,OWID_ASI,1975,5,0,8,0,41,44
Asia,OWID_ASI,1976,5,0,8,0,41,44
Asia,OWID_ASI,1977,5,0,8,0,41,44
Asia,OWID_ASI,1978,5,0,8,0,41,44
Asia,OWID_ASI,1979,5,0,8,0,41,44
Asia,OWID_ASI,1980,5,0,8,0,41,44
Asia,OWID_ASI,1981,5,0,8,0,41,44
Asia,OWID_ASI,1982,5,0,8,0,41,44
Asia,OWID_ASI,1983,5,0,8,0,41,44
Asia,OWID_ASI,1984,5,0,8,0,41,44
Asia,OWID_ASI,1985,5,0,8,0,41,43
Asia,OWID_ASI,1986,5,0,9,0,41,43
Asia,OWID_ASI,1987,6,0,9,2,41,43
Asia,OWID_ASI,1988,8,0,9,2,41,44
Asia,OWID_ASI,1989,8,1,9,2,41,44
Asia,OWID_ASI,1990,9,1,9,2,42,44
Asia,OWID_ASI,1991,9,1,9,3,43,44
Asia,OWID_ASI,1992,9,1,9,3,43,44
Asia,OWID_ASI,1993,9,1,9,3,43,44
Asia,OWID_ASI,1994,10,1,9,3,43,44
