Entity,Code,Year,Daily birth rate in the peak month,Month with peak value
Australia,AUS,1962,62.976868,3
Australia,AUS,1963,61.67391,9
Australia,AUS,1964,57.644035,3
Australia,AUS,1965,56.87274,9
Australia,AUS,1966,54.714367,9
Australia,AUS,1967,55.26717,9
Australia,AUS,1968,57.813255,9
Australia,AUS,1969,58.291313,9
Australia,AUS,1970,58.683372,12
Australia,AUS,1971,61.357967,2
Australia,AUS,1972,58.434937,3
Australia,AUS,1973,53.802547,3
Australia,AUS,1974,50.81032,3
Australia,AUS,1975,48.20528,2
Australia,AUS,1976,46.70696,3
Australia,AUS,1977,45.808926,3
Australia,AUS,1978,45.60107,3
Australia,AUS,1979,44.612476,3
Australia,AUS,1980,43.490482,5
Australia,AUS,1981,45.592205,3
Australia,AUS,1982,46.065647,3
Australia,AUS,1983,46.702633,3
Australia,AUS,1984,45.044292,3
Australia,AUS,1985,43.97502,3
Australia,AUS,1986,43.37807,9
Australia,AUS,1987,43.368355,3
Australia,AUS,1988,43.90596,9
Australia,AUS,1989,43.655884,9
Australia,AUS,1990,43.67253,9
Australia,AUS,1991,42.33495,4
Australia,AUS,1992,43.23225,9
Australia,AUS,1993,42.365814,9
Australia,AUS,1994,42.892746,3
Australia,AUS,1995,41.668304,3
Australia,AUS,1996,40.208035,9
Australia,AUS,1997,39.574287,9
Australia,AUS,1998,38.91965,9
Australia,AUS,1999,39.083973,9
Australia,AUS,2000,37.916252,9
Australia,AUS,2001,37.122803,9
Australia,AUS,2002,36.68009,9
Australia,AUS,2003,36.93074,9
Australia,AUS,2004,36.20423,9
Australia,AUS,2005,38.27188,9
Australia,AUS,2006,39.192196,9
Australia,AUS,2007,39.13711,3
Australia,AUS,2008,38.80079,9
Australia,AUS,2009,38.73214,9
Australia,AUS,2010,38.945965,3
Australia,AUS,2011,38.29625,3
Australia,AUS,2012,37.37592,3
Australia,AUS,2013,37.230602,2
Australia,AUS,2014,37.553986,2
Australia,AUS,2015,35.826263,9
Australia,AUS,2016,35.937077,3
Australia,AUS,2017,34.29428,3
Australia,AUS,2018,33.279774,2
Australia,AUS,2019,33.209076,5
Australia,AUS,2020,31.342497,3
Australia,AUS,2021,35.06515,3
Austria,AUT,1914,67.45597,4
Austria,AUT,1915,66.44718,2
Austria,AUT,1916,43.049973,1
Austria,AUT,1917,40.38814,1
Austria,AUT,1918,41.56549,10
Austria,AUT,1919,61.339348,11
Austria,AUT,1920,62.292393,3
Austria,AUT,1921,66.16381,2
Austria,AUT,1922,66.08138,2
Austria,AUT,1923,64.29874,2
Austria,AUT,1924,60.505432,3
Austria,AUT,1925,59.46603,2
Austria,AUT,1926,55.704964,2
Austria,AUT,1927,51.938747,2
Austria,AUT,1928,49.439293,3
