Entity,Code,Year,Period life expectancy,Cohort life expectancy
Australia,AUS,1921,60.97,
Australia,AUS,1922,62.83,
Australia,AUS,1923,61.68,
Australia,AUS,1924,62.48,
Australia,AUS,1925,63.17,
Australia,AUS,1926,62.88,
Australia,AUS,1927,62.84,
Australia,AUS,1928,62.91,
Australia,AUS,1929,63.08,
Australia,AUS,1930,64.9,
Australia,AUS,1931,65.32,
Australia,AUS,1932,65.6,
Australia,AUS,1933,65.43,
Australia,AUS,1934,64.79,
Australia,AUS,1935,65.05,
Australia,AUS,1936,65.19,
Australia,AUS,1937,65.74,
Australia,AUS,1938,65.76,
Australia,AUS,1939,65.73,
Australia,AUS,1940,66.16,
Australia,AUS,1941,66.04,
Australia,AUS,1942,65.79,
Australia,AUS,1943,66.33,
Australia,AUS,1944,67.96,
Australia,AUS,1945,68.38,
Australia,AUS,1946,67.92,
Australia,AUS,1947,68.52,
Australia,AUS,1948,68.47,
Australia,AUS,1949,69.09,
Australia,AUS,1950,69,
Australia,AUS,1951,68.7,
Australia,AUS,1952,69.11,
Australia,AUS,1953,69.69,
Australia,AUS,1954,69.86,
Australia,AUS,1955,70.15,
Australia,AUS,1956,70.04,
Australia,AUS,1957,70.32,
Australia,AUS,1958,70.86,
Australia,AUS,1959,70.45,
Australia,AUS,1960,70.87,
Australia,AUS,1961,71.13,
Australia,AUS,1962,70.91,
Australia,AUS,1963,70.96,
Australia,AUS,1964,70.57,
Australia,AUS,1965,70.8,
Australia,AUS,1966,70.68,
Australia,AUS,1967,71.05,
Australia,AUS,1968,70.68,
Australia,AUS,1969,71.07,
Australia,AUS,1970,70.65,
Australia,AUS,1971,71.45,
Australia,AUS,1972,71.77,
Australia,AUS,1973,72.06,
Australia,AUS,1974,71.85,
Australia,AUS,1975,72.78,
Australia,AUS,1976,72.79,
Australia,AUS,1977,73.47,
Australia,AUS,1978,73.74,
Australia,AUS,1979,74.33,
Australia,AUS,1980,74.57,
Australia,AUS,1981,74.78,
Australia,AUS,1982,74.72,
Australia,AUS,1983,75.44,
Australia,AUS,1984,75.51,
Australia,AUS,1985,75.43,
Australia,AUS,1986,76.07,
Australia,AUS,1987,76.09,
Australia,AUS,1988,76.35,
Australia,AUS,1989,76.2,
Australia,AUS,1990,77.04,
Australia,AUS,1991,77.48,
Australia,AUS,1992,77.47,
Australia,AUS,1993,78.01,
Australia,AUS,1994,77.86,
Australia,AUS,1995,78.26,
Australia,AUS,1996,78.35,
Australia,AUS,1997,78.63,
Australia,AUS,1998,79.03,
Australia,AUS,1999,79.28,
Australia,AUS,2000,79.62,
Australia,AUS,2001,80.01,
Australia,AUS,2002,80.06,
Australia,AUS,2003,80.45,
Australia,AUS,2004,80.74,
Australia,AUS,2005,81.1,
Australia,AUS,2006,81.27,
Australia,AUS,2007,81.24,
Australia,AUS,2008,81.43,
Australia,AUS,2009,81.73,
Australia,AUS,2010,82.02,
Australia,AUS,2011,82.09,
Australia,AUS,2012,82.29,
Australia,AUS,2013,82.54,
Australia,AUS,2014,82.51,
Australia,AUS,2015,82.6,
Australia,AUS,2016,82.8,
Australia,AUS,2017,82.71,
Australia,AUS,2018,83.25,
Australia,AUS,2019,83.24,
Australia,AUS,2020,83.66,
Australia,AUS,2021,83.47,
Austria,AUT,1947,61.54,
Austria,AUT,1948,63.21,
Austria,AUT,1949,63.47,
Austria,AUT,1950,64.81,
Austria,AUT,1951,65.22,
Austria,AUT,1952,66.74,
Austria,AUT,1953,67.25,
Austria,AUT,1954,67.28,
Austria,AUT,1955,67.55,
Austria,AUT,1956,67.68,
Austria,AUT,1957,67.44,
Austria,AUT,1958,68.45,
Austria,AUT,1959,68.39,
Austria,AUT,1960,68.74,
Austria,AUT,1961,69.71,
Austria,AUT,1962,69.5,
Austria,AUT,1963,69.65,
Austria,AUT,1964,70.12,
Austria,AUT,1965,69.93,
Austria,AUT,1966,70.22,
Austria,AUT,1967,70.12,
Austria,AUT,1968,70.27,
Austria,AUT,1969,70.04,
Austria,AUT,1970,70.09,
Austria,AUT,1971,70.29,
Austria,AUT,1972,70.62,
Austria,AUT,1973,71.2,
Austria,AUT,1974,71.18,
Austria,AUT,1975,71.33,
Austria,AUT,1976,71.79,
Austria,AUT,1977,72.14,
Austria,AUT,1978,72.2,
Austria,AUT,1979,72.55,
Austria,AUT,1980,72.67,
Austria,AUT,1981,72.99,
Austria,AUT,1982,73.15,
Austria,AUT,1983,73.22,
Austria,AUT,1984,73.77,
Austria,AUT,1985,73.99,
Austria,AUT,1986,74.46,
Austria,AUT,1987,74.9,
Austria,AUT,1988,75.37,
Austria,AUT,1989,75.46,
Austria,AUT,1990,75.74,
Austria,AUT,1991,75.79,
Austria,AUT,1992,75.99,
Austria,AUT,1993,76.22,
Austria,AUT,1994,76.54,
Austria,AUT,1995,76.78,
Austria,AUT,1996,77.03,
Austria,AUT,1997,77.43,
Austria,AUT,1998,77.78,
Austria,AUT,1999,77.96,
Austria,AUT,2000,78.24,
Austria,AUT,2001,78.72,
Austria,AUT,2002,78.85,
Austria,AUT,2003,78.85,
Austria,AUT,2004,79.36,
Austria,AUT,2005,79.52,
Austria,AUT,2006,79.96,
Austria,AUT,2007,80.16,
Austria,AUT,2008,80.37,
Austria,AUT,2009,80.21,
Austria,AUT,2010,80.47,
Austria,AUT,2011,80.83,
Austria,AUT,2012,80.84,
Austria,AUT,2013,81.08,
Austria,AUT,2014,81.39,
Austria,AUT,2015,81.16,
Austria,AUT,2016,81.59,
Austria,AUT,2017,81.63,
Austria,AUT,2018,81.69,
Austria,AUT,2019,81.91,
Austria,AUT,2020,81.35,
Austria,AUT,2021,81.28,
Austria,AUT,2022,81.43,
Austria,AUT,2023,81.86,
Belarus,BLR,1959,69.06,
Belarus,BLR,1960,71.85,
Belarus,BLR,1961,72.58,
Belarus,BLR,1962,71.32,
Belarus,BLR,1963,71.99,
Belarus,BLR,1964,73.53,
Belarus,BLR,1965,73.04,
Belarus,BLR,1966,73.38,
Belarus,BLR,1967,73.16,
Belarus,BLR,1968,73.26,
Belarus,BLR,1969,72.9,
Belarus,BLR,1970,72.36,
Belarus,BLR,1971,73.02,
Belarus,BLR,1972,72.73,
Belarus,BLR,1973,72.75,
Belarus,BLR,1974,73.07,
Belarus,BLR,1975,72.11,
Belarus,BLR,1976,71.97,
Belarus,BLR,1977,71.91,
Belarus,BLR,1978,71.75,
Belarus,BLR,1979,71.35,
Belarus,BLR,1980,71.1,
Belarus,BLR,1981,71.38,
Belarus,BLR,1982,71.51,
Belarus,BLR,1983,71.33,
Belarus,BLR,1984,70.72,
Belarus,BLR,1985,70.97,
Belarus,BLR,1986,72.31,
Belarus,BLR,1987,72.19,
Belarus,BLR,1988,71.97,
Belarus,BLR,1989,71.76,
Belarus,BLR,1990,71.21,
Belarus,BLR,1991,70.62,
Belarus,BLR,1992,70.21,
Belarus,BLR,1993,69.11,
Belarus,BLR,1994,68.87,
Belarus,BLR,1995,68.43,
Belarus,BLR,1996,68.6,
Belarus,BLR,1997,68.41,
Belarus,BLR,1998,68.3,
Belarus,BLR,1999,67.91,
Belarus,BLR,2000,68.89,
Belarus,BLR,2001,68.46,
Belarus,BLR,2002,67.95,
Belarus,BLR,2003,68.47,
Belarus,BLR,2004,68.89,
Belarus,BLR,2005,68.7,
Belarus,BLR,2006,69.32,
Belarus,BLR,2007,70.22,
Belarus,BLR,2008,70.4,
Belarus,BLR,2009,70.45,
Belarus,BLR,2010,70.45,
Belarus,BLR,2011,70.65,
Belarus,BLR,2012,72.19,
Belarus,BLR,2013,72.65,
Belarus,BLR,2014,73.24,
Belarus,BLR,2015,73.88,
Belarus,BLR,2016,74.15,
Belarus,BLR,2017,74.42,
Belarus,BLR,2018,74.48,
Belgium,BEL,1841,40.34,
Belgium,BEL,1842,38.67,
Belgium,BEL,1843,40.38,
Belgium,BEL,1844,41.91,
Belgium,BEL,1845,41.05,
Belgium,BEL,1846,37.86,
Belgium,BEL,1847,35.13,
Belgium,BEL,1848,38.05,
Belgium,BEL,1849,34.51,
Belgium,BEL,1850,42.3,
Belgium,BEL,1851,41.91,
Belgium,BEL,1852,41.81,
Belgium,BEL,1853,41.35,
Belgium,BEL,1854,39.78,
Belgium,BEL,1855,37.46,
Belgium,BEL,1856,40.92,
Belgium,BEL,1857,40.48,
Belgium,BEL,1858,40.17,
Belgium,BEL,1859,38.97,
Belgium,BEL,1860,45.1,
Belgium,BEL,1861,41.25,
Belgium,BEL,1862,43.1,
Belgium,BEL,1863,41.29,
Belgium,BEL,1864,39.8,
Belgium,BEL,1865,37.73,
Belgium,BEL,1866,32.47,
Belgium,BEL,1867,43.05,
Belgium,BEL,1868,42.55,
Belgium,BEL,1869,42.59,
Belgium,BEL,1870,40.92,
Belgium,BEL,1871,34.36,
Belgium,BEL,1872,40.04,
Belgium,BEL,1873,43.49,
Belgium,BEL,1874,44.68,
Belgium,BEL,1875,42.17,
Belgium,BEL,1876,43.67,
Belgium,BEL,1877,44.48,
Belgium,BEL,1878,44.23,
Belgium,BEL,1879,43.83,
Belgium,BEL,1880,42.49,
Belgium,BEL,1881,44.42,
Belgium,BEL,1882,45.55,
Belgium,BEL,1883,44.9,
Belgium,BEL,1884,44.23,
Belgium,BEL,1885,45.47,
Belgium,BEL,1886,43.35,
Belgium,BEL,1887,46.05,
Belgium,BEL,1888,44.92,
Belgium,BEL,1889,45.07,
Belgium,BEL,1890,44.14,
Belgium,BEL,1891,44.04,
Belgium,BEL,1892,43.16,
Belgium,BEL,1893,44.44,
Belgium,BEL,1894,46.63,
Belgium,BEL,1895,45.48,
Belgium,BEL,1896,48.07,
Belgium,BEL,1897,48.84,
Belgium,BEL,1898,48.12,
Belgium,BEL,1899,46.5,
Belgium,BEL,1900,46.69,
Belgium,BEL,1901,49.44,
Belgium,BEL,1902,49.14,
Belgium,BEL,1903,49.23,
Belgium,BEL,1904,49.27,
Belgium,BEL,1905,50.03,
Belgium,BEL,1906,49.67,
Belgium,BEL,1907,51.07,
Belgium,BEL,1908,49.72,
Belgium,BEL,1909,50.66,
Belgium,BEL,1910,51.31,
Belgium,BEL,1911,49.28,
Belgium,BEL,1912,52.25,
Belgium,BEL,1913,52.45,
Belgium,BEL,1919,49.24,
Belgium,BEL,1920,53.99,
Belgium,BEL,1921,54.64,
Belgium,BEL,1922,55.18,
Belgium,BEL,1923,56.69,
Belgium,BEL,1924,57.4,
Belgium,BEL,1925,57.12,
Belgium,BEL,1926,56.88,
Belgium,BEL,1927,57.1,
Belgium,BEL,1928,57.46,
Belgium,BEL,1929,55.02,
Belgium,BEL,1930,57.1,
Belgium,BEL,1931,58.42,
Belgium,BEL,1932,58.54,
Belgium,BEL,1933,58.68,
Belgium,BEL,1934,60.31,
Belgium,BEL,1935,59.94,
Belgium,BEL,1936,59.91,
Belgium,BEL,1937,59.95,
Belgium,BEL,1938,60.11,
Belgium,BEL,1939,60.06,
Belgium,BEL,1940,55.96,
Belgium,BEL,1941,58.74,
Belgium,BEL,1942,59.09,
Belgium,BEL,1943,60.29,
Belgium,BEL,1944,56.94,
Belgium,BEL,1945,58.32,
Belgium,BEL,1946,61.89,
Belgium,BEL,1947,63.42,
Belgium,BEL,1948,64.92,
Belgium,BEL,1949,65.43,
Belgium,BEL,1950,66.3,
Belgium,BEL,1951,66.75,
Belgium,BEL,1952,67.96,
Belgium,BEL,1953,68.35,
Belgium,BEL,1954,68.59,
Belgium,BEL,1955,68.54,
Belgium,BEL,1956,68.84,
Belgium,BEL,1957,69.2,
Belgium,BEL,1958,69.91,
Belgium,BEL,1959,70.31,
Belgium,BEL,1960,69.62,
Belgium,BEL,1961,70.5,
Belgium,BEL,1962,70.23,
Belgium,BEL,1963,70.04,
Belgium,BEL,1964,70.7,
Belgium,BEL,1965,70.55,
Belgium,BEL,1966,70.63,
Belgium,BEL,1967,70.91,
Belgium,BEL,1968,70.61,
Belgium,BEL,1969,70.67,
Belgium,BEL,1970,70.94,
Belgium,BEL,1971,71.09,
Belgium,BEL,1972,71.41,
Belgium,BEL,1973,71.63,
Belgium,BEL,1974,71.97,
Belgium,BEL,1975,71.96,
Belgium,BEL,1976,72.1,
Belgium,BEL,1977,72.76,
Belgium,BEL,1978,72.7,
Belgium,BEL,1979,73.2,
Belgium,BEL,1980,73.24,
Belgium,BEL,1981,73.65,
Belgium,BEL,1982,73.88,
Belgium,BEL,1983,73.88,
Belgium,BEL,1984,74.37,
Belgium,BEL,1985,74.47,
Belgium,BEL,1986,74.67,
Belgium,BEL,1987,75.29,
Belgium,BEL,1988,75.59,
Belgium,BEL,1989,75.65,
Belgium,BEL,1990,76.06,
Belgium,BEL,1991,76.2,
Belgium,BEL,1992,76.36,
Belgium,BEL,1993,76.36,
Belgium,BEL,1994,76.71,
Belgium,BEL,1995,76.84,
Belgium,BEL,1996,77.19,
Belgium,BEL,1997,77.4,
Belgium,BEL,1998,77.47,
Belgium,BEL,1999,77.65,
Belgium,BEL,2000,77.77,
Belgium,BEL,2001,78.08,
Belgium,BEL,2002,78.17,
Belgium,BEL,2003,78.32,
Belgium,BEL,2004,78.96,
Belgium,BEL,2005,79.05,
Belgium,BEL,2006,79.38,
Belgium,BEL,2007,79.52,
Belgium,BEL,2008,79.57,
Belgium,BEL,2009,79.84,
Belgium,BEL,2010,80.03,
Belgium,BEL,2011,80.35,
Belgium,BEL,2012,80.24,
Belgium,BEL,2013,80.45,
Belgium,BEL,2014,81.06,
Belgium,BEL,2015,80.87,
Belgium,BEL,2016,81.25,
Belgium,BEL,2017,81.34,
Belgium,BEL,2018,81.46,
Belgium,BEL,2019,81.82,
Belgium,BEL,2020,80.79,
Belgium,BEL,2021,81.65,
Belgium,BEL,2022,81.71,
Belgium,BEL,2023,82.08,
Bulgaria,BGR,1947,54.14,
Bulgaria,BGR,1948,55.83,
Bulgaria,BGR,1949,57.99,
Bulgaria,BGR,1950,61.47,
Bulgaria,BGR,1951,60.68,
Bulgaria,BGR,1952,59.57,
Bulgaria,BGR,1953,64.18,
Bulgaria,BGR,1954,64.39,
Bulgaria,BGR,1955,64.82,
Bulgaria,BGR,1956,65.21,
Bulgaria,BGR,1957,66.59,
Bulgaria,BGR,1958,68.71,
Bulgaria,BGR,1959,66.63,
Bulgaria,BGR,1960,69.17,
Bulgaria,BGR,1961,70.22,
Bulgaria,BGR,1962,69.53,
Bulgaria,BGR,1963,70.33,
Bulgaria,BGR,1964,71.13,
Bulgaria,BGR,1965,71.3,
Bulgaria,BGR,1966,71.22,
Bulgaria,BGR,1967,70.41,
Bulgaria,BGR,1968,71.2,
Bulgaria,BGR,1969,70.47,
Bulgaria,BGR,1970,71.25,
Bulgaria,BGR,1971,70.85,
Bulgaria,BGR,1972,70.86,
Bulgaria,BGR,1973,71.3,
Bulgaria,BGR,1974,71.21,
Bulgaria,BGR,1975,71,
Bulgaria,BGR,1976,71.36,
Bulgaria,BGR,1977,70.77,
Bulgaria,BGR,1978,71.13,
Bulgaria,BGR,1979,71.22,
Bulgaria,BGR,1980,71.08,
Bulgaria,BGR,1981,71.48,
Bulgaria,BGR,1982,71.08,
Bulgaria,BGR,1983,71.24,
Bulgaria,BGR,1984,71.35,
Bulgaria,BGR,1985,71.05,
Bulgaria,BGR,1986,71.55,
Bulgaria,BGR,1987,71.35,
Bulgaria,BGR,1988,71.41,
Bulgaria,BGR,1989,71.48,
Bulgaria,BGR,1990,71.32,
Bulgaria,BGR,1991,71.19,
Bulgaria,BGR,1992,71.18,
Bulgaria,BGR,1993,71.18,
Bulgaria,BGR,1994,70.86,
Bulgaria,BGR,1995,70.96,
Bulgaria,BGR,1996,70.84,
Bulgaria,BGR,1997,70.31,
Bulgaria,BGR,1998,70.87,
Bulgaria,BGR,1999,71.56,
Bulgaria,BGR,2000,71.58,
Bulgaria,BGR,2001,71.88,
Bulgaria,BGR,2002,72.13,
Bulgaria,BGR,2003,72.37,
Bulgaria,BGR,2004,72.58,
Bulgaria,BGR,2005,72.56,
Bulgaria,BGR,2006,72.69,
Bulgaria,BGR,2007,73.01,
