Entity,Year,Population,Population (Projected)
Al-Qahirah (Cairo),1950,2493514,
Al-Qahirah (Cairo),1955,3029198,
Al-Qahirah (Cairo),1960,3680160,
Al-Qahirah (Cairo),1965,4737968,
Al-Qahirah (Cairo),1970,5584507,
Al-Qahirah (Cairo),1975,6449922,
Al-Qahirah (Cairo),1980,7348778,
Al-Qahirah (Cairo),1985,8328254.5,
Al-Qahirah (Cairo),1990,9892143,
Al-Qahirah (Cairo),1995,11961986,
Al-Qahirah (Cairo),2000,13625565,
Al-Qahirah (Cairo),2005,15174050,
Al-Qahirah (Cairo),2010,16899016,
Al-Qahirah (Cairo),2015,18820072,18820072
Al-Qahirah (Cairo),2020,,20900604
Al-Qahirah (Cairo),2025,,23074224
Al-Qahirah (Cairo),2030,,25516696
Al-Qahirah (Cairo),2035,,28504350
Bangalore,1950,745999,
Bangalore,1955,939396,
Bangalore,1960,1165978,
Bangalore,1965,1377314,
Bangalore,1970,1614756,
Bangalore,1975,2110599,
Bangalore,1980,2812428,
Bangalore,1985,3397214,
Bangalore,1990,4042597.8,
Bangalore,1995,4754228,
Bangalore,2000,5581263,
Bangalore,2005,6785901,
Bangalore,2010,8295563.5,
Bangalore,2015,10141080,10141080
Bangalore,2020,,12326532
Bangalore,2025,,14395443
Bangalore,2030,,16226826
Bangalore,2035,,18065540
Beijing,1950,1671365,
Beijing,1955,2364625,
Beijing,1960,3900441,
Beijing,1965,4582017,
Beijing,1970,4426045,
Beijing,1975,4827973,
Beijing,1980,5366372,
Beijing,1985,6017488,
Beijing,1990,6787737,
Beijing,1995,8355148.5,
Beijing,2000,10285091,
Beijing,2005,12991292,
Beijing,2010,16441252,
Beijing,2015,18421198,18421198
Beijing,2020,,20462610
Beijing,2025,,22596454
Beijing,2030,,24281914
Beijing,2035,,25365920
Bogotá,1950,630315,
Bogotá,1955,894187,
Bogotá,1960,1268645,
Bogotá,1965,1779758,
Bogotá,1970,2383425,
Bogotá,1975,3040465,
Bogotá,1980,3525154,
Bogotá,1985,4086774.8,
Bogotá,1990,4740448,
Bogotá,1995,5488071,
Bogotá,2000,6329384,
Bogotá,2005,7299095,
Bogotá,2010,8417705,
Bogotá,2015,9707746,9707746
Bogotá,2020,,10978360
Bogotá,2025,,11795829
Bogotá,2030,,12343364
Bogotá,2035,,12753324
Buenos Aires,1950,5166140,
Buenos Aires,1955,5910271,
Buenos Aires,1960,6761837,
Buenos Aires,1965,7548511,
Buenos Aires,1970,8416170,
Buenos Aires,1975,9143219,
Buenos Aires,1980,9919781,
Buenos Aires,1985,10523442,
Buenos Aires,1990,11147566,
Buenos Aires,1995,11806407,
Buenos Aires,2000,12503871,
Buenos Aires,2005,13329540,
Buenos Aires,2010,14245871,
Buenos Aires,2015,14705533,14705533
Buenos Aires,2020,,15153729
Buenos Aires,2025,,15752275
Buenos Aires,2030,,16456116
Buenos Aires,2035,,17127740
Chongqing,1950,1566966,
Chongqing,1955,1913248,
Chongqing,1960,2275158,
Chongqing,1965,2188064,
Chongqing,1970,2237344,
Chongqing,1975,2544566,
Chongqing,1980,2961400,
Chongqing,1985,3446230,
Chongqing,1990,4010602,
Chongqing,1995,5615367,
Chongqing,2000,7862976,
Chongqing,2005,9454076,
Chongqing,2010,11243667,
Chongqing,2015,13372015,13372015
Chongqing,2020,,15872179
Chongqing,2025,,18171198
Chongqing,2030,,19649098
Chongqing,2035,,20531266
Ciudad de México (Mexico City),1950,3365081,
Ciudad de México (Mexico City),1955,4293878,
Ciudad de México (Mexico City),1960,5479184,
Ciudad de México (Mexico City),1965,6969157,
Ciudad de México (Mexico City),1970,8830947,
Ciudad de México (Mexico City),1975,10733860,
Ciudad de México (Mexico City),1980,13027620,
Ciudad de México (Mexico City),1985,14278216,
Ciudad de México (Mexico City),1990,15642318,
Ciudad de México (Mexico City),1995,17017470,
Ciudad de México (Mexico City),2000,18457028,
Ciudad de México (Mexico City),2005,19276066,
Ciudad de México (Mexico City),2010,20136680,
Ciudad de México (Mexico City),2015,21339780,21339780
Ciudad de México (Mexico City),2020,,21782378
Ciudad de México (Mexico City),2025,,22752414
Ciudad de México (Mexico City),2030,,24110600
Ciudad de México (Mexico City),2035,,25414624
Delhi,1950,1369369,
Delhi,1955,1781624,
Delhi,1960,2282962,
Delhi,1965,2845042,
Delhi,1970,3530693,
Delhi,1975,4436385,
Delhi,1980,5587014,
Delhi,1985,7225758,
Delhi,1990,9384209,
Delhi,1995,12138233,
Delhi,2000,15691899,
Delhi,2005,18691330,
Delhi,2010,21987894,
Delhi,2015,25865876,25865876
Delhi,2020,,30290936
Delhi,2025,,34665570
Delhi,2030,,38938696
Delhi,2035,,43345060
Dhaka,1950,335760,
