Entity,Code,Year,Share of adults in 2000,Share of adults in 2022,World region according to OWID,Share of adults in 2022 (Original Year)
Afghanistan,AFG,2000,39.2,22.7,Asia,2022
Afghanistan,AFG,2005,34.2,22.7,Asia,2022
Afghanistan,AFG,2007,32.5,22.7,Asia,2022
Afghanistan,AFG,2010,30.2,22.7,Asia,2022
Afghanistan,AFG,2015,26.6,22.7,Asia,2022
Afghanistan,AFG,2020,23.7,22.7,Asia,2022
Afghanistan,AFG,2021,23.2,22.7,Asia,2022
Afghanistan,AFG,2022,22.7,22.7,Asia,
Afghanistan,AFG,2023,,22.7,Asia,2022
Africa,OWID_AFR,2000,18.860353,11.475446,,2022
Africa,OWID_AFR,2005,16.490337,11.475446,,2022
Africa,OWID_AFR,2007,15.696065,11.475446,,2022
Africa,OWID_AFR,2010,14.603046,11.475446,,2022
Africa,OWID_AFR,2015,13.102387,11.475446,,2022
Africa,OWID_AFR,2020,11.885643,11.475446,,2022
Africa,OWID_AFR,2021,11.676225,11.475446,,2022
Africa,OWID_AFR,2022,11.475446,11.475446,,
Albania,ALB,2000,35.4,21.9,Europe,2022
Albania,ALB,2005,31.6,21.9,Europe,2022
Albania,ALB,2007,30.2,21.9,Europe,2022
Albania,ALB,2010,28.3,21.9,Europe,2022
Albania,ALB,2015,25.4,21.9,Europe,2022
Albania,ALB,2020,22.9,21.9,Europe,2022
Albania,ALB,2021,22.4,21.9,Europe,2022
Albania,ALB,2022,21.9,21.9,Europe,
Albania,ALB,2023,,21.9,Europe,2022
Algeria,DZA,2000,22.9,21.2,Africa,2022
Algeria,DZA,2005,22.3,21.2,Africa,2022
Algeria,DZA,2007,22.2,21.2,Africa,2022
Algeria,DZA,2010,21.7,21.2,Africa,2022
Algeria,DZA,2015,21.3,21.2,Africa,2022
Algeria,DZA,2020,21.2,21.2,Africa,2022
Algeria,DZA,2021,21.2,21.2,Africa,2022
Algeria,DZA,2022,21.2,21.2,Africa,
Algeria,DZA,2023,,21.2,Africa,2022
Andorra,AND,2000,36,36.3,Europe,2022
Andorra,AND,2005,35.8,36.3,Europe,2022
Andorra,AND,2007,35.7,36.3,Europe,2022
Andorra,AND,2010,35.7,36.3,Europe,2022
Andorra,AND,2015,35.8,36.3,Europe,2022
Andorra,AND,2020,36,36.3,Europe,2022
Andorra,AND,2021,36.1,36.3,Europe,2022
Andorra,AND,2022,36.3,36.3,Europe,
Andorra,AND,2023,,36.3,Europe,2022
Argentina,ARG,2000,34.3,23.8,South America,2022
Argentina,ARG,2005,31.5,23.8,South America,2022
Argentina,ARG,2007,30.5,23.8,South America,2022
Argentina,ARG,2010,29,23.8,South America,2022
Argentina,ARG,2015,26.6,23.8,South America,2022
Argentina,ARG,2020,24.6,23.8,South America,2022
Argentina,ARG,2021,24.2,23.8,South America,2022
Argentina,ARG,2022,23.8,23.8,South America,
Argentina,ARG,2023,,23.8,South America,2022
Armenia,ARM,2000,32.6,24.9,Asia,2022
Armenia,ARM,2005,30.8,24.9,Asia,2022
Armenia,ARM,2007,30,24.9,Asia,2022
Armenia,ARM,2010,28.8,24.9,Asia,2022
Armenia,ARM,2015,27.2,24.9,Asia,2022
Armenia,ARM,2020,25.8,24.9,Asia,2022
Armenia,ARM,2021,25.3,24.9,Asia,2022
Armenia,ARM,2022,24.9,24.9,Asia,
Armenia,ARM,2023,,24.9,Asia,2022
Asia,OWID_ASI,2000,38.108116,24.236012,,2022
Asia,OWID_ASI,2005,34.12527,24.236012,,2022
Asia,OWID_ASI,2007,32.621563,24.236012,,2022
Asia,OWID_ASI,2010,30.589636,24.236012,,2022
Asia,OWID_ASI,2015,27.618008,24.236012,,2022
Asia,OWID_ASI,2020,25.130436,24.236012,,2022
Asia,OWID_ASI,2021,24.630396,24.236012,,2022
Asia,OWID_ASI,2022,24.236012,24.236012,,
Australia,AUS,2000,24.5,13.1,Oceania,2022
Australia,AUS,2005,21.2,13.1,Oceania,2022
Australia,AUS,2007,20,13.1,Oceania,2022
Australia,AUS,2010,18.4,13.1,Oceania,2022
Australia,AUS,2015,15.9,13.1,Oceania,2022
Australia,AUS,2020,13.7,13.1,Oceania,2022
Australia,AUS,2021,13.4,13.1,Oceania,2022
Australia,AUS,2022,13.1,13.1,Oceania,
Australia,AUS,2023,,13.1,Oceania,2022
Austria,AUT,2000,52.5,24.9,Europe,2022
Austria,AUT,2005,44.4,24.9,Europe,2022
Austria,AUT,2007,41.3,24.9,Europe,2022
Austria,AUT,2010,37.2,24.9,Europe,2022
Austria,AUT,2015,31.5,24.9,Europe,2022
Austria,AUT,2020,26.6,24.9,Europe,2022
Austria,AUT,2021,25.7,24.9,Europe,2022
Austria,AUT,2022,24.9,24.9,Europe,
Austria,AUT,2023,,24.9,Europe,2022
Azerbaijan,AZE,2000,28.8,19.6,Asia,2022
Azerbaijan,AZE,2005,26.1,19.6,Asia,2022
Azerbaijan,AZE,2007,25.2,19.6,Asia,2022
Azerbaijan,AZE,2010,24,19.6,Asia,2022
Azerbaijan,AZE,2015,22,19.6,Asia,2022
Azerbaijan,AZE,2020,20.2,19.6,Asia,2022
Azerbaijan,AZE,2021,19.9,19.6,Asia,2022
Azerbaijan,AZE,2022,19.6,19.6,Asia,
Azerbaijan,AZE,2023,,19.6,Asia,2022
Bahamas,BHS,2000,12.1,11.3,North America,2022
Bahamas,BHS,2005,11.7,11.3,North America,2022
Bahamas,BHS,2007,11.6,11.3,North America,2022
Bahamas,BHS,2010,11.5,11.3,North America,2022
Bahamas,BHS,2015,11.4,11.3,North America,2022
Bahamas,BHS,2020,11.3,11.3,North America,2022
Bahamas,BHS,2021,11.3,11.3,North America,2022
Bahamas,BHS,2022,11.3,11.3,North America,
Bahamas,BHS,2023,,11.3,North America,2022
Bahrain,BHR,2000,22,15,Asia,2022
Bahrain,BHR,2005,20,15,Asia,2022
Bahrain,BHR,2007,19.4,15,Asia,2022
Bahrain,BHR,2010,18.3,15,Asia,2022
Bahrain,BHR,2015,16.8,15,Asia,2022
Bahrain,BHR,2020,15.4,15,Asia,2022
Bahrain,BHR,2021,15.2,15,Asia,2022
Bahrain,BHR,2022,15,15,Asia,
Bahrain,BHR,2023,,15,Asia,2022
Bangladesh,BGD,2000,58.1,32.9,Asia,2022
Bangladesh,BGD,2005,50.7,32.9,Asia,2022
Bangladesh,BGD,2007,48,32.9,Asia,2022
Bangladesh,BGD,2010,44.2,32.9,Asia,2022
Bangladesh,BGD,2015,38.9,32.9,Asia,2022
Bangladesh,BGD,2020,34.4,32.9,Asia,2022
Bangladesh,BGD,2021,33.8,32.9,Asia,2022
Bangladesh,BGD,2022,32.9,32.9,Asia,
Bangladesh,BGD,2023,,32.9,Asia,2022
Barbados,BRB,2000,9.5,7,North America,2022
Barbados,BRB,2005,8.8,7,North America,2022
Barbados,BRB,2007,8.5,7,North America,2022
Barbados,BRB,2010,8.1,7,North America,2022
Barbados,BRB,2015,7.6,7,North America,2022
Barbados,BRB,2020,7.1,7,North America,2022
Barbados,BRB,2021,7,7,North America,2022
Barbados,BRB,2022,7,7,North America,
Barbados,BRB,2023,,7,North America,2022
Belarus,BLR,2000,42.8,30.1,Europe,2022
Belarus,BLR,2005,39.5,30.1,Europe,2022
Belarus,BLR,2007,38.2,30.1,Europe,2022
Belarus,BLR,2010,36.4,30.1,Europe,2022
Belarus,BLR,2015,33.4,30.1,Europe,2022
Belarus,BLR,2020,31.1,30.1,Europe,2022
Belarus,BLR,2021,30.6,30.1,Europe,2022
Belarus,BLR,2022,30.1,30.1,Europe,
Belarus,BLR,2023,,30.1,Europe,2022
Belgium,BEL,2000,30.9,26.7,Europe,2022
Belgium,BEL,2005,29.9,26.7,Europe,2022
Belgium,BEL,2007,29.4,26.7,Europe,2022
Belgium,BEL,2010,29,26.7,Europe,2022
Belgium,BEL,2015,28,26.7,Europe,2022
Belgium,BEL,2020,27.2,26.7,Europe,2022
Belgium,BEL,2021,27,26.7,Europe,2022
Belgium,BEL,2022,26.7,26.7,Europe,
Belgium,BEL,2023,,26.7,Europe,2022
Belize,BLZ,2000,13.7,8.8,North America,2022
Belize,BLZ,2005,12.3,8.8,North America,2022
Belize,BLZ,2007,11.8,8.8,North America,2022
Belize,BLZ,2010,11,8.8,North America,2022
Belize,BLZ,2015,10,8.8,North America,2022
Belize,BLZ,2020,9.1,8.8,North America,2022
Belize,BLZ,2021,8.9,8.8,North America,2022
Belize,BLZ,2022,8.8,8.8,North America,
Belize,BLZ,2023,,8.8,North America,2022
Benin,BEN,2000,17.6,6.3,Africa,2022
Benin,BEN,2005,13.8,6.3,Africa,2022
Benin,BEN,2007,12.6,6.3,Africa,2022
Benin,BEN,2010,10.9,6.3,Africa,2022
Benin,BEN,2015,8.6,6.3,Africa,2022
Benin,BEN,2020,6.9,6.3,Africa,2022
Benin,BEN,2021,6.6,6.3,Africa,2022
Benin,BEN,2022,6.3,6.3,Africa,
Benin,BEN,2023,,6.3,Africa,2022
Bhutan,BTN,2000,32.9,18.7,Asia,2022
