Entity,Code,Year,Any woman chief executive,Democratically-elected woman chief executive
World,OWID_WRL,1789,1.1173184,0
World,OWID_WRL,1790,1.1173184,0
World,OWID_WRL,1791,1.1173184,0
World,OWID_WRL,1792,1.1173184,0
World,OWID_WRL,1793,1.1173184,0
World,OWID_WRL,1794,1.1173184,0
World,OWID_WRL,1795,1.1173184,0
World,OWID_WRL,1796,1.1173184,0
World,OWID_WRL,1797,1.1173184,0
World,OWID_WRL,1798,1.1173184,0
World,OWID_WRL,1799,1.1173184,0
World,OWID_WRL,1800,1.6759777,0
World,OWID_WRL,1801,1.6759777,0
World,OWID_WRL,1802,1.6759777,0
World,OWID_WRL,1803,1.6759777,0
World,OWID_WRL,1804,1.6759777,0
World,OWID_WRL,1805,1.6759777,0
World,OWID_WRL,1806,1.6759777,0
World,OWID_WRL,1807,1.6759777,0
World,OWID_WRL,1808,1.6759777,0
World,OWID_WRL,1809,1.6759777,0
World,OWID_WRL,1810,1.6759777,0
World,OWID_WRL,1811,1.6759777,0
World,OWID_WRL,1812,1.6759777,0
World,OWID_WRL,1813,1.6759777,0
World,OWID_WRL,1814,1.6759777,0
World,OWID_WRL,1815,1.6759777,0
World,OWID_WRL,1816,1.6759777,0
World,OWID_WRL,1817,1.6759777,0
World,OWID_WRL,1818,1.6759777,0
World,OWID_WRL,1819,1.6759777,0
World,OWID_WRL,1820,1.6759777,0
World,OWID_WRL,1821,1.6759777,0
World,OWID_WRL,1822,1.6759777,0
World,OWID_WRL,1823,1.6759777,0
World,OWID_WRL,1824,1.6759777,0
World,OWID_WRL,1825,1.6759777,0
World,OWID_WRL,1826,1.6759777,0
World,OWID_WRL,1827,1.6759777,0
World,OWID_WRL,1828,2.2346368,0
World,OWID_WRL,1829,2.2346368,0
World,OWID_WRL,1830,2.2346368,0
World,OWID_WRL,1831,2.2346368,0
World,OWID_WRL,1832,2.2346368,0
World,OWID_WRL,1833,2.2346368,0
World,OWID_WRL,1834,2.2346368,0
World,OWID_WRL,1835,2.2346368,0
World,OWID_WRL,1836,2.2346368,0
World,OWID_WRL,1837,2.2346368,0
World,OWID_WRL,1838,2.2346368,0
World,OWID_WRL,1839,2.2346368,0
World,OWID_WRL,1840,2.2346368,0
World,OWID_WRL,1841,2.2346368,0
World,OWID_WRL,1842,2.2346368,0
World,OWID_WRL,1843,2.2346368,0
World,OWID_WRL,1844,2.2346368,0
World,OWID_WRL,1845,2.2346368,0
World,OWID_WRL,1846,2.2346368,0
World,OWID_WRL,1847,2.2346368,0
World,OWID_WRL,1848,2.2346368,0
World,OWID_WRL,1849,2.2346368,0
World,OWID_WRL,1850,2.2346368,0
World,OWID_WRL,1851,2.2346368,0
World,OWID_WRL,1852,2.2346368,0
World,OWID_WRL,1853,2.2346368,0
World,OWID_WRL,1854,2.2346368,0
World,OWID_WRL,1855,2.2346368,0
World,OWID_WRL,1856,2.2346368,0
World,OWID_WRL,1857,2.2346368,0
World,OWID_WRL,1858,2.2346368,0
World,OWID_WRL,1859,2.2346368,0
World,OWID_WRL,1860,2.2346368,0
World,OWID_WRL,1861,2.2346368,0
World,OWID_WRL,1862,2.2346368,0
World,OWID_WRL,1863,2.2346368,0
World,OWID_WRL,1864,2.2346368,0
World,OWID_WRL,1865,2.2346368,0
World,OWID_WRL,1866,2.2346368,0
World,OWID_WRL,1867,2.2346368,0
World,OWID_WRL,1868,2.2346368,0
World,OWID_WRL,1869,2.2346368,0
World,OWID_WRL,1870,2.2346368,0
World,OWID_WRL,1871,2.793296,0
World,OWID_WRL,1872,2.793296,0
World,OWID_WRL,1873,2.793296,0
World,OWID_WRL,1874,2.793296,0
World,OWID_WRL,1875,3.3519554,0
World,OWID_WRL,1876,3.3519554,0
World,OWID_WRL,1877,3.3519554,0
World,OWID_WRL,1878,3.3519554,0
World,OWID_WRL,1879,3.3519554,0
World,OWID_WRL,1880,3.3519554,0
World,OWID_WRL,1881,3.3519554,0
World,OWID_WRL,1882,3.3519554,0
World,OWID_WRL,1883,3.3519554,0
World,OWID_WRL,1884,3.3519554,0
World,OWID_WRL,1885,3.3519554,0
World,OWID_WRL,1886,3.3519554,0
World,OWID_WRL,1887,3.3519554,0
World,OWID_WRL,1888,3.3519554,0
World,OWID_WRL,1889,3.3519554,0
World,OWID_WRL,1890,3.3519554,0
World,OWID_WRL,1891,3.3519554,0
World,OWID_WRL,1892,3.3519554,0
World,OWID_WRL,1893,3.3519554,0
World,OWID_WRL,1894,3.3519554,0
World,OWID_WRL,1895,3.3519554,0
World,OWID_WRL,1896,3.3519554,0
World,OWID_WRL,1897,3.9106145,0
World,OWID_WRL,1898,3.9106145,0
World,OWID_WRL,1899,3.9106145,0
World,OWID_WRL,1900,4.4692736,0
World,OWID_WRL,1901,4.4692736,0
World,OWID_WRL,1902,4.4692736,0
World,OWID_WRL,1903,4.4692736,0
World,OWID_WRL,1904,4.4692736,0
World,OWID_WRL,1905,4.4692736,0
World,OWID_WRL,1906,4.4692736,0
World,OWID_WRL,1907,4.4692736,0
World,OWID_WRL,1908,4.4692736,0
World,OWID_WRL,1909,4.4692736,0
World,OWID_WRL,1910,4.4692736,0
World,OWID_WRL,1911,4.4692736,0
World,OWID_WRL,1912,4.4692736,0
World,OWID_WRL,1913,4.4692736,0
World,OWID_WRL,1914,4.4692736,0
World,OWID_WRL,1915,4.4692736,0
World,OWID_WRL,1916,4.4692736,0
World,OWID_WRL,1917,4.4692736,0
World,OWID_WRL,1918,4.4692736,0
World,OWID_WRL,1919,4.4692736,0
World,OWID_WRL,1920,4.4692736,0
World,OWID_WRL,1921,5.027933,0
World,OWID_WRL,1922,5.027933,0
World,OWID_WRL,1923,5.027933,0
World,OWID_WRL,1924,5.027933,0
World,OWID_WRL,1925,5.027933,0
World,OWID_WRL,1926,5.027933,0
World,OWID_WRL,1927,5.027933,0
World,OWID_WRL,1928,5.027933,0
World,OWID_WRL,1929,5.027933,0
World,OWID_WRL,1930,5.027933,0
World,OWID_WRL,1931,5.027933,0
World,OWID_WRL,1932,5.027933,0
World,OWID_WRL,1933,5.027933,0
World,OWID_WRL,1934,5.027933,0
World,OWID_WRL,1935,5.027933,0
World,OWID_WRL,1936,5.027933,0
World,OWID_WRL,1937,5.027933,0
World,OWID_WRL,1938,5.027933,0
World,OWID_WRL,1939,5.027933,0
World,OWID_WRL,1940,5.027933,0
World,OWID_WRL,1941,5.027933,0
World,OWID_WRL,1942,5.027933,0
World,OWID_WRL,1943,5.027933,0
World,OWID_WRL,1944,5.586592,0
World,OWID_WRL,1945,6.1452513,0
World,OWID_WRL,1946,6.1452513,0
World,OWID_WRL,1947,6.1452513,0
World,OWID_WRL,1948,6.1452513,0
World,OWID_WRL,1949,6.1452513,0
World,OWID_WRL,1950,6.1452513,0
World,OWID_WRL,1951,6.1452513,0
World,OWID_WRL,1952,6.1452513,0
World,OWID_WRL,1953,6.1452513,0
World,OWID_WRL,1954,6.1452513,0
World,OWID_WRL,1955,6.1452513,0
World,OWID_WRL,1956,6.1452513,0
World,OWID_WRL,1957,6.1452513,0
World,OWID_WRL,1958,6.1452513,0
World,OWID_WRL,1959,6.1452513,0
World,OWID_WRL,1960,6.703911,0.5586592
World,OWID_WRL,1961,6.703911,0.5586592
World,OWID_WRL,1962,6.703911,0.5586592
World,OWID_WRL,1963,6.703911,0.5586592
World,OWID_WRL,1964,6.703911,0.5586592
World,OWID_WRL,1965,6.703911,0.5586592
World,OWID_WRL,1966,7.26257,1.1173184
World,OWID_WRL,1967,7.26257,1.1173184
World,OWID_WRL,1968,7.26257,1.1173184
World,OWID_WRL,1969,7.821229,1.6759777
World,OWID_WRL,1970,7.821229,1.6759777
World,OWID_WRL,1971,7.821229,1.6759777
World,OWID_WRL,1972,7.821229,1.6759777
World,OWID_WRL,1973,7.821229,1.6759777
World,OWID_WRL,1974,8.379889,2.2346368
World,OWID_WRL,1975,8.379889,2.2346368
World,OWID_WRL,1976,8.379889,2.2346368
World,OWID_WRL,1977,8.379889,2.2346368
World,OWID_WRL,1978,8.379889,2.2346368
World,OWID_WRL,1979,9.497207,3.3519554
World,OWID_WRL,1980,9.497207,3.3519554
World,OWID_WRL,1981,10.055866,3.9106145
World,OWID_WRL,1982,10.055866,3.9106145
World,OWID_WRL,1983,10.055866,3.9106145
World,OWID_WRL,1984,10.055866,3.9106145
World,OWID_WRL,1985,10.055866,3.9106145
World,OWID_WRL,1986,10.614525,3.9106145
World,OWID_WRL,1987,10.614525,3.9106145
World,OWID_WRL,1988,11.173184,4.4692736
World,OWID_WRL,1989,11.173184,4.4692736
World,OWID_WRL,1990,13.407822,5.586592
World,OWID_WRL,1991,14.52514,6.1452513
World,OWID_WRL,1992,15.083798,7.26257
World,OWID_WRL,1993,16.759777,8.379889
World,OWID_WRL,1994,17.318436,8.938547
World,OWID_WRL,1995,17.318436,8.938547
World,OWID_WRL,1996,17.877094,8.938547
World,OWID_WRL,1997,18.994413,9.497207
World,OWID_WRL,1998,18.994413,10.055866
World,OWID_WRL,1999,20.111732,11.173184
World,OWID_WRL,2000,20.111732,11.173184
World,OWID_WRL,2001,20.670391,11.731844
World,OWID_WRL,2002,21.22905,12.290503
World,OWID_WRL,2003,21.22905,12.290503
World,OWID_WRL,2004,21.22905,12.290503
World,OWID_WRL,2005,21.78771,12.849162
World,OWID_WRL,2006,22.905027,14.52514
World,OWID_WRL,2007,23.463688,15.083798
World,OWID_WRL,2008,23.463688,15.083798
World,OWID_WRL,2009,25.139666,16.201117
World,OWID_WRL,2010,27.93296,18.994413
World,OWID_WRL,2011,28.491621,20.111732
World,OWID_WRL,2012,29.05028,20.670391
World,OWID_WRL,2013,29.608938,21.78771
World,OWID_WRL,2014,30.167597,21.78771
World,OWID_WRL,2015,30.167597,21.78771
World,OWID_WRL,2016,30.167597,21.78771
World,OWID_WRL,2017,31.284916,21.78771
World,OWID_WRL,2018,32.402233,22.905027
World,OWID_WRL,2019,34.078213,24.581005
World,OWID_WRL,2020,34.078213,24.581005
World,OWID_WRL,2021,35.75419,25.698324
World,OWID_WRL,2022,37.43017,27.374302
World,OWID_WRL,2023,39.106144,28.491621
World,OWID_WRL,2024,39.664806,28.491621
World,OWID_WRL,2025,41.89944,30.726257
