Entity,Code,Year,Share of expenditure spent on food,Food expenditure,World region according to OWID
Algeria,DZA,2017,37.305225,651.2,Africa
Algeria,DZA,2018,37.270523,645.6,Africa
Algeria,DZA,2019,37.413,556.0795,Africa
Algeria,DZA,2020,37.54794,520.0589,Africa
Algeria,DZA,2021,37.25587,614.0008,Africa
Algeria,DZA,2022,37.13056,642.11694,Africa
Algeria,DZA,2023,37.160736,784.7101,Africa
Angola,AGO,2017,48.524673,1144.6,Africa
Angola,AGO,2018,48.61013,893.6,Africa
Angola,AGO,2019,48.61122,451.0519,Africa
Angola,AGO,2020,49.338432,513.12964,Africa
Angola,AGO,2021,49.737926,657.6129,Africa
Angola,AGO,2022,49.639904,691.91376,Africa
Angola,AGO,2023,50.01461,637.6533,Africa
Argentina,ARG,2017,28.278843,2715.9,South America
Argentina,ARG,2018,28.281788,2139.8,South America
Argentina,ARG,2019,22.505539,859.241,South America
Argentina,ARG,2020,23.08526,1090.9214,South America
Argentina,ARG,2021,23.198097,1494.6925,South America
Argentina,ARG,2022,23.12006,2070.0664,South America
Argentina,ARG,2023,23.050257,2113.4355,South America
Australia,AUS,2017,9.302785,3016,Oceania
Australia,AUS,2018,9.273232,3003.6,Oceania
Australia,AUS,2019,9.434489,2546.8447,Oceania
Australia,AUS,2020,10.805519,2722.4756,Oceania
Australia,AUS,2021,9.974969,3239.4424,Oceania
Australia,AUS,2022,10.449626,3507.6057,Oceania
Australia,AUS,2023,9.905157,3374.186,Oceania
Austria,AUT,2017,9.852731,2434.6,Europe
Austria,AUT,2018,9.822142,2618.2,Europe
Austria,AUT,2019,9.712311,2291.102,Europe
Austria,AUT,2020,9.679411,2085.374,Europe
Austria,AUT,2021,11.312785,2987.647,Europe
Austria,AUT,2022,10.805587,2766.8171,Europe
Austria,AUT,2023,10.055154,2930.4343,Europe
Azerbaijan,AZE,2017,38.94116,943.7,Asia
Azerbaijan,AZE,2018,38.630596,989.6,Asia
Azerbaijan,AZE,2019,41.4879,1093.2401,Asia
Azerbaijan,AZE,2020,43.36695,1055.4464,Asia
Azerbaijan,AZE,2021,43.555817,1223.5452,Asia
Azerbaijan,AZE,2022,42.444035,1411.4885,Asia
Azerbaijan,AZE,2023,42.70742,1622.2925,Asia
Bahrain,BHR,2017,13.316719,1576.3,Asia
Bahrain,BHR,2018,13.244777,1674.1,Asia
Bahrain,BHR,2019,13.181242,1230.5845,Asia
Bahrain,BHR,2020,13.124613,1140.0425,Asia
Bahrain,BHR,2021,13.064381,1239.1884,Asia
Bahrain,BHR,2022,13.012485,1158.1042,Asia
Bahrain,BHR,2023,13.583627,1405.4587,Asia
Bangladesh,BGD,2017,53.48792,546.7,Asia
Bangladesh,BGD,2018,53.52051,611.9,Asia
Bangladesh,BGD,2019,52.7182,649.29535,Asia
Bangladesh,BGD,2020,53.435543,723.7309,Asia
Bangladesh,BGD,2021,52.749126,791.20123,Asia
Bangladesh,BGD,2022,52.710556,923.5035,Asia
Bangladesh,BGD,2023,52.775024,909.8473,Asia
Belarus,BLR,2017,32.70292,1025.4,Europe
Belarus,BLR,2018,32.341686,1090.4,Europe
Belarus,BLR,2019,30.262358,923.08716,Europe
Belarus,BLR,2020,31.902212,1014.7107,Europe
Belarus,BLR,2021,32.121384,1179.2625,Europe
Belarus,BLR,2022,31.694954,1320.4661,Europe
Belarus,BLR,2023,29.479084,1313.9669,Europe
Belgium,BEL,2017,13.383577,2834.2,Europe
Belgium,BEL,2018,13.424372,3034.7,Europe
Belgium,BEL,2019,12.686679,2694.3694,Europe
Belgium,BEL,2020,12.659123,2454.2979,Europe
Belgium,BEL,2021,13.478635,3260.3809,Europe
Belgium,BEL,2022,13.469407,3227.8252,Europe
Belgium,BEL,2023,12.174075,3210.8323,Europe
Bolivia,BOL,2017,29.194366,667.5,South America
Bolivia,BOL,2018,29.138767,696.3,South America
Bolivia,BOL,2019,29.117083,649.1287,South America
Bolivia,BOL,2020,29.32577,602.91113,South America
Bolivia,BOL,2021,29.18861,659.9653,South America
Bolivia,BOL,2022,28.980215,714.5037,South America
Bolivia,BOL,2023,29.263062,759.2547,South America
Bosnia and Herzegovina,BIH,2017,30.727034,1282.7,Europe
Bosnia and Herzegovina,BIH,2018,30.672085,1403.8,Europe
Bosnia and Herzegovina,BIH,2019,28.77897,1227.2747,Europe
Bosnia and Herzegovina,BIH,2020,28.515612,1205.5502,Europe
Bosnia and Herzegovina,BIH,2021,30.022688,1421.5299,Europe
Bosnia and Herzegovina,BIH,2022,29.223167,1471.8893,Europe
Bosnia and Herzegovina,BIH,2023,32.1488,1873.3527,Europe
Brazil,BRA,2017,15.727302,954.6,South America
Brazil,BRA,2018,15.709493,866.3,South America
Brazil,BRA,2019,15.464675,599.6366,South America
Brazil,BRA,2020,17.289293,655.79486,South America
Brazil,BRA,2021,16.252525,722.0721,South America
Brazil,BRA,2022,16.239899,882.3187,South America
Brazil,BRA,2023,16.220968,1025.5553,South America
Bulgaria,BGR,2017,19.189651,1008.8,Europe
Bulgaria,BGR,2018,19.310356,1172.1,Europe
Bulgaria,BGR,2019,18.433598,1038.902,Europe
Bulgaria,BGR,2020,19.648802,1123.2827,Europe
Bulgaria,BGR,2021,19.334064,1338.8458,Europe
Bulgaria,BGR,2022,19.11543,1551.6959,Europe
Bulgaria,BGR,2023,20.728756,2018.3026,Europe
Cambodia,KHM,2017,42.50748,468.9,Asia
Cambodia,KHM,2018,42.33243,500.2,Asia
Cambodia,KHM,2019,41.666668,495.7677,Asia
Cambodia,KHM,2020,42.79079,457.17178,Asia
Cambodia,KHM,2021,42.712593,546.4503,Asia
Cambodia,KHM,2022,41.439476,576.717,Asia
Cambodia,KHM,2023,40.74538,897.95856,Asia
Cameroon,CMR,2017,45.401722,453.2,Africa
Cameroon,CMR,2018,45.341896,501.3,Africa
Cameroon,CMR,2019,45.28977,469.00677,Africa
Cameroon,CMR,2020,45.250137,456.21967,Africa
Cameroon,CMR,2021,45.21058,540.9608,Africa
Cameroon,CMR,2022,45.177383,513.89526,Africa
Cameroon,CMR,2023,45.825108,575.75055,Africa
Canada,CAN,2017,9.089214,2291.3,North America
Canada,CAN,2018,9.055436,2350.9,North America
Canada,CAN,2019,9.1643305,2098.342,North America
Canada,CAN,2020,10.610237,2294.0552,North America
Canada,CAN,2021,9.985679,2766.5105,North America
Canada,CAN,2022,9.522123,2781.1907,North America
Canada,CAN,2023,9.656434,2775.2175,North America
Chile,CHL,2017,16.150988,1521.1,South America
Chile,CHL,2018,16.018545,1613.5,South America
Chile,CHL,2019,17.565674,1275.6061,South America
Chile,CHL,2020,17.921295,1230.2683,South America
Chile,CHL,2021,18.504671,1806.7124,South America
Chile,CHL,2022,17.958555,1740.5986,South America
Chile,CHL,2023,19.436594,1970.4255,South America
China,CHN,2017,21.694975,737,Asia
China,CHN,2018,21.55104,814.5,Asia
China,CHN,2019,19.36572,743.21545,Asia
China,CHN,2020,21.846012,882.5526,Asia
China,CHN,2021,19.952589,933.8022,Asia
China,CHN,2022,20.098173,965.64905,Asia
China,CHN,2023,21.226562,998.8716,Asia
Colombia,COL,2017,19.20925,827.4,South America
Colombia,COL,2018,19.215633,869.2,South America
Colombia,COL,2019,17.88385,561.54987,South America
Colombia,COL,2020,18.563904,555.18396,South America
Colombia,COL,2021,18.59748,806.6916,South America
Colombia,COL,2022,18.545977,873.9669,South America
Colombia,COL,2023,20.622913,1086.9591,South America
Costa Rica,CRI,2017,25.848715,2109.1,North America
Costa Rica,CRI,2018,25.719498,2143,North America
Costa Rica,CRI,2019,30.634867,2220.0195,North America
Costa Rica,CRI,2020,32.22319,2211.117,North America
Costa Rica,CRI,2021,31.579697,2656.4326,North America
Costa Rica,CRI,2022,31.055508,2793.5496,North America
Costa Rica,CRI,2023,21.311459,2477.5427,North America
Cote d'Ivoire,CIV,2017,40.453938,424.2,Africa
Cote d'Ivoire,CIV,2018,39.64808,452.9,Africa
Cote d'Ivoire,CIV,2019,39.30706,598.85657,Africa
Cote d'Ivoire,CIV,2020,38.903526,592.9711,Africa
Cote d'Ivoire,CIV,2021,38.530193,673.4896,Africa
Cote d'Ivoire,CIV,2022,38.16065,613.992,Africa
Cote d'Ivoire,CIV,2023,37.74478,658.12756,Africa
Croatia,HRV,2017,23.093365,2290.4,Europe
Croatia,HRV,2018,23.049547,2564.7,Europe
Croatia,HRV,2019,18.258919,1699.2692,Europe
Croatia,HRV,2020,23.193146,1762.2521,Europe
Croatia,HRV,2021,19.568707,2256.284,Europe
Croatia,HRV,2022,19.273,2703.8542,Europe
Croatia,HRV,2023,18.542738,3014.8596,Europe
Czechia,CZE,2017,16.268711,1610.7,Europe
Czechia,CZE,2018,16.34714,1835.8,Europe
Czechia,CZE,2019,15.517178,1568.2462,Europe
Czechia,CZE,2020,16.64305,1630.1895,Europe
Czechia,CZE,2021,16.136227,1947.2992,Europe
Czechia,CZE,2022,16.356922,2105.4744,Europe
Czechia,CZE,2023,15.65828,2350.59,Europe
Denmark,DNK,2017,11.473244,3004.2,Europe
Denmark,DNK,2018,11.472916,3220,Europe
Denmark,DNK,2019,11.470416,2806.4456,Europe
Denmark,DNK,2020,12.635981,3019.4075,Europe
Denmark,DNK,2021,12.320651,3727.229,Europe
Denmark,DNK,2022,11.697194,3337.9702,Europe
