Entity,Code,Day,0-17 years,18-29 years,25-49 years,45-54 years,50-54 years,40-49 years,30-39 years,25-34 years,18-24 years,50-59 years,55-64 years,60-69 years,60-64 years,55-59 years,65-69 years,70-74 years,75+ years,80+ years,75-79,70-79 years,65-74 years,12-17 years,20-29,12-15 years,16-19 years,5-11 years,80-89 years,15-17 years,5-9 years,10-14 years,90+ years,0-19 years,12-64 years,65+ years
Argentina,ARG,2020-01-01,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-02,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-03,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-04,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-05,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-06,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-07,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-08,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-09,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-10,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-11,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-12,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-13,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-14,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-15,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-16,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-17,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-18,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-19,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-20,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-21,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-22,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-23,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-24,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-25,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-26,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-27,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-28,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-29,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-30,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-01-31,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-02-01,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-02-02,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-02-03,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-02-04,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
Argentina,ARG,2020-02-05,,0,,,,0,0,,,0,,0,,,,,,,,0,,0,,,,,0,,,,,,,
