Entity,Code,Year,Urban,Rural
Afghanistan,AFG,2000,21.885258,8.535748
Afghanistan,AFG,2001,21.885258,8.535748
Afghanistan,AFG,2002,22.570154,9.35664
Afghanistan,AFG,2003,23.25505,10.177532
Afghanistan,AFG,2004,23.939945,10.998424
Afghanistan,AFG,2005,24.624842,11.819316
Afghanistan,AFG,2006,25.309738,12.640207
Afghanistan,AFG,2007,25.994635,13.841233
Afghanistan,AFG,2008,26.67953,14.779118
Afghanistan,AFG,2009,27.364426,15.628584
Afghanistan,AFG,2010,28.049322,16.478048
Afghanistan,AFG,2011,28.734217,17.327515
Afghanistan,AFG,2012,29.419113,18.176981
Afghanistan,AFG,2013,30.10401,19.026445
Afghanistan,AFG,2014,30.788904,19.875912
Afghanistan,AFG,2015,31.4738,20.725376
Afghanistan,AFG,2016,32.158695,21.574842
Afghanistan,AFG,2017,32.843594,22.424307
Afghanistan,AFG,2018,33.52849,23.273773
Afghanistan,AFG,2019,34.213383,24.12324
Afghanistan,AFG,2020,34.89828,24.972704
Afghanistan,AFG,2021,35.583176,25.82217
Afghanistan,AFG,2022,36.26807,26.671635
Afghanistan,AFG,2023,36.38141,27.521101
Afghanistan,AFG,2024,36.38141,28.370565
Africa (WHO),WHO_AFR,2000,45.366787,7.320095
Africa (WHO),WHO_AFR,2001,45.254387,7.4911933
Africa (WHO),WHO_AFR,2002,45.44731,7.740955
Africa (WHO),WHO_AFR,2003,45.65344,8.000063
Africa (WHO),WHO_AFR,2004,45.988064,8.270115
Africa (WHO),WHO_AFR,2005,46.306477,8.544955
Africa (WHO),WHO_AFR,2006,46.6576,8.852947
Africa (WHO),WHO_AFR,2007,47.038795,9.20285
Africa (WHO),WHO_AFR,2008,47.4496,9.57052
Africa (WHO),WHO_AFR,2009,47.89219,9.95335
Africa (WHO),WHO_AFR,2010,48.363342,10.348063
Africa (WHO),WHO_AFR,2011,48.619305,10.6088705
Africa (WHO),WHO_AFR,2012,49.169632,11.027579
Africa (WHO),WHO_AFR,2013,49.752785,11.462463
Africa (WHO),WHO_AFR,2014,50.37029,11.917356
Africa (WHO),WHO_AFR,2015,51.030457,12.394054
Africa (WHO),WHO_AFR,2016,51.66889,12.871237
Africa (WHO),WHO_AFR,2017,52.261635,13.363232
Africa (WHO),WHO_AFR,2018,52.981255,13.868947
Africa (WHO),WHO_AFR,2019,53.690372,14.378393
Africa (WHO),WHO_AFR,2020,53.961403,14.896585
Africa (WHO),WHO_AFR,2021,53.952602,15.426923
Africa (WHO),WHO_AFR,2022,53.940914,15.880178
Africa (WHO),WHO_AFR,2023,53.89089,16.362494
Africa (WHO),WHO_AFR,2024,53.907803,16.776896
Algeria,DZA,2000,81.867455,50.99412
Algeria,DZA,2001,81.78657,51.75708
Algeria,DZA,2002,81.70558,52.52242
Algeria,DZA,2003,81.6245,53.290142
Algeria,DZA,2004,81.54332,54.060246
Algeria,DZA,2005,81.46204,54.832726
Algeria,DZA,2006,81.38067,55.607594
Algeria,DZA,2007,81.2992,56.38484
Algeria,DZA,2008,81.217636,57.164467
Algeria,DZA,2009,81.13598,57.946472
Algeria,DZA,2010,81.05422,58.73086
Algeria,DZA,2011,80.97237,59.517635
Algeria,DZA,2012,80.89042,60.306786
Algeria,DZA,2013,80.80837,61.09832
Algeria,DZA,2014,80.72623,61.892235
Algeria,DZA,2015,80.64399,62.68853
Algeria,DZA,2016,79.292465,63.487206
Algeria,DZA,2017,77.86181,64.28826
Algeria,DZA,2018,76.42993,65.091705
Algeria,DZA,2019,74.99684,64.63525
Algeria,DZA,2020,73.56254,61.99907
Algeria,DZA,2021,72.12702,59.35349
Algeria,DZA,2022,72.12702,59.35349
Algeria,DZA,2023,72.12702,59.35349
Algeria,DZA,2024,72.12702,59.35349
Americas (WHO),WHO_AMR,2000,87.37206,45.695107
Americas (WHO),WHO_AMR,2001,87.37979,45.91006
Americas (WHO),WHO_AMR,2002,87.391235,46.13781
Americas (WHO),WHO_AMR,2003,87.40336,46.3683
Americas (WHO),WHO_AMR,2004,87.42209,46.593575
Americas (WHO),WHO_AMR,2005,87.615616,46.804935
Americas (WHO),WHO_AMR,2006,87.634026,47.044647
Americas (WHO),WHO_AMR,2007,87.65701,47.282906
Americas (WHO),WHO_AMR,2008,87.692116,47.59836
Americas (WHO),WHO_AMR,2009,87.72869,48.21451
Americas (WHO),WHO_AMR,2010,87.77317,48.89441
Americas (WHO),WHO_AMR,2011,87.817856,49.576035
Americas (WHO),WHO_AMR,2012,87.8513,50.260838
Americas (WHO),WHO_AMR,2013,88.03222,50.99318
Americas (WHO),WHO_AMR,2014,88.02499,51.731033
Americas (WHO),WHO_AMR,2015,88.2879,52.422913
Americas (WHO),WHO_AMR,2016,88.55162,53.103016
Americas (WHO),WHO_AMR,2017,88.813644,53.731754
Americas (WHO),WHO_AMR,2018,89.02291,54.42794
Americas (WHO),WHO_AMR,2019,89.21276,55.11542
Americas (WHO),WHO_AMR,2020,89.38798,55.794724
Americas (WHO),WHO_AMR,2021,89.5378,56.45806
Americas (WHO),WHO_AMR,2022,89.69094,57.021984
Americas (WHO),WHO_AMR,2023,89.86413,57.52618
Americas (WHO),WHO_AMR,2024,89.99356,58.027122
Australia,AUS,2000,98.28848,
Australia,AUS,2001,98.28848,
Australia,AUS,2002,98.28848,
Australia,AUS,2003,98.420494,
Australia,AUS,2004,98.55253,
Australia,AUS,2005,98.684586,
Australia,AUS,2006,98.816666,
Australia,AUS,2007,98.94878,
Australia,AUS,2008,99.0809,
Australia,AUS,2009,99.21306,
Australia,AUS,2010,99.345245,
Australia,AUS,2011,99.47745,
Australia,AUS,2012,99.60967,
Australia,AUS,2013,99.671906,
Australia,AUS,2014,99.67763,
Australia,AUS,2015,99.68335,
Australia,AUS,2016,99.6791,
Australia,AUS,2017,99.67485,
Australia,AUS,2018,99.6706,
Australia,AUS,2019,99.66634,
Australia,AUS,2020,99.662094,
Australia,AUS,2021,99.657845,
Australia,AUS,2022,99.653595,
Australia,AUS,2023,99.649345,
Australia,AUS,2024,99.645096,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2000,98.58071,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2001,98.58053,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2002,98.58116,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2003,98.6919,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2004,98.801865,
Australia and New Zealand (UN SDG),UNSDG_ANZ,2005,98.91107,
