Date,Price,Volume,,,,,
02/01/2025,199.43,20370828,,,,,
03/01/2025,201.79,18596159,,,,,
06/01/2025,206.87,29563638,,,,,
07/01/2025,205.49,26487244,,,,,
08/01/2025,203.95,24864766,,,,,
10/01/2025,202.04,26665206,,,,,
13/01/2025,201.01,21823699,,,,,
14/01/2025,199.66,17174854,,,,,
15/01/2025,205.55,21775969,,,,,
16/01/2025,202.91,17815432,,,,,
17/01/2025,206,27735089,,,,,
21/01/2025,208.05,29971292,,,,,
22/01/2025,208.37,26200617,,,,,
23/01/2025,207.98,26951357,,,,,
24/01/2025,210.21,23877521,,,,,
27/01/2025,201.81,41728893,,,,,
28/01/2025,205.3,24157929,,,,,
29/01/2025,205.41,18218256,,,,,
30/01/2025,210.87,24354684,,,,,
31/01/2025,214.02,32041952,,,,,
03/02/2025,211.23,27838348,,,,,
04/02/2025,216.38,43856425,,,,,
05/02/2025,201.33,120461770,,,,,
06/02/2025,201.6,29297442,,,,,
07/02/2025,195.34,49314961,,,,,
10/02/2025,196.47,23105649,,,,,
11/02/2025,195.32,21239519,,,,,
12/02/2025,193.61,22072559,,,,,
13/02/2025,196.14,21402523,,,,,
14/02/2025,195.23,20448437,,,,,
18/02/2025,193.77,29916675,,,,,
19/02/2025,195.27,19549396,,,,,
20/02/2025,194.56,20441462,,,,,
21/02/2025,189.66,35199239,,,,,
24/02/2025,189.25,29854206,,,,,
25/02/2025,185.42,41913411,,,,,
26/02/2025,182.73,35431268,,,,,
27/02/2025,178.5,39991015,,,,,
28/02/2025,180.28,48130565,,,,,
03/03/2025,177.01,40770451,,,,,
04/03/2025,180.92,45387996,,,,,
05/03/2025,183.02,30954922,,,,,
06/03/2025,182.35,28301953,,,,,
07/03/2025,183.86,27385813,,,,,
10/03/2025,175.87,43604027,,,,,
11/03/2025,174.04,39587414,,,,,
12/03/2025,177.11,28372396,,,,,
13/03/2025,172.76,31756214,,,,,
14/03/2025,175.49,31995894,,,,,
17/03/2025,174.29,31184335,,,,,
18/03/2025,170.67,42074751,,,,,
19/03/2025,173.89,34275582,,,,,
20/03/2025,172.8,28138464,,,,,
21/03/2025,173.99,36625764,,,,,
24/03/2025,177.68,30879129,,,,,
25/03/2025,180.56,24174373,,,,,
26/03/2025,175.06,28939326,,,,,
27/03/2025,172.24,24508273,,,,,
28/03/2025,164.33,48669335,,,,,
31/03/2025,164.64,54603464,,,,,
01/04/2025,167.07,30672899,,,,,
