Entity,Code,Year,99%,90%,80%,70%,60%,50%,40%,30%,20%,10%,Top 1%
Australia,AUS,1921,0.17,27.28,47.73,58.39,64.84,69.66,73.7,77.29,80.95,85.67,95.93
Australia,AUS,1922,0.22,32.01,50.74,60.16,65.99,70.43,74.35,77.75,81.46,85.77,95.12
Australia,AUS,1923,0.19,30.16,49.73,59.35,65.25,69.88,73.78,77.16,80.54,84.98,93.71
Australia,AUS,1924,0.2,31.49,50.61,60.03,65.83,70.45,74.2,77.63,81.35,85.61,94.34
Australia,AUS,1925,0.21,33.28,51.64,60.62,66.33,70.76,74.54,77.93,81.53,85.76,95.18
Australia,AUS,1926,0.22,32.61,51.08,60.32,66.08,70.64,74.34,77.61,81.16,85.52,94.53
Australia,AUS,1927,0.21,32.5,51.35,60.27,66.1,70.58,74.39,77.73,81.37,85.62,94.64
Australia,AUS,1928,0.21,32.16,51.1,60.29,66.17,70.66,74.39,77.78,81.49,85.82,94.62
Australia,AUS,1929,0.23,33,51.7,60.6,66.24,70.6,74.29,77.62,81.14,85.42,93.75
Australia,AUS,1930,0.25,35.99,54.13,62.57,67.96,72.23,75.6,78.88,82.67,86.95,95.85
Australia,AUS,1931,0.3,37.93,54.72,62.82,67.92,72.05,75.34,78.58,82.2,86.34,95.33
Australia,AUS,1932,0.31,38.74,55.06,62.93,68,72.14,75.57,78.79,82.44,86.49,95.27
Australia,AUS,1933,0.31,39.07,55.02,62.71,67.85,71.91,75.27,78.48,82.08,86.22,94.74
Australia,AUS,1934,0.28,37.59,54.38,62.34,67.52,71.68,75.05,78.31,81.82,85.91,94.76
Australia,AUS,1935,0.31,38.56,54.62,62.4,67.45,71.5,74.9,78.24,81.75,85.87,94.67
Australia,AUS,1936,0.29,38.29,54.68,62.57,67.64,71.77,75.2,78.48,82.15,86.35,95.44
Australia,AUS,1937,0.33,39.93,55.58,62.93,67.91,72.12,75.44,78.62,82.24,86.26,95.03
Australia,AUS,1938,0.33,40.2,55.69,63.07,68.01,72.13,75.36,78.55,82.08,86.1,94.83
Australia,AUS,1939,0.33,41.05,55.98,63.15,67.99,71.96,75.26,78.36,81.8,85.8,93.76
Australia,AUS,1940,0.32,42.29,56.4,63.35,68.17,72.23,75.53,78.69,82.26,86.37,94.96
Australia,AUS,1941,0.3,42.77,56.71,63.54,68.28,72.14,75.43,78.49,82.02,85.99,94.53
Australia,AUS,1942,0.32,43.25,56.59,63.24,67.78,71.7,74.94,78.07,81.54,85.49,93.91
Australia,AUS,1943,0.33,44.46,57.25,63.75,68.27,72.07,75.31,78.42,81.88,85.81,93.98
Australia,AUS,1944,0.43,47.17,58.79,64.83,69.27,72.99,76.2,79.29,82.8,86.78,95.39
Australia,AUS,1945,0.49,47.95,59.15,65.19,69.6,73.26,76.41,79.47,82.85,86.8,95.36
Australia,AUS,1946,0.47,47.31,58.59,64.73,69.18,72.84,75.96,79.07,82.46,86.37,94.56
Australia,AUS,1947,0.52,47.98,59.06,65.04,69.51,73.23,76.44,79.53,83.07,86.99,95.21
Australia,AUS,1948,0.6,48.46,59.01,64.97,69.41,73.06,76.1,79.18,82.61,86.49,94.5
Australia,AUS,1949,0.69,49.12,59.61,65.42,69.79,73.38,76.51,79.63,83.04,87.03,95.29
Australia,AUS,1950,0.69,49.18,59.66,65.44,69.79,73.39,76.41,79.46,82.88,86.7,95.04
Australia,AUS,1951,0.68,48.87,59.31,65.11,69.52,73.16,76.17,79.26,82.71,86.58,94.71
Australia,AUS,1952,0.75,49.41,59.61,65.4,69.67,73.34,76.51,79.55,82.93,86.85,95.01
Australia,AUS,1953,0.85,50.28,60.26,65.99,70.31,73.8,76.93,80,83.36,87.27,95.35
Australia,AUS,1954,0.95,50.62,60.55,66.24,70.45,73.88,76.96,79.89,83.34,87.17,95.5
Australia,AUS,1955,1.03,51.17,61.02,66.52,70.61,74.03,77.18,80.19,83.58,87.43,95.5
Australia,AUS,1956,1.24,51.34,60.96,66.46,70.56,73.92,76.91,79.9,83.16,86.87,94.95
Australia,AUS,1957,1.13,51.27,61.12,66.66,70.78,74.15,77.26,80.33,83.7,87.62,95.73
Australia,AUS,1958,2,51.94,61.46,66.98,71.18,74.58,77.71,80.84,84.15,88.09,96.29
Australia,AUS,1959,1.62,51.76,61.21,66.7,70.8,74.21,77.28,80.31,83.69,87.63,95.6
Australia,AUS,1960,2.17,52,61.4,66.89,71.06,74.5,77.64,80.73,84.05,88.03,95.96
Australia,AUS,1961,2.57,52.34,61.58,67.2,71.37,74.72,77.85,80.93,84.25,88.24,96.35
Australia,AUS,1962,2.55,52.12,61.44,66.99,71.19,74.49,77.62,80.69,84.02,87.94,95.94
Australia,AUS,1963,3.3,52.18,61.46,66.85,71.06,74.5,77.64,80.74,84.06,88.05,96.15
Australia,AUS,1964,3.25,51.81,60.97,66.45,70.62,74.08,77.18,80.24,83.59,87.53,95.74
Australia,AUS,1965,3.55,51.81,61.15,66.6,70.82,74.27,77.47,80.53,83.95,87.86,96.14
Australia,AUS,1966,3.9,52,61.16,66.36,70.66,74.11,77.2,80.26,83.61,87.63,95.59
Australia,AUS,1967,4.12,52.25,61.28,66.67,70.94,74.37,77.53,80.7,84.05,88.16,96.45
Australia,AUS,1968,4.32,52.08,61.16,66.52,70.67,74.14,77.27,80.27,83.61,87.52,95.45
Australia,AUS,1969,3.88,52.31,61.4,66.86,70.87,74.42,77.57,80.65,84.13,88.28,96.71
Australia,AUS,1970,3.87,51.97,61.12,66.48,70.5,74.06,77.13,80.22,83.65,87.75,96.14
Australia,AUS,1971,4.58,52.64,61.89,67.34,71.44,74.91,78,81.12,84.37,88.33,96.43
Australia,AUS,1972,6.06,53.01,62.1,67.51,71.65,75.07,78.2,81.34,84.57,88.61,96.76
Australia,AUS,1973,6.73,53.22,62.36,67.8,71.97,75.3,78.48,81.56,84.77,88.78,96.95
Australia,AUS,1974,7.65,53.01,62.14,67.57,71.84,75.19,78.32,81.37,84.57,88.47,96.34
Australia,AUS,1975,11.04,53.62,62.79,68.27,72.47,75.9,79.18,82.34,85.56,89.48,97.75
Australia,AUS,1976,12.36,54.02,63.03,68.43,72.54,75.89,79,82.14,85.26,89.17,97.04
Australia,AUS,1977,14.46,54.37,63.49,69,73.12,76.56,79.71,82.81,86,89.98,98.15
Australia,AUS,1978,15.22,54.87,63.78,69.21,73.37,76.79,79.9,83.02,86.2,90.2,98.43
Australia,AUS,1979,16.46,55.41,64.43,69.78,73.87,77.32,80.46,83.5,86.65,90.63,98.56
Australia,AUS,1980,16.94,55.8,64.76,70.08,74.11,77.52,80.51,83.53,86.65,90.74,98.6
Australia,AUS,1981,16.85,56.27,65.03,70.31,74.28,77.63,80.7,83.74,86.89,90.9,98.67
Australia,AUS,1982,17.04,56.42,65.07,70.33,74.3,77.62,80.64,83.58,86.67,90.53,98.26
Australia,AUS,1983,17.99,57.08,65.62,70.96,74.87,78.22,81.29,84.2,87.38,91.41,99.12
Australia,AUS,1984,18.15,57.33,65.86,71.08,75,78.35,81.36,84.19,87.32,91.23,98.97
Australia,AUS,1985,17.88,57.45,65.99,71.23,75.1,78.4,81.34,84.15,87.07,90.87,98.55
