Entity,Code,Year,Total fertility rate,Completed cohort fertility rate shifted +30 years,Tempo-adjusted total fertility rate
Austria,AUT,1951,2.021,,
Austria,AUT,1952,2.061,,
Austria,AUT,1953,2.094,,
Austria,AUT,1954,2.156,,
Austria,AUT,1955,2.289,,
Austria,AUT,1956,2.486,,
Austria,AUT,1957,2.572,,
Austria,AUT,1958,2.6,,
Austria,AUT,1959,2.688,,
Austria,AUT,1960,2.696,,
Austria,AUT,1961,2.786,,
Austria,AUT,1962,2.8,,
Austria,AUT,1963,2.821,,
Austria,AUT,1964,2.795,,
Austria,AUT,1965,2.703,,
Austria,AUT,1966,2.663,2.436,
Austria,AUT,1967,2.621,2.41,
Austria,AUT,1968,2.586,2.339,
Austria,AUT,1969,2.488,2.202,
Austria,AUT,1970,2.292,2.132,
Austria,AUT,1971,2.2,2.065,
Austria,AUT,1972,2.085,2.037,
Austria,AUT,1973,1.938,1.983,
Austria,AUT,1974,1.908,1.953,
Austria,AUT,1975,1.827,1.938,
Austria,AUT,1976,1.688,1.986,
Austria,AUT,1977,1.631,1.931,
Austria,AUT,1978,1.604,1.916,
Austria,AUT,1979,1.598,1.908,
Austria,AUT,1980,1.652,1.863,
Austria,AUT,1981,1.674,1.835,
Austria,AUT,1982,1.661,1.812,
Austria,AUT,1983,1.559,1.817,
Austria,AUT,1984,1.522,1.784,
Austria,AUT,1985,1.474,1.768,1.735
Austria,AUT,1986,1.449,1.746,1.705
Austria,AUT,1987,1.432,1.73,1.647
Austria,AUT,1988,1.447,1.713,1.6
Austria,AUT,1989,1.446,1.714,1.664
Austria,AUT,1990,1.457,1.698,1.614
Austria,AUT,1991,1.507,1.676,1.578
Austria,AUT,1992,1.505,1.675,1.6
Austria,AUT,1993,1.501,1.667,1.717
Austria,AUT,1994,1.465,1.652,1.801
Austria,AUT,1995,1.423,1.657,1.739
Austria,AUT,1996,1.446,1.64,1.731
Austria,AUT,1997,1.393,1.626,1.585
Austria,AUT,1998,1.37,1.61,1.563
Austria,AUT,1999,1.34,1.615,1.519
Austria,AUT,2000,1.364,1.624,1.583
Austria,AUT,2001,1.331,1.634,1.606
Austria,AUT,2002,1.394,1.651,1.681
Austria,AUT,2003,1.376,1.661,1.587
Austria,AUT,2004,1.419,,1.638
Austria,AUT,2005,1.408,,1.728
Austria,AUT,2006,1.409,,1.687
Austria,AUT,2007,1.385,,1.613
Austria,AUT,2008,1.417,,1.704
Austria,AUT,2009,1.396,,1.71
Austria,AUT,2010,1.443,,1.789
Austria,AUT,2011,1.431,,1.778
Austria,AUT,2012,1.44,,1.712
Austria,AUT,2013,1.436,,1.628
Austria,AUT,2014,1.464,,1.68
Austria,AUT,2015,1.491,,1.648
Austria,AUT,2016,1.53,,1.622
Austria,AUT,2017,1.518,,1.706
Austria,AUT,2018,1.475,,1.718
Austria,AUT,2019,1.461,,1.617
Austria,AUT,2020,1.436,,1.616
Austria,AUT,2021,1.476,,1.598
Austria,AUT,2022,1.409,,1.394
Austria,AUT,2023,1.316,,
Belarus,BLR,1964,2.282,,
