Player,Club,Club Country,Country,Federation,Country,Number of Players:,
Franco Armani,River Plate,ARG 🇦🇷,Argentina,CONMEBOL,Argentina,1,
Alan Franco,Talleres,ARG 🇦🇷,Argentina,CONMEBOL,Ecuador,1,
Djorkaeff Reasco,Newell's Old Boys,ARG 🇦🇷,Argentina,CONMEBOL,Ecuador,1,
Nicolás de la Cruz,River Plate,ARG 🇦🇷,Argentina,CONMEBOL,Uruguay,1,
Sebastián Sosa,Independiente,ARG 🇦🇷,Argentina,CONMEBOL,Uruguay,1,
Diego Godín,Vélez Sársfield,ARG 🇦🇷,Argentina,CONMEBOL,Uruguay,1,
Mathew Leckie,Melbourne City,AUS 🇦🇺,Australia,AFC,Australia,1,
Jamie Maclaren,Melbourne City,AUS 🇦🇺,Australia,AFC,Australia,1,
Marco Tilio,Melbourne City,AUS 🇦🇺,Australia,AFC,Australia,1,
Andrew Redmayne,Sydney,AUS 🇦🇺,Australia,AFC,Australia,1,
Craig Goodwin,Adelaide United,AUS 🇦🇺,Australia,AFC,Australia,1,
Jason Cummings,Central Coast Mariners,AUS 🇦🇺,Australia,AFC,Australia,1,
Danny Vukovic,Central Coast Mariners,AUS 🇦🇺,Australia,AFC,Australia,1,
Garang Kuol,Central Coast Mariners,AUS 🇦🇺,Australia,AFC,Australia,1,
Luka Sučić,RB Salzburg,AUT 🇦🇹,Austria,UEFA,Croatia,1,
Strahinja Pavlović,RB Salzburg,AUT 🇦🇹,Austria,UEFA,Serbia,1,
Noah Okafor,RB Salzburg,AUT 🇦🇹,Austria,UEFA,Switzerland,1,
Philipp Köhn,RB Salzburg,AUT 🇦🇹,Austria,UEFA,Switzerland,1,
Hans Vanaken,Club Brugge,BEL 🇧🇪,Belgium,UEFA,Belgium,1,
Simon Mignolet,Club Brugge,BEL 🇧🇪,Belgium,UEFA,Belgium,1,
Jan Vertonghen,Anderlecht,BEL 🇧🇪,Belgium,UEFA,Belgium,1,
Zeno Debast,Anderlecht,BEL 🇧🇪,Belgium,UEFA,Belgium,1,
Toby Alderweireld,Royal Antwerp F.C.,BEL 🇧🇪,Belgium,UEFA,Belgium,1,
Samuel Gouet,KV Mechelen,BEL 🇧🇪,Belgium,UEFA,Cameroon,1,
Cyle Larin,Club Brugge,BEL 🇧🇪,Belgium,UEFA,Canada,1,
Tajon Buchanan,Club Brugge,BEL 🇧🇪,Belgium,UEFA,Canada,1,
Liam Fraser,KMSK Deinze,BEL 🇧🇪,Belgium,UEFA,Canada,1,
Andreas Skov Olsen,Club Brugge,BEL 🇧🇪,Belgium,UEFA,Denmark,1,
Ángelo Preciado,KRC Genk,BEL 🇧🇪,Belgium,UEFA,Ecuador,1,
William Pacho,Royal Antwerp F.C.,BEL 🇧🇪,Belgium,UEFA,Ecuador,1,
Denis Odoi,Club Brugge,BEL 🇧🇪,Belgium,UEFA,Ghana,1,
Kamal Sowah,Club Brugge,BEL 🇧🇪,Belgium,UEFA,Ghana,1,
Elisha Owusu,KAA Gent,BEL 🇧🇪,Belgium,UEFA,Ghana,1,
Abdul Manaf Nurudeen,Eupen,BEL 🇧🇪,Belgium,UEFA,Ghana,1,
Ali Gholizadeh,R. Charleroi SC,BEL 🇧🇪,Belgium,UEFA,Iran,1,
Daniel Schmidt,St. Truiden,BEL 🇧🇪,Belgium,UEFA,Japan,1,
Ayase Ueda,Cercle Brugge,BEL 🇧🇪,Belgium,UEFA,Japan,1,
Gerardo Arteaga,KRC Genk,BEL 🇧🇪,Belgium,UEFA,Mexico,1,
Bilal El Khannous,KRC Genk,BEL 🇧🇪,Belgium,UEFA,Morocco,1,
Selim Amallah,R. Standard de Liège,BEL 🇧🇪,Belgium,UEFA,Morocco,1,
Noa Lang,Club Brugge,BEL 🇧🇪,Belgium,UEFA,Netherlands,1,
Vincent Janssen,Royal Antwerp F.C.,BEL 🇧🇪,Belgium,UEFA,Netherlands,1,
Moussa N'Diaye,Anderlecht,BEL 🇧🇪,Belgium,UEFA,Senegal,1,
Weverton,Palmeiras,BRA 🇧🇷,Brazil,CONMEBOL,Brazil,1,
Éverton Ribeiro,Flamengo,BRA 🇧🇷,Brazil,CONMEBOL,Brazil,1,
Pedro,Flamengo,BRA 🇧🇷,Brazil,CONMEBOL,Brazil,1,
Robert Arboleda,São Paulo,BRA 🇧🇷,Brazil,CONMEBOL,Ecuador,1,
Giorgian de Arrascaeta,Flamengo,BRA 🇧🇷,Brazil,CONMEBOL,Uruguay,1,
Guillermo Varela,Flamengo,BRA 🇧🇷,Brazil,CONMEBOL,Uruguay,1,
Agustín Canobbio,Atlético Paranaense,BRA 🇧🇷,Brazil,CONMEBOL,Uruguay,1,
Alistair Johnston,CF Montréal,CAN 🇨🇦,Canada,CONCACAF,Canada,1,
Ismaël Koné,CF Montréal,CAN 🇨🇦,Canada,CONCACAF,Canada,1,
Samuel Piette,CF Montréal,CAN 🇨🇦,Canada,CONCACAF,Canada,1,
Joel Waterman,CF Montréal,CAN 🇨🇦,Canada,CONCACAF,Canada,1,
James Pantemis,CF Montréal,CAN 🇨🇦,Canada,CONCACAF,Canada,1,
Kamal Miller,CF Montréal,CAN 🇨🇦,Canada,CONCACAF,Canada,1,
Jonathan Osorio,Toronto,CAN 🇨🇦,Canada,CONCACAF,Canada,1,
Mark Anthony Kaye,Toronto,CAN 🇨🇦,Canada,CONCACAF,Canada,1,
Richie Laryea,Toronto,CAN 🇨🇦,Canada,CONCACAF,Canada,1,
Lucas Cavallini,Vancouver Whitecaps,CAN 🇨🇦,Canada,CONCACAF,Canada,1,
Christian Bassogog,Shanghai Shenhua,CHN 🇨🇳,China,AFC,Cameroon,1,
Son Jun ho,Shandong Taishan,CHN 🇨🇳,China,AFC,South Korea,1,
Souaibou Marou,Coton Sport,CMR 🇨🇲,Cameroon,CAF,Cameroon,1,
Jerome Ngom Mbekeli,Colombe Sportive,CMR 🇨🇲,Cameroon,CAF,Cameroon,1,
Juan Pablo Vargas,Millonarios,COL 🇨🇴,Colombia,CONMEBOL,Costa Rica,1,
Kendall Waston,Saprissa,CRC 🇨🇷,Costa Rica,CONCACAF,Costa Rica,1,
Youstin Salas,Saprissa,CRC 🇨🇷,Costa Rica,CONCACAF,Costa Rica,1,
Álvaro Zamora,Saprissa,CRC 🇨🇷,Costa Rica,CONCACAF,Costa Rica,1,
Bryan Ruiz,Alajuelense,CRC 🇨🇷,Costa Rica,CONCACAF,Costa Rica,1,
Celso Borges,Alajuelense,CRC 🇨🇷,Costa Rica,CONCACAF,Costa Rica,1,
Johan Venegas,Alajuelense,CRC 🇨🇷,Costa Rica,CONCACAF,Costa Rica,1,
Keysher Fuller,Herediano,CRC 🇨🇷,Costa Rica,CONCACAF,Costa Rica,1,
Anthony Contreras,Herediano,CRC 🇨🇷,Costa Rica,CONCACAF,Costa Rica,1,
Gerson Torres,Herediano,CRC 🇨🇷,Costa Rica,CONCACAF,Costa Rica,1,
Esteban Alvarado,Herediano,CRC 🇨🇷,Costa Rica,CONCACAF,Costa Rica,1,
Yeltsin Tejeda,Herediano,CRC 🇨🇷,Costa Rica,CONCACAF,Costa Rica,1,
Douglas López,Herediano,CRC 🇨🇷,Costa Rica,CONCACAF,Costa Rica,1,
Carlos Martínez,AD San Carlos,CRC 🇨🇷,Costa Rica,CONCACAF,Costa Rica,1,
Anthony Hernández,Puntarenas,CRC 🇨🇷,Costa Rica,CONCACAF,Costa Rica,1,
Roan Wilson,Municipal Grecia,CRC 🇨🇷,Costa Rica,CONCACAF,Costa Rica,1,
Brandon Aguilera,AD Guanacasteca,CRC 🇨🇷,Costa Rica,CONCACAF,Costa Rica,1,
Bruno Petković,Dinamo Zagreb,CRO 🇭🇷,Croatia,UEFA,Croatia,1,
Mislav Oršić,Dinamo Zagreb,CRO 🇭🇷,Croatia,UEFA,Croatia,1,
Dominik Livaković,Dinamo Zagreb,CRO 🇭🇷,Croatia,UEFA,Croatia,1,
Josip Šutalo,Dinamo Zagreb,CRO 🇭🇷,Croatia,UEFA,Croatia,1,
Marko Livaja,Hajduk Split,CRO 🇭🇷,Croatia,UEFA,Croatia,1,
Ivica Ivušić,NK Osijek,CRO 🇭🇷,Croatia,UEFA,Croatia,1,
Sadegh Moharrami,Dinamo Zagreb,CRO 🇭🇷,Croatia,UEFA,Iran,1,
Karim Ansarifard,Omonia,CYP 🇨🇾,Cyprus,UEFA,Iran,1,
Moustapha Name,Pafos,CYP 🇨🇾,Cyprus,UEFA,Senegal,1,
Mathew Ryan,FC København,DEN 🇩🇰,Denmark,UEFA,Australia,1,
Joel King,Odense Boldklub,DEN 🇩🇰,Denmark,UEFA,Australia,1,
Andreas Cornelius,FC København,DEN 🇩🇰,Denmark,UEFA,Denmark,1,
Daniel Wass,Brøndby IF,DEN 🇩🇰,Denmark,UEFA,Denmark,1,
Saeid Ezatolahi,Vejle Boldklub,DEN 🇩🇰,Denmark,UEFA,Iran,1,
Kamil Grabara,FC København,DEN 🇩🇰,Denmark,UEFA,Poland,1,
Anis Ben Slimane,Brøndby IF,DEN 🇩🇰,Denmark,UEFA,Tunisia,1,
Issam Jebali,Odense Boldklub,DEN 🇩🇰,Denmark,UEFA,Tunisia,1,
Alexander Domínguez,LDU Quito,ECU 🇪🇨,Ecuador,CONMEBOL,Ecuador,1,
Moisés Ramírez,Independiente del Valle,ECU 🇪🇨,Ecuador,CONMEBOL,Ecuador,1,
Hernán Galíndez,Aucas,ECU 🇪🇨,Ecuador,CONMEBOL,Ecuador,1,
Kevin Rodríguez,Imbabura,ECU 🇪🇨,Ecuador,CONMEBOL,Ecuador,1,
Ali Maâloul,Al Ahly SC,EGY 🇪🇬,Egypt,CAF,Tunisia,1,
Seifeddine Jaziri,Zamalek,EGY 🇪🇬,Egypt,CAF,Tunisia,1,
Julián Álvarez,Manchester City,ENG 🇬🇧,England,UEFA,Argentina,1,
Cristian Romero,Tottenham Hotspur,ENG 🇬🇧,England,UEFA,Argentina,1,
Lisandro Martínez,Manchester United,ENG 🇬🇧,England,UEFA,Argentina,1,
Alexis Mac Allister,Brighton Hove,ENG 🇬🇧,England,UEFA,Argentina,1,
Emiliano Martínez,Aston Villa,ENG 🇬🇧,England,UEFA,Argentina,1,
Riley McGree,Middlesbrough,ENG 🇬🇧,England,UEFA,Australia,1,
Harry Souttar,Stoke City,ENG 🇬🇧,England,UEFA,Australia,1,
Bailey Wright,Sunderland,ENG 🇬🇧,England,UEFA,Australia,1,
Kevin De Bruyne,Manchester City,ENG 🇬🇧,England,UEFA,Belgium,1,
Youri Tielemans,Leicester City,ENG 🇬🇧,England,UEFA,Belgium,1,
Timothy Castagne,Leicester City,ENG 🇬🇧,England,UEFA,Belgium,1,
Wout Faes,Leicester City,ENG 🇬🇧,England,UEFA,Belgium,1,
Leandro Trossard,Brighton Hove,ENG 🇬🇧,England,UEFA,Belgium,1,
Leander Dendoncker,Aston Villa,ENG 🇬🇧,England,UEFA,Belgium,1,
Amadou Onana,Everton,ENG 🇬🇧,England,UEFA,Belgium,1,
Ederson,Manchester City,ENG 🇬🇧,England,UEFA,Brazil,1,
Alisson,Liverpool,ENG 🇬🇧,England,UEFA,Brazil,1,
Fabinho,Liverpool,ENG 🇬🇧,England,UEFA,Brazil,1,
Thiago Silva,Chelsea,ENG 🇬🇧,England,UEFA,Brazil,1,
Richarlison,Tottenham Hotspur,ENG 🇬🇧,England,UEFA,Brazil,1,
Casemiro,Manchester United,ENG 🇬🇧,England,UEFA,Brazil,1,
Antony,Manchester United,ENG 🇬🇧,England,UEFA,Brazil,1,
Fred,Manchester United,ENG 🇬🇧,England,UEFA,Brazil,1,
Gabriel Jesus,Arsenal,ENG 🇬🇧,England,UEFA,Brazil,1,
Gabriel Martinelli,Arsenal,ENG 🇬🇧,England,UEFA,Brazil,1,
Lucas Paquetá,West Ham United,ENG 🇬🇧,England,UEFA,Brazil,1,
Bruno Guimarães,Newcastle United,ENG 🇬🇧,England,UEFA,Brazil,1,
Bryan Mbeumo,Brentford,ENG 🇬🇧,England,UEFA,Cameroon,1,
Junior Hoilett,Reading,ENG 🇬🇧,England,UEFA,Canada,1,
Jewison Bennette,Sunderland,ENG 🇬🇧,England,UEFA,Costa Rica,1,
Mateo Kovačić,Chelsea,ENG 🇬🇧,England,UEFA,Croatia,1,
Ivan Perišić,Tottenham Hotspur,ENG 🇬🇧,England,UEFA,Croatia,1,
Pierre Emile Højbjerg,Tottenham Hotspur,ENG 🇬🇧,England,UEFA,Denmark,1,
Christian Eriksen,Manchester United,ENG 🇬🇧,England,UEFA,Denmark,1,
Joachim Andersen,Crystal Palace,ENG 🇬🇧,England,UEFA,Denmark,1,
Mikkel Damsgaard,Brentford,ENG 🇬🇧,England,UEFA,Denmark,1,
Christian Nørgaard,Brentford,ENG 🇬🇧,England,UEFA,Denmark,1,
Mathias Jensen,Brentford,ENG 🇬🇧,England,UEFA,Denmark,1,
Rasmus Kristensen,Leeds Utd,ENG 🇬🇧,England,UEFA,Denmark,1,
Pervis Estupiñán,Brighton Hove,ENG 🇬🇧,England,UEFA,Ecuador,1,
Moisés Caicedo,Brighton Hove,ENG 🇬🇧,England,UEFA,Ecuador,1,
Jeremy Sarmiento,Brighton Hove,ENG 🇬🇧,England,UEFA,Ecuador,1,
John Stones,Manchester City,ENG 🇬🇧,England,UEFA,England,1,
Phil Foden,Manchester City,ENG 🇬🇧,England,UEFA,England,1,
Jack Grealish,Manchester City,ENG 🇬🇧,England,UEFA,England,1,
Kyle Walker,Manchester City,ENG 🇬🇧,England,UEFA,England,1,
Kalvin Phillips,Manchester City,ENG 🇬🇧,England,UEFA,England,1,
Jordan Henderson,Liverpool,ENG 🇬🇧,England,UEFA,England,1,
Trent Alexander Arnold,Liverpool,ENG 🇬🇧,England,UEFA,England,1,
Raheem Sterling,Chelsea,ENG 🇬🇧,England,UEFA,England,1,
Mason Mount,Chelsea,ENG 🇬🇧,England,UEFA,England,1,
Conor Gallagher,Chelsea,ENG 🇬🇧,England,UEFA,England,1,
Harry Kane,Tottenham Hotspur,ENG 🇬🇧,England,UEFA,England,1,
Eric Dier,Tottenham Hotspur,ENG 🇬🇧,England,UEFA,England,1,
Marcus Rashford,Manchester United,ENG 🇬🇧,England,UEFA,England,1,
Harry Maguire,Manchester United,ENG 🇬🇧,England,UEFA,England,1,
Luke Shaw,Manchester United,ENG 🇬🇧,England,UEFA,England,1,
Bukayo Saka,Arsenal,ENG 🇬🇧,England,UEFA,England,1,
Ben White,Arsenal,ENG 🇬🇧,England,UEFA,England,1,
Aaron Ramsdale,Arsenal,ENG 🇬🇧,England,UEFA,England,1,
James Maddison,Leicester City,ENG 🇬🇧,England,UEFA,England,1,
Declan Rice,West Ham United,ENG 🇬🇧,England,UEFA,England,1,
Kieran Trippier,Newcastle United,ENG 🇬🇧,England,UEFA,England,1,
Callum Wilson,Newcastle United,ENG 🇬🇧,England,UEFA,England,1,
Nick Pope,Newcastle United,ENG 🇬🇧,England,UEFA,England,1,
Conor Coady,Everton,ENG 🇬🇧,England,UEFA,England,1,
Jordan Pickford,Everton,ENG 🇬🇧,England,UEFA,England,1,
Ibrahima Konaté,Liverpool,ENG 🇬🇧,England,UEFA,France,1,
Hugo Lloris,Tottenham Hotspur,ENG 🇬🇧,England,UEFA,France,1,
Raphaël Varane,Manchester United,ENG 🇬🇧,England,UEFA,France,1,
William Saliba,Arsenal,ENG 🇬🇧,England,UEFA,France,1,
Alphonse Areola,West Ham United,ENG 🇬🇧,England,UEFA,France,1,
İlkay Gündoğan,Manchester City,ENG 🇬🇧,England,UEFA,Germany,1,
Kai Havertz,Chelsea,ENG 🇬🇧,England,UEFA,Germany,1,
Thilo Kehrer,West Ham United,ENG 🇬🇧,England,UEFA,Germany,1,
Armel Bella Kotchap,Southampton,ENG 🇬🇧,England,UEFA,Germany,1,
Thomas Partey,Arsenal,ENG 🇬🇧,England,UEFA,Ghana,1,
Daniel Amartey,Leicester City,ENG 🇬🇧,England,UEFA,Ghana,1,
Tariq Lamptey,Brighton Hove,ENG 🇬🇧,England,UEFA,Ghana,1,
Jordan Ayew,Crystal Palace,ENG 🇬🇧,England,UEFA,Ghana,1,
Mohammed Salisu,Southampton,ENG 🇬🇧,England,UEFA,Ghana,1,
Antoine Semenyo,Bristol City,ENG 🇬🇧,England,UEFA,Ghana,1,
Baba Rahman,Reading,ENG 🇬🇧,England,UEFA,Ghana,1,
Saman Ghoddos,Brentford,ENG 🇬🇧,England,UEFA,Iran,1,
Takehiro Tomiyasu,Arsenal,ENG 🇬🇧,England,UEFA,Japan,1,
Kaoru Mitoma,Brighton Hove,ENG 🇬🇧,England,UEFA,Japan,1,
Raúl Jiménez,Wolverhampton,ENG 🇬🇧,England,UEFA,Mexico,1,
Hakim Ziyech,Chelsea,ENG 🇬🇧,England,UEFA,Morocco,1,
Nayef Aguerd,West Ham United,ENG 🇬🇧,England,UEFA,Morocco,1,
Anass Zaroury,Burnley,ENG 🇬🇧,England,UEFA,Morocco,1,
Ilias Chair,QPR,ENG 🇬🇧,England,UEFA,Morocco,1,
Nathan Aké,Manchester City,ENG 🇬🇧,England,UEFA,Netherlands,1,
Virgil van Dijk,Liverpool,ENG 🇬🇧,England,UEFA,Netherlands,1,
Tyrell Malacia,Manchester United,ENG 🇬🇧,England,UEFA,Netherlands,1,
Jan Bednarek,Aston Villa,ENG 🇬🇧,England,UEFA,Poland,1,
Matty Cash,Aston Villa,ENG 🇬🇧,England,UEFA,Poland,1,
Krystian Bielik,Birmingham City,ENG 🇬🇧,England,UEFA,Poland,1,
Bernardo Silva,Manchester City,ENG 🇬🇧,England,UEFA,Portugal,1,
João Cancelo,Manchester City,ENG 🇬🇧,England,UEFA,Portugal,1,
Rúben Dias,Manchester City,ENG 🇬🇧,England,UEFA,Portugal,1,
Cristiano Ronaldo,Manchester United,ENG 🇬🇧,England,UEFA,Portugal,1,
Bruno Fernandes,Manchester United,ENG 🇬🇧,England,UEFA,Portugal,1,
Diogo Dalot,Manchester United,ENG 🇬🇧,England,UEFA,Portugal,1,
Matheus Nunes,Wolverhampton,ENG 🇬🇧,England,UEFA,Portugal,1,
Rúben Neves,Wolverhampton,ENG 🇬🇧,England,UEFA,Portugal,1,
José Sá,Wolverhampton,ENG 🇬🇧,England,UEFA,Portugal,1,
João Palhinha,Fulham,ENG 🇬🇧,England,UEFA,Portugal,1,
Kalidou Koulibal,Chelsea,ENG 🇬🇧,England,UEFA,Senegal,1,
Édouard Mendy,Chelsea,ENG 🇬🇧,England,UEFA,Senegal,1,
Pape Matar Sarr,Tottenham Hotspur,ENG 🇬🇧,England,UEFA,Senegal,1,
Nampalys Mendy,Leicester City,ENG 🇬🇧,England,UEFA,Senegal,1,
Idrissa Gueye,Everton,ENG 🇬🇧,England,UEFA,Senegal,1,
Cheikhou Kouyaté,Nottingham Forest,ENG 🇬🇧,England,UEFA,Senegal,1,
Ismaïla Sarr,Watford,ENG 🇬🇧,England,UEFA,Senegal,1,
Iliman Ndiaye,Sheffield United,ENG 🇬🇧,England,UEFA,Senegal,1,
Seny Dieng,QPR,ENG 🇬🇧,England,UEFA,Senegal,1,
Mamadou Loum,Reading,ENG 🇬🇧,England,UEFA,Senegal,1,
Aleksandar Mitrović,Fulham,ENG 🇬🇧,England,UEFA,Serbia,1,
Son Heung min,Tottenham Hotspur,ENG 🇬🇧,England,UEFA,South Korea,1,
Hwang Hee chan,Wolverhampton,ENG 🇬🇧,England,UEFA,South Korea,1,
Aymeric Laporte,Manchester City,ENG 🇬🇧,England,UEFA,Spain,1,
Rodri,Manchester City,ENG 🇬🇧,England,UEFA,Spain,1,
César Azpilicueta,Chelsea,ENG 🇬🇧,England,UEFA,Spain,1,
Robert Sánchez,Brighton Hove,ENG 🇬🇧,England,UEFA,Spain,1,
David Raya,Brentford,ENG 🇬🇧,England,UEFA,Spain,1,
Manuel Akanji,Manchester City,ENG 🇬🇧,England,UEFA,Switzerland,1,
Denis Zakaria,Chelsea,ENG 🇬🇧,England,UEFA,Switzerland,1,
Granit Xhaka,Arsenal,ENG 🇬🇧,England,UEFA,Switzerland,1,
Fabian Schär,Newcastle United,ENG 🇬🇧,England,UEFA,Switzerland,1,
Remo Freuler,Nottingham Forest,ENG 🇬🇧,England,UEFA,Switzerland,1,
Hannibal Mejbri,Birmingham City,ENG 🇬🇧,England,UEFA,Tunisia,1,
Darwin Núñez,Liverpool,ENG 🇬🇧,England,UEFA,Uruguay,1,
Rodrigo Bentancur,Tottenham Hotspur,ENG 🇬🇧,England,UEFA,Uruguay,1,
Facundo Pellistri,Manchester United,ENG 🇬🇧,England,UEFA,Uruguay,1,
