Entity,Code,Year,Latest observed data,1968 projection,1973 projection,1980 projection,1982 projection,1984 projection,1990 projection,1998 projection,2002 projection,2012 projection,2017 projection,2019 projection,2022 projection,2024 projection
World,OWID_WRL,1950,2493092852,,,,,,,,,,,,,
World,OWID_WRL,1955,2740213796,,,,,,,,,,,,,
World,OWID_WRL,1960,3015470889,,,,,,,,,,,,,
World,OWID_WRL,1965,3334533710,,,,,,,,,,,,,
World,OWID_WRL,1970,3694683794,3631789000,,,,,,,,,,,,
World,OWID_WRL,1975,4070735279,,3967864000,,,,,,,,,,,
World,OWID_WRL,1980,4447606240,4456688000,4374110000,,,,,,,,,,,
World,OWID_WRL,1985,4868943457,,4816537000,4826328000,4842048000,4836645000,,,,,,,,
World,OWID_WRL,1990,5327803106,5438169000,5280017000,5241911000,5248485000,5246209000,,,,,,,,
World,OWID_WRL,1995,5758878977,,5762564000,5677246000,5679251000,5677574000,5770000000,,,,,,,
World,OWID_WRL,2000,6171702992,6493642000,6254377000,6118850000,6127117000,6121813000,6261000000,6055049000,,,,,,
World,OWID_WRL,2005,6586970132,,,,,,6739000000,6429397000,6453628000,,,,,
World,OWID_WRL,2010,7021732143,,,,6994741000,6989128000,7204000000,6794773000,6830283000,,,,,
World,OWID_WRL,2015,7470491876,,,,,,7660000000,7154366000,7197247000,7324782225,,,,
World,OWID_WRL,2020,7887001289,,,,7805747000,7822193000,8092000000,7501521000,7540237000,7716749042,7795482309,7794798729,,
World,OWID_WRL,2023,8091734933,,,,,,,,,,,,,
World,OWID_WRL,2025,,,,,8177052000,8205765000,8504000000,7823703000,7851455000,8083412759,8185613757,8184437453,8191988224,8231613067
World,OWID_WRL,2030,,,,,,,,8111980000,8130149000,8424937474,8551198644,8548487371,8546141184,8569124917
World,OWID_WRL,2035,,,,,,,,,8378184000,8743446952,8892701940,8887524229,8879397888,8885210180
World,OWID_WRL,2040,,,,,,,,8576540000,8593591000,9038687151,9210337004,9198847382,9188250624,9177190199
World,OWID_WRL,2045,,,,,,,,,8774394000,9308438178,9504209572,9481803272,9467543552,9439639664
World,OWID_WRL,2050,,,,,,,,8909095000,8918724000,9550944891,9771822753,9735033900,9709492224,9664378585
