Looking at the ZHVI series, which runs monthly from April 1996 through April 2019 (277 monthly data points), summing all the values:

**Year-by-year totals:**
- 1996 (Apr–Dec, 9 mo): 907,400
- 1997: 1,247,400
- 1998: 1,316,500
- 1999: 1,400,200
- 2000: 1,498,500
- 2001: 1,583,300
- 2002: 1,678,400
- 2003: 1,793,500
- 2004: 1,968,100
- 2005: 2,175,000
- 2006: 2,355,200
- 2007: 2,382,900
- 2008: 2,212,700
- 2009: 2,008,300
- 2010: 1,926,400
- 2011: 1,819,100
- 2012: 1,804,700
- 2013: 1,904,100
- 2014: 2,018,600
- 2015: 2,120,800
- 2016: 2,251,900
- 2017: 2,420,800
- 2018: 2,604,700
- 2019 (Jan–Apr, 4 mo): 906,300

**Total sum:** 44,304,800
**Number of months:** 277

**Average ≈ $159,945** (≈ $159,945.13) across the full ZHVI period (Apr 1996 – Apr 2019).
